Dataset,method,Experiment,RMSE
11_iris,chain01_datawig,1,0.3094 ± 0.1491
11_iris,chain01_datawig,2,0.2147 ± 0.1287
11_iris,chain01_datawig,3,0.2873 ± 0.1104
11_iris,chain01_datawig,4,0.3539 ± 0.1340
11_iris,chain01_datawig,5,0.4034 ± 0.1852
11_iris,chain01_datawig,6,0.2665 ± 0.0455
11_iris,chain01_datawig,7,0.2767 ± 0.0339
11_iris,chain01_datawig,8,0.2670 ± 0.1121
11_iris,chain01_datawig,9,0.2614 ± 0.1025
11_iris,chain01_datawig,10,0.2917 ± 0.0724
11_iris,chain01_datawig,11,0.3018 ± 0.0840
11_iris,chain01_datawig,12,0.2249 ± 0.1125
11_iris,chain01_datawig,13,0.3406 ± 0.0865
11_iris,chain01_datawig,14,0.2116 ± 0.1384
11_iris,chain01_datawig,15,0.3840 ± 0.1013
11_iris,chain01_datawig,16,0.2553 ± 0.0645
11_iris,chain01_datawig,17,0.2299 ± 0.0947
11_iris,chain01_datawig,18,0.2232 ± 0.0219
11_iris,chain01_datawig,19,0.3120 ± 0.0843
11_iris,chain01_datawig,20,0.2377 ± 0.0411
11_iris,chain01_datawig,21,0.2620 ± 0.0864
11_iris,chain01_datawig,22,0.2689 ± 0.1090
11_iris,chain01_datawig,23,0.3151 ± 0.0819
11_iris,chain01_datawig,24,0.3455 ± 0.0725
11_iris,chain01_datawig,25,0.3116 ± 0.1225
11_iris,chain01_datawig,26,0.2759 ± 0.0951
11_iris,chain01_datawig,27,0.3053 ± 0.0624
11_iris,chain01_datawig,28,0.2632 ± 0.1059
11_iris,chain01_datawig,29,0.2109 ± 0.0479
11_iris,chain01_datawig,30,0.3267 ± 0.0714
11_iris,chain03_datawig,1,0.3075 ± 0.1486
11_iris,chain03_datawig,2,0.1875 ± 0.1181
11_iris,chain03_datawig,3,0.2597 ± 0.1213
11_iris,chain03_datawig,4,0.3394 ± 0.1365
11_iris,chain03_datawig,5,0.3901 ± 0.1716
11_iris,chain03_datawig,6,0.2797 ± 0.0322
11_iris,chain03_datawig,7,0.2763 ± 0.0496
11_iris,chain03_datawig,8,0.2631 ± 0.0835
11_iris,chain03_datawig,9,0.2476 ± 0.0683
11_iris,chain03_datawig,10,0.2879 ± 0.0797
11_iris,chain03_datawig,11,0.3189 ± 0.1079
11_iris,chain03_datawig,12,0.2324 ± 0.1366
11_iris,chain03_datawig,13,0.3373 ± 0.0639
11_iris,chain03_datawig,14,0.2192 ± 0.1235
11_iris,chain03_datawig,15,0.3955 ± 0.1470
11_iris,chain03_datawig,16,0.2582 ± 0.0656
11_iris,chain03_datawig,17,0.2313 ± 0.0997
11_iris,chain03_datawig,18,0.2272 ± 0.0417
11_iris,chain03_datawig,19,0.3326 ± 0.0843
11_iris,chain03_datawig,20,0.2409 ± 0.0155
11_iris,chain03_datawig,21,0.2746 ± 0.0864
11_iris,chain03_datawig,22,0.2633 ± 0.0671
11_iris,chain03_datawig,23,0.3212 ± 0.0617
11_iris,chain03_datawig,24,0.3381 ± 0.0545
11_iris,chain03_datawig,25,0.3070 ± 0.1256
11_iris,chain03_datawig,26,0.2741 ± 0.0863
11_iris,chain03_datawig,27,0.3026 ± 0.0547
11_iris,chain03_datawig,28,0.2622 ± 0.1084
11_iris,chain03_datawig,29,0.2128 ± 0.0845
11_iris,chain03_datawig,30,0.3347 ± 0.0614
11_iris,up_chain03_datawig,1,0.3097 ± 0.1299
11_iris,up_chain03_datawig,2,0.2194 ± 0.1640
11_iris,up_chain03_datawig,3,0.2753 ± 0.1186
11_iris,up_chain03_datawig,4,0.3504 ± 0.1298
11_iris,up_chain03_datawig,5,0.4063 ± 0.1855
11_iris,up_chain03_datawig,6,0.2612 ± 0.0428
11_iris,up_chain03_datawig,7,0.2691 ± 0.0328
11_iris,up_chain03_datawig,8,0.2709 ± 0.1035
11_iris,up_chain03_datawig,9,0.2293 ± 0.0950
11_iris,up_chain03_datawig,10,0.3072 ± 0.1070
11_iris,up_chain03_datawig,11,0.3247 ± 0.0844
11_iris,up_chain03_datawig,12,0.2143 ± 0.1130
11_iris,up_chain03_datawig,13,0.3445 ± 0.0767
11_iris,up_chain03_datawig,14,0.2058 ± 0.1274
11_iris,up_chain03_datawig,15,0.4040 ± 0.1056
11_iris,up_chain03_datawig,16,0.2549 ± 0.0553
11_iris,up_chain03_datawig,17,0.2322 ± 0.0866
11_iris,up_chain03_datawig,18,0.2344 ± 0.0314
11_iris,up_chain03_datawig,19,0.3283 ± 0.0847
11_iris,up_chain03_datawig,20,0.2372 ± 0.0305
11_iris,up_chain03_datawig,21,0.2701 ± 0.0781
11_iris,up_chain03_datawig,22,0.2677 ± 0.0921
11_iris,up_chain03_datawig,23,0.3150 ± 0.0680
11_iris,up_chain03_datawig,24,0.3470 ± 0.0579
11_iris,up_chain03_datawig,25,0.3067 ± 0.1278
11_iris,up_chain03_datawig,26,0.2731 ± 0.0919
11_iris,up_chain03_datawig,27,0.3086 ± 0.0462
11_iris,up_chain03_datawig,28,0.2538 ± 0.1146
11_iris,up_chain03_datawig,29,0.2137 ± 0.0709
11_iris,up_chain03_datawig,30,0.3142 ± 0.0536
