Dataset,method,Experiment,RMSE
14_national,chain01_datawig,1,0.2005 ± 0.1429
14_national,chain01_datawig,2,0.1899 ± 0.1317
14_national,chain01_datawig,3,0.1974 ± 0.1456
14_national,chain01_datawig,4,0.1522 ± 0.1459
14_national,chain01_datawig,5,0.2259 ± 0.1255
14_national,chain01_datawig,6,0.1977 ± 0.1563
14_national,chain01_datawig,7,0.2090 ± 0.1493
14_national,chain01_datawig,8,0.2059 ± 0.1593
14_national,chain01_datawig,9,0.1960 ± 0.1427
14_national,chain01_datawig,10,0.2168 ± 0.1494
14_national,chain01_datawig,11,0.1868 ± 0.1340
14_national,chain01_datawig,12,0.1505 ± 0.1276
14_national,chain01_datawig,13,0.1980 ± 0.1404
14_national,chain01_datawig,14,0.1479 ± 0.1347
14_national,chain01_datawig,15,0.2065 ± 0.1345
14_national,chain01_datawig,16,0.2055 ± 0.1320
14_national,chain01_datawig,17,0.1534 ± 0.1274
14_national,chain01_datawig,18,0.2031 ± 0.1438
14_national,chain01_datawig,19,0.1632 ± 0.1311
14_national,chain01_datawig,20,0.1979 ± 0.1387
14_national,chain01_datawig,21,0.1726 ± 0.1276
14_national,chain01_datawig,22,0.2082 ± 0.1404
14_national,chain01_datawig,23,0.1498 ± 0.1453
14_national,chain01_datawig,24,0.1832 ± 0.1445
14_national,chain01_datawig,25,0.1983 ± 0.1581
14_national,chain01_datawig,26,0.1575 ± 0.1368
14_national,chain01_datawig,27,0.2070 ± 0.1526
14_national,chain01_datawig,28,0.2352 ± 0.1430
14_national,chain01_datawig,29,0.1910 ± 0.1540
14_national,chain01_datawig,30,0.1784 ± 0.1328
14_national,chain03_datawig,1,0.2041 ± 0.1721
14_national,chain03_datawig,2,0.1918 ± 0.1370
14_national,chain03_datawig,3,0.2036 ± 0.1509
14_national,chain03_datawig,4,0.1637 ± 0.1542
14_national,chain03_datawig,5,0.2388 ± 0.2007
14_national,chain03_datawig,6,0.2195 ± 0.2001
14_national,chain03_datawig,7,0.2765 ± 0.2501
14_national,chain03_datawig,8,0.2146 ± 0.1727
14_national,chain03_datawig,9,0.2077 ± 0.1611
14_national,chain03_datawig,10,0.2468 ± 0.2289
14_national,chain03_datawig,11,0.1924 ± 0.1445
14_national,chain03_datawig,12,0.1559 ± 0.1307
14_national,chain03_datawig,13,0.2054 ± 0.1564
14_national,chain03_datawig,14,0.1594 ± 0.1446
14_national,chain03_datawig,15,0.2236 ± 0.1572
14_national,chain03_datawig,16,0.2125 ± 0.1340
14_national,chain03_datawig,17,0.1537 ± 0.1282
14_national,chain03_datawig,18,0.2067 ± 0.1380
14_national,chain03_datawig,19,0.1797 ± 0.1558
14_national,chain03_datawig,20,0.2005 ± 0.1443
14_national,chain03_datawig,21,0.1899 ± 0.1450
14_national,chain03_datawig,22,0.2134 ± 0.1418
14_national,chain03_datawig,23,0.1607 ± 0.1442
14_national,chain03_datawig,24,0.1868 ± 0.1516
14_national,chain03_datawig,25,0.2100 ± 0.1668
14_national,chain03_datawig,26,0.2199 ± 0.2821
14_national,chain03_datawig,27,0.2132 ± 0.1515
14_national,chain03_datawig,28,0.2272 ± 0.1547
14_national,chain03_datawig,29,0.2310 ± 0.1894
14_national,chain03_datawig,30,0.1875 ± 0.1521
14_national,up_chain03_datawig,1,0.1935 ± 0.1540
14_national,up_chain03_datawig,2,0.2009 ± 0.1427
14_national,up_chain03_datawig,3,0.2097 ± 0.1726
14_national,up_chain03_datawig,4,0.1557 ± 0.1456
14_national,up_chain03_datawig,5,0.2135 ± 0.1391
14_national,up_chain03_datawig,6,0.2004 ± 0.1656
14_national,up_chain03_datawig,7,0.2192 ± 0.1669
14_national,up_chain03_datawig,8,0.2257 ± 0.1789
14_national,up_chain03_datawig,9,0.2203 ± 0.1686
14_national,up_chain03_datawig,10,0.2250 ± 0.1589
14_national,up_chain03_datawig,11,0.1939 ± 0.1467
14_national,up_chain03_datawig,12,0.1533 ± 0.1279
14_national,up_chain03_datawig,13,0.2062 ± 0.1575
14_national,up_chain03_datawig,14,0.1498 ± 0.1372
14_national,up_chain03_datawig,15,0.2081 ± 0.1397
14_national,up_chain03_datawig,16,0.2086 ± 0.1347
14_national,up_chain03_datawig,17,0.1534 ± 0.1336
14_national,up_chain03_datawig,18,0.2048 ± 0.1454
14_national,up_chain03_datawig,19,0.1598 ± 0.1378
14_national,up_chain03_datawig,20,0.2103 ± 0.1605
14_national,up_chain03_datawig,21,0.1742 ± 0.1257
14_national,up_chain03_datawig,22,0.2121 ± 0.1463
14_national,up_chain03_datawig,23,0.1607 ± 0.1426
14_national,up_chain03_datawig,24,0.1849 ± 0.1487
14_national,up_chain03_datawig,25,0.2107 ± 0.1805
14_national,up_chain03_datawig,26,0.1637 ± 0.1354
14_national,up_chain03_datawig,27,0.2102 ± 0.1568
14_national,up_chain03_datawig,28,0.2279 ± 0.1486
14_national,up_chain03_datawig,29,0.2450 ± 0.2611
14_national,up_chain03_datawig,30,0.1801 ± 0.1359
