Dataset,method,Experiment,RMSE
15_magic,chain01_datawig,1,0.1382 ± 0.0627
15_magic,chain01_datawig,2,0.1331 ± 0.0634
15_magic,chain01_datawig,3,0.1338 ± 0.0609
15_magic,chain01_datawig,4,0.1313 ± 0.0595
15_magic,chain01_datawig,5,0.1326 ± 0.0635
15_magic,chain01_datawig,6,0.1363 ± 0.0628
15_magic,chain01_datawig,7,0.1356 ± 0.0597
15_magic,chain01_datawig,8,0.1378 ± 0.0613
15_magic,chain01_datawig,9,0.1370 ± 0.0558
15_magic,chain01_datawig,10,0.1342 ± 0.0639
15_magic,chain01_datawig,11,0.1336 ± 0.0621
15_magic,chain01_datawig,12,0.1281 ± 0.0692
15_magic,chain01_datawig,13,0.1299 ± 0.0662
15_magic,chain01_datawig,14,0.1344 ± 0.0610
15_magic,chain01_datawig,15,0.1326 ± 0.0635
15_magic,chain01_datawig,16,0.1297 ± 0.0620
15_magic,chain01_datawig,17,0.1323 ± 0.0655
15_magic,chain01_datawig,18,0.1291 ± 0.0661
15_magic,chain01_datawig,19,0.1327 ± 0.0664
15_magic,chain01_datawig,20,0.1329 ± 0.0632
15_magic,chain01_datawig,21,0.1339 ± 0.0615
15_magic,chain01_datawig,22,0.1290 ± 0.0646
15_magic,chain01_datawig,23,0.1450 ± 0.0573
15_magic,chain01_datawig,24,0.1299 ± 0.0651
15_magic,chain01_datawig,25,0.1282 ± 0.0632
15_magic,chain01_datawig,26,0.1327 ± 0.0606
15_magic,chain01_datawig,27,0.1428 ± 0.0658
15_magic,chain01_datawig,28,0.1379 ± 0.0613
15_magic,chain01_datawig,29,0.1315 ± 0.0598
15_magic,chain01_datawig,30,0.1316 ± 0.0665
15_magic,chain03_datawig,1,0.1384 ± 0.0625
15_magic,chain03_datawig,2,0.1347 ± 0.0623
15_magic,chain03_datawig,3,0.1374 ± 0.0571
15_magic,chain03_datawig,4,0.1332 ± 0.0612
15_magic,chain03_datawig,5,0.1325 ± 0.0637
15_magic,chain03_datawig,6,0.1376 ± 0.0628
15_magic,chain03_datawig,7,0.1379 ± 0.0590
15_magic,chain03_datawig,8,0.1383 ± 0.0621
15_magic,chain03_datawig,9,0.1295 ± 0.0626
15_magic,chain03_datawig,10,0.1341 ± 0.0629
15_magic,chain03_datawig,11,0.1332 ± 0.0624
15_magic,chain03_datawig,12,0.1286 ± 0.0707
15_magic,chain03_datawig,13,0.1312 ± 0.0654
15_magic,chain03_datawig,14,0.1339 ± 0.0616
15_magic,chain03_datawig,15,0.1341 ± 0.0639
15_magic,chain03_datawig,16,0.1361 ± 0.0594
15_magic,chain03_datawig,17,0.1344 ± 0.0671
15_magic,chain03_datawig,18,0.1300 ± 0.0665
15_magic,chain03_datawig,19,0.1320 ± 0.0656
15_magic,chain03_datawig,20,0.1840 ± 0.1558
15_magic,chain03_datawig,21,0.1331 ± 0.0606
15_magic,chain03_datawig,22,0.1300 ± 0.0674
15_magic,chain03_datawig,23,0.1404 ± 0.0577
15_magic,chain03_datawig,24,0.1363 ± 0.0592
15_magic,chain03_datawig,25,0.1290 ± 0.0646
15_magic,chain03_datawig,26,0.1327 ± 0.0603
15_magic,chain03_datawig,27,0.1354 ± 0.0625
15_magic,chain03_datawig,28,0.1367 ± 0.0605
15_magic,chain03_datawig,29,0.1317 ± 0.0597
15_magic,chain03_datawig,30,0.1314 ± 0.0661
15_magic,up_chain03_datawig,1,0.1393 ± 0.0623
15_magic,up_chain03_datawig,2,0.1334 ± 0.0637
15_magic,up_chain03_datawig,3,0.1339 ± 0.0595
15_magic,up_chain03_datawig,4,0.1319 ± 0.0587
15_magic,up_chain03_datawig,5,0.1330 ± 0.0634
15_magic,up_chain03_datawig,6,0.1367 ± 0.0631
15_magic,up_chain03_datawig,7,0.1358 ± 0.0586
15_magic,up_chain03_datawig,8,0.1382 ± 0.0620
15_magic,up_chain03_datawig,9,0.1330 ± 0.0588
15_magic,up_chain03_datawig,10,0.1387 ± 0.0583
15_magic,up_chain03_datawig,11,0.1343 ± 0.0614
15_magic,up_chain03_datawig,12,0.1269 ± 0.0680
15_magic,up_chain03_datawig,13,0.1292 ± 0.0660
15_magic,up_chain03_datawig,14,0.1342 ± 0.0605
15_magic,up_chain03_datawig,15,0.1334 ± 0.0632
15_magic,up_chain03_datawig,16,0.1284 ± 0.0621
15_magic,up_chain03_datawig,17,0.1333 ± 0.0648
15_magic,up_chain03_datawig,18,0.1292 ± 0.0655
15_magic,up_chain03_datawig,19,0.1324 ± 0.0653
15_magic,up_chain03_datawig,20,0.1346 ± 0.0604
15_magic,up_chain03_datawig,21,0.1326 ± 0.0611
15_magic,up_chain03_datawig,22,0.1294 ± 0.0639
15_magic,up_chain03_datawig,23,0.1440 ± 0.0569
15_magic,up_chain03_datawig,24,0.1307 ± 0.0647
15_magic,up_chain03_datawig,25,0.1284 ± 0.0629
15_magic,up_chain03_datawig,26,0.1338 ± 0.0598
15_magic,up_chain03_datawig,27,0.1343 ± 0.0616
15_magic,up_chain03_datawig,28,0.1361 ± 0.0608
15_magic,up_chain03_datawig,29,0.1314 ± 0.0595
15_magic,up_chain03_datawig,30,0.1319 ± 0.0663
