Dataset,method,Experiment,RMSE
17_bank,chain01_datawig,1,0.2350 ± 0.1238
17_bank,chain01_datawig,2,0.2370 ± 0.1579
17_bank,chain01_datawig,3,0.2329 ± 0.1301
17_bank,chain01_datawig,4,0.2266 ± 0.1214
17_bank,chain01_datawig,5,0.2227 ± 0.1347
17_bank,chain01_datawig,6,0.2283 ± 0.1373
17_bank,chain01_datawig,7,0.2340 ± 0.1230
17_bank,chain01_datawig,8,0.2262 ± 0.1392
17_bank,chain01_datawig,9,0.2280 ± 0.1369
17_bank,chain01_datawig,10,0.2267 ± 0.1280
17_bank,chain01_datawig,11,0.2248 ± 0.1304
17_bank,chain01_datawig,12,0.2440 ± 0.1275
17_bank,chain01_datawig,13,0.2245 ± 0.1282
17_bank,chain01_datawig,14,0.2271 ± 0.1439
17_bank,chain01_datawig,15,0.2372 ± 0.1286
17_bank,chain01_datawig,16,0.2296 ± 0.1186
17_bank,chain01_datawig,17,0.2322 ± 0.1256
17_bank,chain01_datawig,18,0.2141 ± 0.1257
17_bank,chain01_datawig,19,0.2239 ± 0.1207
17_bank,chain01_datawig,20,0.2340 ± 0.1253
17_bank,chain01_datawig,21,0.2442 ± 0.1690
17_bank,chain01_datawig,22,0.2213 ± 0.1355
17_bank,chain01_datawig,23,0.2201 ± 0.1274
17_bank,chain01_datawig,24,0.2213 ± 0.1211
17_bank,chain01_datawig,25,0.2241 ± 0.1228
17_bank,chain01_datawig,26,0.2274 ± 0.1295
17_bank,chain01_datawig,27,0.2294 ± 0.1274
17_bank,chain01_datawig,28,0.2303 ± 0.1185
17_bank,chain01_datawig,29,0.2287 ± 0.1178
17_bank,chain01_datawig,30,0.2209 ± 0.1384
17_bank,chain03_datawig,1,0.2371 ± 0.1103
17_bank,chain03_datawig,2,0.2264 ± 0.1280
17_bank,chain03_datawig,3,0.2330 ± 0.1346
17_bank,chain03_datawig,4,0.2509 ± 0.1696
17_bank,chain03_datawig,5,0.2359 ± 0.1400
17_bank,chain03_datawig,6,0.2416 ± 0.1435
17_bank,chain03_datawig,7,0.2331 ± 0.1217
17_bank,chain03_datawig,8,0.2161 ± 0.1356
17_bank,chain03_datawig,9,0.2312 ± 0.1367
17_bank,chain03_datawig,10,0.2276 ± 0.1256
17_bank,chain03_datawig,11,0.2449 ± 0.1548
17_bank,chain03_datawig,12,0.2371 ± 0.1181
17_bank,chain03_datawig,13,0.2273 ± 0.1270
17_bank,chain03_datawig,14,0.2248 ± 0.1408
17_bank,chain03_datawig,15,0.2352 ± 0.1170
17_bank,chain03_datawig,16,0.2296 ± 0.1223
17_bank,chain03_datawig,17,0.2325 ± 0.1227
17_bank,chain03_datawig,18,0.2366 ± 0.1571
17_bank,chain03_datawig,19,0.2216 ± 0.1222
17_bank,chain03_datawig,20,0.2471 ± 0.1330
17_bank,chain03_datawig,21,0.2195 ± 0.1332
17_bank,chain03_datawig,22,0.2285 ± 0.1451
17_bank,chain03_datawig,23,0.2392 ± 0.1356
17_bank,chain03_datawig,24,0.2211 ± 0.1336
17_bank,chain03_datawig,25,0.2237 ± 0.1245
17_bank,chain03_datawig,26,0.2336 ± 0.1397
17_bank,chain03_datawig,27,0.2344 ± 0.1300
17_bank,chain03_datawig,28,0.2313 ± 0.1217
17_bank,chain03_datawig,29,0.2371 ± 0.1384
17_bank,chain03_datawig,30,0.2517 ± 0.1829
17_bank,up_chain03_datawig,1,0.2278 ± 0.1112
17_bank,up_chain03_datawig,2,0.2206 ± 0.1227
17_bank,up_chain03_datawig,3,0.2280 ± 0.1215
17_bank,up_chain03_datawig,4,0.2238 ± 0.1192
17_bank,up_chain03_datawig,5,0.2192 ± 0.1277
17_bank,up_chain03_datawig,6,0.2205 ± 0.1236
17_bank,up_chain03_datawig,7,0.2338 ± 0.1220
17_bank,up_chain03_datawig,8,0.2178 ± 0.1301
17_bank,up_chain03_datawig,9,0.2203 ± 0.1274
17_bank,up_chain03_datawig,10,0.2248 ± 0.1251
17_bank,up_chain03_datawig,11,0.2214 ± 0.1229
17_bank,up_chain03_datawig,12,0.2335 ± 0.1171
17_bank,up_chain03_datawig,13,0.2193 ± 0.1206
17_bank,up_chain03_datawig,14,0.2253 ± 0.1351
17_bank,up_chain03_datawig,15,0.2316 ± 0.1132
17_bank,up_chain03_datawig,16,0.2280 ± 0.1175
17_bank,up_chain03_datawig,17,0.2271 ± 0.1219
17_bank,up_chain03_datawig,18,0.2144 ± 0.1197
17_bank,up_chain03_datawig,19,0.2200 ± 0.1153
17_bank,up_chain03_datawig,20,0.2294 ± 0.1171
17_bank,up_chain03_datawig,21,0.2196 ± 0.1289
17_bank,up_chain03_datawig,22,0.2143 ± 0.1257
17_bank,up_chain03_datawig,23,0.2192 ± 0.1227
17_bank,up_chain03_datawig,24,0.2183 ± 0.1176
17_bank,up_chain03_datawig,25,0.2229 ± 0.1165
17_bank,up_chain03_datawig,26,0.2214 ± 0.1230
17_bank,up_chain03_datawig,27,0.2260 ± 0.1237
17_bank,up_chain03_datawig,28,0.2302 ± 0.1176
17_bank,up_chain03_datawig,29,0.2262 ± 0.1143
17_bank,up_chain03_datawig,30,0.2190 ± 0.1329
