Dataset,method,Experiment,RMSE
18_maternal,chain01_datawig,1,0.2623 ± 0.0358
18_maternal,chain01_datawig,2,0.2381 ± 0.0609
18_maternal,chain01_datawig,3,0.3314 ± 0.1847
18_maternal,chain01_datawig,4,0.2478 ± 0.0331
18_maternal,chain01_datawig,5,0.2099 ± 0.0154
18_maternal,chain01_datawig,6,0.2345 ± 0.0331
18_maternal,chain01_datawig,7,0.2397 ± 0.0159
18_maternal,chain01_datawig,8,0.2192 ± 0.0669
18_maternal,chain01_datawig,9,0.2620 ± 0.0464
18_maternal,chain01_datawig,10,0.2342 ± 0.0369
18_maternal,chain01_datawig,11,0.2154 ± 0.0752
18_maternal,chain01_datawig,12,0.2246 ± 0.0684
18_maternal,chain01_datawig,13,0.2277 ± 0.0329
18_maternal,chain01_datawig,14,0.2276 ± 0.0249
18_maternal,chain01_datawig,15,0.2329 ± 0.0527
18_maternal,chain01_datawig,16,0.2190 ± 0.0432
18_maternal,chain01_datawig,17,0.2280 ± 0.0415
18_maternal,chain01_datawig,18,0.2232 ± 0.0781
18_maternal,chain01_datawig,19,0.2539 ± 0.0400
18_maternal,chain01_datawig,20,0.2279 ± 0.0857
18_maternal,chain01_datawig,21,0.2222 ± 0.0546
18_maternal,chain01_datawig,22,0.2318 ± 0.0299
18_maternal,chain01_datawig,23,0.2151 ± 0.0700
18_maternal,chain01_datawig,24,0.2062 ± 0.0486
18_maternal,chain01_datawig,25,0.2396 ± 0.0351
18_maternal,chain01_datawig,26,0.3091 ± 0.1946
18_maternal,chain01_datawig,27,0.3130 ± 0.1935
18_maternal,chain01_datawig,28,0.2067 ± 0.0459
18_maternal,chain01_datawig,29,0.3097 ± 0.1845
18_maternal,chain01_datawig,30,0.3013 ± 0.2068
18_maternal,chain03_datawig,1,0.2583 ± 0.0318
18_maternal,chain03_datawig,2,0.2342 ± 0.0619
18_maternal,chain03_datawig,3,0.3336 ± 0.1861
18_maternal,chain03_datawig,4,0.2476 ± 0.0333
18_maternal,chain03_datawig,5,0.2075 ± 0.0195
18_maternal,chain03_datawig,6,0.2313 ± 0.0295
18_maternal,chain03_datawig,7,0.2397 ± 0.0145
18_maternal,chain03_datawig,8,0.2162 ± 0.0642
18_maternal,chain03_datawig,9,0.2606 ± 0.0465
18_maternal,chain03_datawig,10,0.2303 ± 0.0375
18_maternal,chain03_datawig,11,0.2145 ± 0.0742
18_maternal,chain03_datawig,12,0.2247 ± 0.0690
18_maternal,chain03_datawig,13,0.2270 ± 0.0341
18_maternal,chain03_datawig,14,0.2270 ± 0.0254
18_maternal,chain03_datawig,15,0.2310 ± 0.0515
18_maternal,chain03_datawig,16,0.2182 ± 0.0449
18_maternal,chain03_datawig,17,0.2286 ± 0.0390
18_maternal,chain03_datawig,18,0.2235 ± 0.0783
18_maternal,chain03_datawig,19,0.2521 ± 0.0412
18_maternal,chain03_datawig,20,0.2270 ± 0.0862
18_maternal,chain03_datawig,21,0.2218 ± 0.0575
18_maternal,chain03_datawig,22,0.2287 ± 0.0333
18_maternal,chain03_datawig,23,0.2148 ± 0.0696
18_maternal,chain03_datawig,24,0.2049 ± 0.0459
18_maternal,chain03_datawig,25,0.2387 ± 0.0353
18_maternal,chain03_datawig,26,0.3121 ± 0.2028
18_maternal,chain03_datawig,27,0.3167 ± 0.1991
18_maternal,chain03_datawig,28,0.2074 ± 0.0470
18_maternal,chain03_datawig,29,0.3144 ± 0.1940
18_maternal,chain03_datawig,30,0.3046 ± 0.2194
18_maternal,up_chain03_datawig,1,0.2609 ± 0.0337
18_maternal,up_chain03_datawig,2,0.2392 ± 0.0617
18_maternal,up_chain03_datawig,3,0.3346 ± 0.1891
18_maternal,up_chain03_datawig,4,0.2474 ± 0.0333
18_maternal,up_chain03_datawig,5,0.2080 ± 0.0165
18_maternal,up_chain03_datawig,6,0.2332 ± 0.0325
18_maternal,up_chain03_datawig,7,0.2411 ± 0.0175
18_maternal,up_chain03_datawig,8,0.2162 ± 0.0639
18_maternal,up_chain03_datawig,9,0.2600 ± 0.0454
18_maternal,up_chain03_datawig,10,0.2321 ± 0.0364
18_maternal,up_chain03_datawig,11,0.2149 ± 0.0748
18_maternal,up_chain03_datawig,12,0.2236 ± 0.0702
18_maternal,up_chain03_datawig,13,0.2286 ± 0.0322
18_maternal,up_chain03_datawig,14,0.2269 ± 0.0251
18_maternal,up_chain03_datawig,15,0.2319 ± 0.0525
18_maternal,up_chain03_datawig,16,0.2210 ± 0.0401
18_maternal,up_chain03_datawig,17,0.2307 ± 0.0407
18_maternal,up_chain03_datawig,18,0.2249 ± 0.0763
18_maternal,up_chain03_datawig,19,0.2531 ± 0.0402
18_maternal,up_chain03_datawig,20,0.2263 ± 0.0848
18_maternal,up_chain03_datawig,21,0.2228 ± 0.0542
18_maternal,up_chain03_datawig,22,0.2300 ± 0.0300
18_maternal,up_chain03_datawig,23,0.2166 ± 0.0699
18_maternal,up_chain03_datawig,24,0.2078 ± 0.0482
18_maternal,up_chain03_datawig,25,0.2413 ± 0.0374
18_maternal,up_chain03_datawig,26,0.3076 ± 0.1915
18_maternal,up_chain03_datawig,27,0.3159 ± 0.1992
18_maternal,up_chain03_datawig,28,0.2091 ± 0.0450
18_maternal,up_chain03_datawig,29,0.3140 ± 0.1933
18_maternal,up_chain03_datawig,30,0.3005 ± 0.2065
