Dataset,method,Experiment,RMSE
19_contraceptive,chain01_datawig,1,0.2756 ± 0.0545
19_contraceptive,chain01_datawig,2,0.2687 ± 0.0767
19_contraceptive,chain01_datawig,3,0.2627 ± 0.0706
19_contraceptive,chain01_datawig,4,0.2697 ± 0.0790
19_contraceptive,chain01_datawig,5,0.2728 ± 0.0758
19_contraceptive,chain01_datawig,6,0.2875 ± 0.0627
19_contraceptive,chain01_datawig,7,0.2695 ± 0.0802
19_contraceptive,chain01_datawig,8,0.2816 ± 0.0775
19_contraceptive,chain01_datawig,9,0.2708 ± 0.0765
19_contraceptive,chain01_datawig,10,0.2783 ± 0.0758
19_contraceptive,chain01_datawig,11,0.2679 ± 0.0762
19_contraceptive,chain01_datawig,12,0.2858 ± 0.0934
19_contraceptive,chain01_datawig,13,0.2792 ± 0.0912
19_contraceptive,chain01_datawig,14,0.2743 ± 0.0720
19_contraceptive,chain01_datawig,15,0.2508 ± 0.0865
19_contraceptive,chain01_datawig,16,0.2833 ± 0.0678
19_contraceptive,chain01_datawig,17,0.2845 ± 0.0728
19_contraceptive,chain01_datawig,18,0.2868 ± 0.0701
19_contraceptive,chain01_datawig,19,0.2848 ± 0.0765
19_contraceptive,chain01_datawig,20,0.2590 ± 0.0631
19_contraceptive,chain01_datawig,21,0.2855 ± 0.0659
19_contraceptive,chain01_datawig,22,0.2811 ± 0.0769
19_contraceptive,chain01_datawig,23,0.2778 ± 0.0744
19_contraceptive,chain01_datawig,24,0.2648 ± 0.0846
19_contraceptive,chain01_datawig,25,0.2746 ± 0.0511
19_contraceptive,chain01_datawig,26,0.2757 ± 0.0725
19_contraceptive,chain01_datawig,27,0.2846 ± 0.0781
19_contraceptive,chain01_datawig,28,0.2772 ± 0.0685
19_contraceptive,chain01_datawig,29,0.2800 ± 0.0569
19_contraceptive,chain01_datawig,30,0.2815 ± 0.0781
19_contraceptive,chain03_datawig,1,0.2737 ± 0.0515
19_contraceptive,chain03_datawig,2,0.2650 ± 0.0735
19_contraceptive,chain03_datawig,3,0.2587 ± 0.0701
19_contraceptive,chain03_datawig,4,0.2611 ± 0.0781
19_contraceptive,chain03_datawig,5,0.2714 ± 0.0754
19_contraceptive,chain03_datawig,6,0.2850 ± 0.0607
19_contraceptive,chain03_datawig,7,0.2659 ± 0.0800
19_contraceptive,chain03_datawig,8,0.2775 ± 0.0749
19_contraceptive,chain03_datawig,9,0.2688 ± 0.0730
19_contraceptive,chain03_datawig,10,0.2733 ± 0.0766
19_contraceptive,chain03_datawig,11,0.2648 ± 0.0757
19_contraceptive,chain03_datawig,12,0.2840 ± 0.0921
19_contraceptive,chain03_datawig,13,0.2767 ± 0.0928
19_contraceptive,chain03_datawig,14,0.2728 ± 0.0649
19_contraceptive,chain03_datawig,15,0.2462 ± 0.0888
19_contraceptive,chain03_datawig,16,0.2810 ± 0.0661
19_contraceptive,chain03_datawig,17,0.2818 ± 0.0721
19_contraceptive,chain03_datawig,18,0.2834 ± 0.0650
19_contraceptive,chain03_datawig,19,0.2807 ± 0.0753
19_contraceptive,chain03_datawig,20,0.2539 ± 0.0605
19_contraceptive,chain03_datawig,21,0.2797 ± 0.0618
19_contraceptive,chain03_datawig,22,0.2787 ± 0.0726
19_contraceptive,chain03_datawig,23,0.2751 ± 0.0728
19_contraceptive,chain03_datawig,24,0.2609 ± 0.0872
19_contraceptive,chain03_datawig,25,0.2717 ± 0.0505
19_contraceptive,chain03_datawig,26,0.2718 ± 0.0700
19_contraceptive,chain03_datawig,27,0.2844 ± 0.0749
19_contraceptive,chain03_datawig,28,0.2731 ± 0.0672
19_contraceptive,chain03_datawig,29,0.2751 ± 0.0541
19_contraceptive,chain03_datawig,30,0.2778 ± 0.0744
19_contraceptive,up_chain03_datawig,1,0.2791 ± 0.0613
19_contraceptive,up_chain03_datawig,2,0.2683 ± 0.0783
19_contraceptive,up_chain03_datawig,3,0.2650 ± 0.0725
19_contraceptive,up_chain03_datawig,4,0.2691 ± 0.0862
19_contraceptive,up_chain03_datawig,5,0.2772 ± 0.0786
19_contraceptive,up_chain03_datawig,6,0.2876 ± 0.0634
19_contraceptive,up_chain03_datawig,7,0.2720 ± 0.0852
19_contraceptive,up_chain03_datawig,8,0.2807 ± 0.0791
19_contraceptive,up_chain03_datawig,9,0.2729 ± 0.0752
19_contraceptive,up_chain03_datawig,10,0.2776 ± 0.0768
19_contraceptive,up_chain03_datawig,11,0.2725 ± 0.0795
19_contraceptive,up_chain03_datawig,12,0.2883 ± 0.0956
19_contraceptive,up_chain03_datawig,13,0.2805 ± 0.0927
19_contraceptive,up_chain03_datawig,14,0.2765 ± 0.0721
19_contraceptive,up_chain03_datawig,15,0.2582 ± 0.0880
19_contraceptive,up_chain03_datawig,16,0.2880 ± 0.0721
19_contraceptive,up_chain03_datawig,17,0.2880 ± 0.0783
19_contraceptive,up_chain03_datawig,18,0.2856 ± 0.0689
19_contraceptive,up_chain03_datawig,19,0.2843 ± 0.0776
19_contraceptive,up_chain03_datawig,20,0.2597 ± 0.0645
19_contraceptive,up_chain03_datawig,21,0.2834 ± 0.0668
19_contraceptive,up_chain03_datawig,22,0.2806 ± 0.0810
19_contraceptive,up_chain03_datawig,23,0.2788 ± 0.0742
19_contraceptive,up_chain03_datawig,24,0.2674 ± 0.0912
19_contraceptive,up_chain03_datawig,25,0.2794 ± 0.0528
19_contraceptive,up_chain03_datawig,26,0.2831 ± 0.0728
19_contraceptive,up_chain03_datawig,27,0.2860 ± 0.0820
19_contraceptive,up_chain03_datawig,28,0.2834 ± 0.0843
