Dataset,method,Experiment,RMSE
1_breast,chain01_datawig,1,0.3210 ± 0.1102
1_breast,chain01_datawig,2,0.2975 ± 0.1086
1_breast,chain01_datawig,3,0.3575 ± 0.1162
1_breast,chain01_datawig,4,0.3233 ± 0.1149
1_breast,chain01_datawig,5,0.2919 ± 0.1294
1_breast,chain01_datawig,6,0.4038 ± 0.1916
1_breast,chain01_datawig,7,0.3383 ± 0.1319
1_breast,chain01_datawig,8,0.3132 ± 0.1311
1_breast,chain01_datawig,9,0.2784 ± 0.1439
1_breast,chain01_datawig,10,0.3728 ± 0.1913
1_breast,chain01_datawig,11,0.3375 ± 0.1255
1_breast,chain01_datawig,12,0.3600 ± 0.1406
1_breast,chain01_datawig,13,0.2785 ± 0.1192
1_breast,chain01_datawig,14,0.3467 ± 0.1273
1_breast,chain01_datawig,15,0.3408 ± 0.1224
1_breast,chain01_datawig,16,0.3679 ± 0.1104
1_breast,chain01_datawig,17,0.3070 ± 0.1195
1_breast,chain01_datawig,18,0.4070 ± 0.1565
1_breast,chain01_datawig,19,0.3396 ± 0.1323
1_breast,chain01_datawig,20,0.3701 ± 0.1043
1_breast,chain01_datawig,21,0.2989 ± 0.1295
1_breast,chain01_datawig,22,0.3549 ± 0.1791
1_breast,chain01_datawig,23,0.3228 ± 0.1270
1_breast,chain01_datawig,24,0.2935 ± 0.1105
1_breast,chain01_datawig,25,0.3358 ± 0.1307
1_breast,chain01_datawig,26,0.3722 ± 0.2025
1_breast,chain01_datawig,27,0.3581 ± 0.1163
1_breast,chain01_datawig,28,0.3087 ± 0.1036
1_breast,chain01_datawig,29,0.3861 ± 0.1836
1_breast,chain01_datawig,30,0.3897 ± 0.1994
1_breast,chain03_datawig,1,0.3292 ± 0.0902
1_breast,chain03_datawig,2,0.2901 ± 0.0999
1_breast,chain03_datawig,3,0.3429 ± 0.1223
1_breast,chain03_datawig,4,0.3241 ± 0.1030
1_breast,chain03_datawig,5,0.2818 ± 0.1157
1_breast,chain03_datawig,6,0.3937 ± 0.1823
1_breast,chain03_datawig,7,0.3292 ± 0.1252
1_breast,chain03_datawig,8,0.3124 ± 0.1243
1_breast,chain03_datawig,9,0.2854 ± 0.1249
1_breast,chain03_datawig,10,0.3629 ± 0.1893
1_breast,chain03_datawig,11,0.3399 ± 0.1251
1_breast,chain03_datawig,12,0.3568 ± 0.1249
1_breast,chain03_datawig,13,0.2901 ± 0.1149
1_breast,chain03_datawig,14,0.3506 ± 0.1254
1_breast,chain03_datawig,15,0.3447 ± 0.1133
1_breast,chain03_datawig,16,0.3578 ± 0.1056
1_breast,chain03_datawig,17,0.3124 ± 0.1099
1_breast,chain03_datawig,18,0.4027 ± 0.1582
1_breast,chain03_datawig,19,0.3372 ± 0.1172
1_breast,chain03_datawig,20,0.3662 ± 0.0937
1_breast,chain03_datawig,21,0.2960 ± 0.1142
1_breast,chain03_datawig,22,0.3577 ± 0.1850
1_breast,chain03_datawig,23,0.3161 ± 0.1054
1_breast,chain03_datawig,24,0.2837 ± 0.0998
1_breast,chain03_datawig,25,0.3342 ± 0.1280
1_breast,chain03_datawig,26,0.3730 ± 0.2056
1_breast,chain03_datawig,27,0.3598 ± 0.1070
1_breast,chain03_datawig,28,0.2983 ± 0.0924
1_breast,chain03_datawig,29,0.3925 ± 0.1873
1_breast,chain03_datawig,30,0.3811 ± 0.1864
1_breast,chain01_datawig,1,0.3299 ± 0.1075
1_breast,chain01_datawig,2,0.3044 ± 0.1222
1_breast,chain01_datawig,3,0.3493 ± 0.1382
1_breast,chain01_datawig,4,0.3188 ± 0.1254
1_breast,chain01_datawig,5,0.2871 ± 0.1280
1_breast,chain01_datawig,6,0.4043 ± 0.1802
1_breast,chain01_datawig,7,0.3352 ± 0.1470
1_breast,chain01_datawig,8,0.3205 ± 0.1351
1_breast,chain01_datawig,9,0.2910 ± 0.1459
1_breast,chain01_datawig,10,0.3829 ± 0.1884
1_breast,chain01_datawig,11,0.3402 ± 0.1324
1_breast,chain01_datawig,12,0.3597 ± 0.1291
1_breast,chain01_datawig,13,0.3037 ± 0.1453
1_breast,chain01_datawig,14,0.3543 ± 0.1437
1_breast,chain01_datawig,15,0.3557 ± 0.1199
1_breast,chain01_datawig,16,0.3779 ± 0.1234
1_breast,chain01_datawig,17,0.3180 ± 0.1267
1_breast,chain01_datawig,18,0.4137 ± 0.1571
1_breast,chain01_datawig,19,0.3448 ± 0.1339
1_breast,chain01_datawig,20,0.3773 ± 0.1100
1_breast,chain01_datawig,21,0.3025 ± 0.1418
1_breast,chain01_datawig,22,0.3583 ± 0.1874
1_breast,chain01_datawig,23,0.3230 ± 0.1316
1_breast,chain01_datawig,24,0.2912 ± 0.1075
1_breast,chain01_datawig,25,0.3435 ± 0.1309
1_breast,chain01_datawig,26,0.3665 ± 0.1761
1_breast,chain01_datawig,27,0.3546 ± 0.1193
1_breast,chain01_datawig,28,0.3132 ± 0.1084
1_breast,chain01_datawig,29,0.3808 ± 0.1774
1_breast,chain01_datawig,30,0.3887 ± 0.1903
1_breast,up_chain03_datawig,1,0.3299 ± 0.1075
1_breast,up_chain03_datawig,2,0.3044 ± 0.1222
1_breast,up_chain03_datawig,3,0.3493 ± 0.1382
1_breast,up_chain03_datawig,4,0.3188 ± 0.1254
1_breast,up_chain03_datawig,5,0.2871 ± 0.1280
1_breast,up_chain03_datawig,6,0.4043 ± 0.1802
1_breast,up_chain03_datawig,7,0.3352 ± 0.1470
1_breast,up_chain03_datawig,8,0.3205 ± 0.1351
1_breast,up_chain03_datawig,9,0.2910 ± 0.1459
1_breast,up_chain03_datawig,10,0.3829 ± 0.1884
1_breast,up_chain03_datawig,11,0.3402 ± 0.1324
1_breast,up_chain03_datawig,12,0.3597 ± 0.1291
1_breast,up_chain03_datawig,13,0.3037 ± 0.1453
1_breast,up_chain03_datawig,14,0.3543 ± 0.1437
1_breast,up_chain03_datawig,15,0.3557 ± 0.1199
1_breast,up_chain03_datawig,16,0.3779 ± 0.1234
1_breast,up_chain03_datawig,17,0.3180 ± 0.1267
1_breast,up_chain03_datawig,18,0.4137 ± 0.1571
1_breast,up_chain03_datawig,19,0.3448 ± 0.1339
1_breast,up_chain03_datawig,20,0.3773 ± 0.1100
1_breast,up_chain03_datawig,21,0.3025 ± 0.1418
1_breast,up_chain03_datawig,22,0.3583 ± 0.1874
1_breast,up_chain03_datawig,23,0.3230 ± 0.1316
1_breast,up_chain03_datawig,24,0.2912 ± 0.1075
1_breast,up_chain03_datawig,25,0.3435 ± 0.1309
1_breast,up_chain03_datawig,26,0.3665 ± 0.1761
1_breast,up_chain03_datawig,27,0.3546 ± 0.1193
1_breast,up_chain03_datawig,28,0.3132 ± 0.1084
1_breast,up_chain03_datawig,29,0.3808 ± 0.1774
1_breast,up_chain03_datawig,30,0.3887 ± 0.1903
