Dataset,method,Experiment,RMSE
20_obesity,chain01_datawig,1,0.2589 ± 0.1053
20_obesity,chain01_datawig,2,0.2297 ± 0.0976
20_obesity,chain01_datawig,3,0.2348 ± 0.0961
20_obesity,chain01_datawig,4,0.2413 ± 0.0957
20_obesity,chain01_datawig,5,0.2341 ± 0.0859
20_obesity,chain01_datawig,6,0.2467 ± 0.0974
20_obesity,chain01_datawig,7,0.2518 ± 0.0975
20_obesity,chain01_datawig,8,0.2429 ± 0.0955
20_obesity,chain01_datawig,9,0.2426 ± 0.0784
20_obesity,chain01_datawig,10,0.2546 ± 0.0807
20_obesity,chain01_datawig,11,0.2404 ± 0.0869
20_obesity,chain01_datawig,12,0.2471 ± 0.0962
20_obesity,chain01_datawig,13,0.2308 ± 0.0889
20_obesity,chain01_datawig,14,0.2362 ± 0.0883
20_obesity,chain01_datawig,15,0.2480 ± 0.0857
20_obesity,chain01_datawig,16,0.2392 ± 0.0926
20_obesity,chain01_datawig,17,0.2467 ± 0.0976
20_obesity,chain01_datawig,18,0.2588 ± 0.1012
20_obesity,chain01_datawig,19,0.2392 ± 0.0875
20_obesity,chain01_datawig,20,0.2526 ± 0.1002
20_obesity,chain01_datawig,21,0.2570 ± 0.0813
20_obesity,chain01_datawig,22,0.2314 ± 0.0880
20_obesity,chain01_datawig,23,0.2445 ± 0.0900
20_obesity,chain01_datawig,24,0.2430 ± 0.0956
20_obesity,chain01_datawig,25,0.2333 ± 0.0949
20_obesity,chain01_datawig,26,0.2362 ± 0.0885
20_obesity,chain01_datawig,27,0.2425 ± 0.0962
20_obesity,chain01_datawig,28,0.2522 ± 0.0929
20_obesity,chain01_datawig,29,0.2370 ± 0.0995
20_obesity,chain01_datawig,30,0.2380 ± 0.0794
20_obesity,chain03_datawig,1,0.2545 ± 0.1086
20_obesity,chain03_datawig,2,0.2257 ± 0.1047
20_obesity,chain03_datawig,3,0.2342 ± 0.1043
20_obesity,chain03_datawig,4,0.2415 ± 0.0971
20_obesity,chain03_datawig,5,0.2348 ± 0.0956
20_obesity,chain03_datawig,6,0.2454 ± 0.1107
20_obesity,chain03_datawig,7,0.2467 ± 0.1068
20_obesity,chain03_datawig,8,0.2398 ± 0.1048
20_obesity,chain03_datawig,9,0.2418 ± 0.0810
20_obesity,chain03_datawig,10,0.2549 ± 0.0825
20_obesity,chain03_datawig,11,0.2381 ± 0.0912
20_obesity,chain03_datawig,12,0.2468 ± 0.1029
20_obesity,chain03_datawig,13,0.2283 ± 0.0942
20_obesity,chain03_datawig,14,0.2327 ± 0.0916
20_obesity,chain03_datawig,15,0.2466 ± 0.0874
20_obesity,chain03_datawig,16,0.2377 ± 0.0973
20_obesity,chain03_datawig,17,0.2468 ± 0.1049
20_obesity,chain03_datawig,18,0.2621 ± 0.1100
20_obesity,chain03_datawig,19,0.2432 ± 0.0967
20_obesity,chain03_datawig,20,0.2555 ± 0.1018
20_obesity,chain03_datawig,21,0.2593 ± 0.0865
20_obesity,chain03_datawig,22,0.2329 ± 0.0999
20_obesity,chain03_datawig,23,0.2434 ± 0.0972
20_obesity,chain03_datawig,24,0.2370 ± 0.1026
20_obesity,chain03_datawig,25,0.2255 ± 0.1039
20_obesity,chain03_datawig,26,0.2374 ± 0.0915
20_obesity,chain03_datawig,27,0.2419 ± 0.1040
20_obesity,chain03_datawig,28,0.2574 ± 0.1043
20_obesity,chain03_datawig,29,0.2324 ± 0.1071
20_obesity,chain03_datawig,30,0.2337 ± 0.0813
20_obesity,up_chain03_datawig,1,0.2559 ± 0.1049
20_obesity,up_chain03_datawig,2,0.2296 ± 0.0987
20_obesity,up_chain03_datawig,3,0.2404 ± 0.1003
20_obesity,up_chain03_datawig,4,0.2466 ± 0.1033
20_obesity,up_chain03_datawig,5,0.2380 ± 0.0951
20_obesity,up_chain03_datawig,6,0.2477 ± 0.1028
20_obesity,up_chain03_datawig,7,0.2504 ± 0.1024
20_obesity,up_chain03_datawig,8,0.2454 ± 0.0987
20_obesity,up_chain03_datawig,9,0.2424 ± 0.0821
20_obesity,up_chain03_datawig,10,0.2587 ± 0.0863
20_obesity,up_chain03_datawig,11,0.2466 ± 0.0958
20_obesity,up_chain03_datawig,12,0.2492 ± 0.0978
20_obesity,up_chain03_datawig,13,0.2330 ± 0.0937
20_obesity,up_chain03_datawig,14,0.2396 ± 0.0960
20_obesity,up_chain03_datawig,15,0.2505 ± 0.0887
20_obesity,up_chain03_datawig,16,0.2387 ± 0.0955
20_obesity,up_chain03_datawig,17,0.2470 ± 0.1049
20_obesity,up_chain03_datawig,18,0.2623 ± 0.1106
20_obesity,up_chain03_datawig,19,0.2367 ± 0.0900
20_obesity,up_chain03_datawig,20,0.2581 ± 0.1091
20_obesity,up_chain03_datawig,21,0.2635 ± 0.0866
20_obesity,up_chain03_datawig,22,0.2362 ± 0.0982
20_obesity,up_chain03_datawig,23,0.2460 ± 0.0965
20_obesity,up_chain03_datawig,24,0.2433 ± 0.1004
20_obesity,up_chain03_datawig,25,0.2317 ± 0.1025
20_obesity,up_chain03_datawig,26,0.2412 ± 0.0976
20_obesity,up_chain03_datawig,27,0.2478 ± 0.1071
20_obesity,up_chain03_datawig,28,0.2576 ± 0.0966
20_obesity,up_chain03_datawig,29,0.2346 ± 0.1044
20_obesity,up_chain03_datawig,30,0.2372 ± 0.0815
