Dataset,method,Experiment,RMSE
21_yeast,chain01_datawig,1,0.0914 ± 0.0493
21_yeast,chain01_datawig,2,0.2003 ± 0.2444
21_yeast,chain01_datawig,3,0.0987 ± 0.0616
21_yeast,chain01_datawig,4,0.1197 ± 0.0261
21_yeast,chain01_datawig,5,0.1315 ± 0.0385
21_yeast,chain01_datawig,6,0.1240 ± 0.0436
21_yeast,chain01_datawig,7,0.1337 ± 0.0427
21_yeast,chain01_datawig,8,0.3483 ± 0.5167
21_yeast,chain01_datawig,9,0.0970 ± 0.0537
21_yeast,chain01_datawig,10,0.1257 ± 0.0342
21_yeast,chain01_datawig,11,0.1109 ± 0.0428
21_yeast,chain01_datawig,12,0.1104 ± 0.0467
21_yeast,chain01_datawig,13,0.1059 ± 0.0536
21_yeast,chain01_datawig,14,0.1422 ± 0.0334
21_yeast,chain01_datawig,15,0.1112 ± 0.0492
21_yeast,chain01_datawig,16,0.1135 ± 0.0628
21_yeast,chain01_datawig,17,0.2995 ± 0.4854
21_yeast,chain01_datawig,18,0.1216 ± 0.0358
21_yeast,chain01_datawig,19,0.1109 ± 0.0604
21_yeast,chain01_datawig,20,0.1035 ± 0.0500
21_yeast,chain01_datawig,21,0.1248 ± 0.0469
21_yeast,chain01_datawig,22,0.1185 ± 0.0382
21_yeast,chain01_datawig,23,0.1435 ± 0.0428
21_yeast,chain01_datawig,24,0.1272 ± 0.0703
21_yeast,chain01_datawig,25,0.1037 ± 0.0496
21_yeast,chain01_datawig,26,0.1295 ± 0.0709
21_yeast,chain01_datawig,27,0.1270 ± 0.0610
21_yeast,chain01_datawig,28,0.1980 ± 0.2343
21_yeast,chain01_datawig,29,0.2064 ± 0.2354
21_yeast,chain01_datawig,30,0.1228 ± 0.0423
21_yeast,chain03_datawig,1,0.0889 ± 0.0558
21_yeast,chain03_datawig,2,0.1293 ± 0.0739
21_yeast,chain03_datawig,3,0.1191 ± 0.0688
21_yeast,chain03_datawig,4,0.1188 ± 0.0278
21_yeast,chain03_datawig,5,0.1301 ± 0.0400
21_yeast,chain03_datawig,6,0.1238 ± 0.0526
21_yeast,chain03_datawig,7,0.1350 ± 0.0293
21_yeast,chain03_datawig,8,0.2520 ± 0.2582
21_yeast,chain03_datawig,9,0.0936 ± 0.0595
21_yeast,chain03_datawig,10,0.1252 ± 0.0374
21_yeast,chain03_datawig,11,0.1090 ± 0.0477
21_yeast,chain03_datawig,12,0.1088 ± 0.0545
21_yeast,chain03_datawig,13,0.1062 ± 0.0702
21_yeast,chain03_datawig,14,0.1405 ± 0.0308
21_yeast,chain03_datawig,15,0.1140 ± 0.0679
21_yeast,chain03_datawig,16,0.1108 ± 0.0693
21_yeast,chain03_datawig,17,0.2336 ± 0.2862
21_yeast,chain03_datawig,18,0.1188 ± 0.0491
21_yeast,chain03_datawig,19,0.1201 ± 0.0539
21_yeast,chain03_datawig,20,0.1125 ± 0.0561
21_yeast,chain03_datawig,21,0.1265 ± 0.0441
21_yeast,chain03_datawig,22,0.1162 ± 0.0453
21_yeast,chain03_datawig,23,0.1449 ± 0.0454
21_yeast,chain03_datawig,24,0.1243 ± 0.0829
21_yeast,chain03_datawig,25,0.1006 ± 0.0567
21_yeast,chain03_datawig,26,0.1031 ± 0.0652
21_yeast,chain03_datawig,27,0.1249 ± 0.0635
21_yeast,chain03_datawig,28,0.2005 ± 0.2479
21_yeast,chain03_datawig,29,0.3238 ± 0.5519
21_yeast,chain03_datawig,30,0.1193 ± 0.0513
21_yeast,up_chain03_datawig,1,0.0938 ± 0.0455
21_yeast,up_chain03_datawig,2,0.2218 ± 0.3000
21_yeast,up_chain03_datawig,3,0.0997 ± 0.0610
21_yeast,up_chain03_datawig,4,0.1165 ± 0.0306
21_yeast,up_chain03_datawig,5,0.1331 ± 0.0371
21_yeast,up_chain03_datawig,6,0.1241 ± 0.0449
21_yeast,up_chain03_datawig,7,0.1297 ± 0.0355
21_yeast,up_chain03_datawig,8,0.3421 ± 0.5053
21_yeast,up_chain03_datawig,9,0.1033 ± 0.0438
21_yeast,up_chain03_datawig,10,0.1252 ± 0.0358
21_yeast,up_chain03_datawig,11,0.1152 ± 0.0402
21_yeast,up_chain03_datawig,12,0.1128 ± 0.0412
21_yeast,up_chain03_datawig,13,0.1054 ± 0.0552
21_yeast,up_chain03_datawig,14,0.1402 ± 0.0305
21_yeast,up_chain03_datawig,15,0.1123 ± 0.0467
21_yeast,up_chain03_datawig,16,0.1184 ± 0.0548
21_yeast,up_chain03_datawig,17,0.3309 ± 0.5830
21_yeast,up_chain03_datawig,18,0.1206 ± 0.0374
21_yeast,up_chain03_datawig,19,0.1143 ± 0.0496
21_yeast,up_chain03_datawig,20,0.1077 ± 0.0447
21_yeast,up_chain03_datawig,21,0.1236 ± 0.0448
21_yeast,up_chain03_datawig,22,0.1196 ± 0.0369
21_yeast,up_chain03_datawig,23,0.1458 ± 0.0460
21_yeast,up_chain03_datawig,24,0.1295 ± 0.0750
21_yeast,up_chain03_datawig,25,0.1046 ± 0.0487
21_yeast,up_chain03_datawig,26,0.1044 ± 0.0518
21_yeast,up_chain03_datawig,27,0.1334 ± 0.0476
21_yeast,up_chain03_datawig,28,0.2652 ± 0.4176
21_yeast,up_chain03_datawig,29,0.2427 ± 0.3392
21_yeast,up_chain03_datawig,30,0.1276 ± 0.0302
