Dataset,method,Experiment,RMSE
27_wholesale,chain01_datawig,1,0.1429 ± 0.0621
27_wholesale,chain01_datawig,2,0.1425 ± 0.0471
27_wholesale,chain01_datawig,3,0.1582 ± 0.0711
27_wholesale,chain01_datawig,4,0.1864 ± 0.1284
27_wholesale,chain01_datawig,5,0.1435 ± 0.0772
27_wholesale,chain01_datawig,6,0.1240 ± 0.0402
27_wholesale,chain01_datawig,7,0.1082 ± 0.0931
27_wholesale,chain01_datawig,8,0.1780 ± 0.0448
27_wholesale,chain01_datawig,9,0.2039 ± 0.0536
27_wholesale,chain01_datawig,10,0.1303 ± 0.0472
27_wholesale,chain01_datawig,11,0.1230 ± 0.0632
27_wholesale,chain01_datawig,12,0.1928 ± 0.0797
27_wholesale,chain01_datawig,13,0.1487 ± 0.1096
27_wholesale,chain01_datawig,14,0.0786 ± 0.0421
27_wholesale,chain01_datawig,15,0.0983 ± 0.0631
27_wholesale,chain01_datawig,16,0.1413 ± 0.0341
27_wholesale,chain01_datawig,17,0.2262 ± 0.1330
27_wholesale,chain01_datawig,18,0.2159 ± 0.1089
27_wholesale,chain01_datawig,19,0.1100 ± 0.0948
27_wholesale,chain01_datawig,20,0.1341 ± 0.0501
27_wholesale,chain01_datawig,21,0.1162 ± 0.0474
27_wholesale,chain01_datawig,22,0.1231 ± 0.0710
27_wholesale,chain01_datawig,23,0.1245 ± 0.0486
27_wholesale,chain01_datawig,24,0.1225 ± 0.0926
27_wholesale,chain01_datawig,25,0.1357 ± 0.0481
27_wholesale,chain01_datawig,26,0.1209 ± 0.0401
27_wholesale,chain01_datawig,27,0.1244 ± 0.0504
27_wholesale,chain01_datawig,28,0.1319 ± 0.0760
27_wholesale,chain01_datawig,29,0.0881 ± 0.0485
27_wholesale,chain01_datawig,30,0.0722 ± 0.0121
27_wholesale,chain03_datawig,1,0.1295 ± 0.0611
27_wholesale,chain03_datawig,2,0.1352 ± 0.0335
27_wholesale,chain03_datawig,3,0.1660 ± 0.0650
27_wholesale,chain03_datawig,4,0.1751 ± 0.1028
27_wholesale,chain03_datawig,5,0.1403 ± 0.0843
27_wholesale,chain03_datawig,6,0.1206 ± 0.0397
27_wholesale,chain03_datawig,7,0.1280 ± 0.1034
27_wholesale,chain03_datawig,8,0.1745 ± 0.0599
27_wholesale,chain03_datawig,9,0.2090 ± 0.0631
27_wholesale,chain03_datawig,10,0.1428 ± 0.0624
27_wholesale,chain03_datawig,11,0.1249 ± 0.0646
27_wholesale,chain03_datawig,12,0.2001 ± 0.0868
27_wholesale,chain03_datawig,13,0.1456 ± 0.1083
27_wholesale,chain03_datawig,14,0.0744 ± 0.0379
27_wholesale,chain03_datawig,15,0.1412 ± 0.1495
27_wholesale,chain03_datawig,16,0.1387 ± 0.0277
27_wholesale,chain03_datawig,17,0.2219 ± 0.1149
27_wholesale,chain03_datawig,18,0.2030 ± 0.0900
27_wholesale,chain03_datawig,19,0.0893 ± 0.0627
27_wholesale,chain03_datawig,20,0.1281 ± 0.0449
27_wholesale,chain03_datawig,21,0.1174 ± 0.0332
27_wholesale,chain03_datawig,22,0.1228 ± 0.0881
27_wholesale,chain03_datawig,23,0.1159 ± 0.0579
27_wholesale,chain03_datawig,24,0.1242 ± 0.0888
27_wholesale,chain03_datawig,25,0.1328 ± 0.0427
27_wholesale,chain03_datawig,26,0.1250 ± 0.0442
27_wholesale,chain03_datawig,27,0.1195 ± 0.0494
27_wholesale,chain03_datawig,28,0.1234 ± 0.0673
27_wholesale,chain03_datawig,29,0.0868 ± 0.0339
27_wholesale,chain03_datawig,30,0.0707 ± 0.0167
27_wholesale,up_chain03_datawig,1,0.1265 ± 0.0489
27_wholesale,up_chain03_datawig,2,0.1430 ± 0.0462
27_wholesale,up_chain03_datawig,3,0.1567 ± 0.0683
27_wholesale,up_chain03_datawig,4,0.1965 ± 0.1457
27_wholesale,up_chain03_datawig,5,0.1370 ± 0.0667
27_wholesale,up_chain03_datawig,6,0.1224 ± 0.0369
27_wholesale,up_chain03_datawig,7,0.1107 ± 0.0922
27_wholesale,up_chain03_datawig,8,0.1771 ± 0.0491
27_wholesale,up_chain03_datawig,9,0.2125 ± 0.0723
27_wholesale,up_chain03_datawig,10,0.1352 ± 0.0391
27_wholesale,up_chain03_datawig,11,0.1249 ± 0.0603
27_wholesale,up_chain03_datawig,12,0.1969 ± 0.0807
27_wholesale,up_chain03_datawig,13,0.1910 ± 0.1972
27_wholesale,up_chain03_datawig,14,0.0739 ± 0.0349
27_wholesale,up_chain03_datawig,15,0.1018 ± 0.0613
27_wholesale,up_chain03_datawig,16,0.1480 ± 0.0280
27_wholesale,up_chain03_datawig,17,0.2137 ± 0.1192
27_wholesale,up_chain03_datawig,18,0.2214 ± 0.1088
27_wholesale,up_chain03_datawig,19,0.0829 ± 0.0399
27_wholesale,up_chain03_datawig,20,0.1330 ± 0.0524
27_wholesale,up_chain03_datawig,21,0.1200 ± 0.0493
27_wholesale,up_chain03_datawig,22,0.1191 ± 0.0729
27_wholesale,up_chain03_datawig,23,0.1380 ± 0.0537
27_wholesale,up_chain03_datawig,24,0.1170 ± 0.0755
27_wholesale,up_chain03_datawig,25,0.1333 ± 0.0481
27_wholesale,up_chain03_datawig,26,0.1232 ± 0.0385
27_wholesale,up_chain03_datawig,27,0.1296 ± 0.0523
27_wholesale,up_chain03_datawig,28,0.1205 ± 0.0695
27_wholesale,up_chain03_datawig,29,0.0828 ± 0.0351
27_wholesale,up_chain03_datawig,30,0.0738 ± 0.0109
