Dataset,method,Experiment,RMSE
28_haberman,chain01_datawig,1,0.2069 ± 0.0777
28_haberman,chain01_datawig,2,0.1564 ± 0.0351
28_haberman,chain01_datawig,3,0.2150 ± 0.0555
28_haberman,chain01_datawig,4,0.1670 ± 0.1197
28_haberman,chain01_datawig,5,0.1677 ± 0.0916
28_haberman,chain01_datawig,6,0.2468 ± 0.1043
28_haberman,chain01_datawig,7,0.2002 ± 0.1413
28_haberman,chain01_datawig,8,0.2157 ± 0.0710
28_haberman,chain01_datawig,9,0.2999 ± 0.1082
28_haberman,chain01_datawig,10,0.2056 ± 0.0246
28_haberman,chain01_datawig,11,0.2052 ± 0.0576
28_haberman,chain01_datawig,12,0.1720 ± 0.1112
28_haberman,chain01_datawig,13,0.2737 ± 0.0943
28_haberman,chain01_datawig,14,0.2159 ± 0.1722
28_haberman,chain01_datawig,15,0.1772 ± 0.0614
28_haberman,chain01_datawig,16,0.2307 ± 0.0944
28_haberman,chain01_datawig,17,0.1818 ± 0.0649
28_haberman,chain01_datawig,18,0.2216 ± 0.0978
28_haberman,chain01_datawig,19,0.2161 ± 0.0085
28_haberman,chain01_datawig,20,0.2003 ± 0.0959
28_haberman,chain01_datawig,21,0.1957 ± 0.0962
28_haberman,chain01_datawig,22,0.2082 ± 0.1235
28_haberman,chain01_datawig,23,0.1789 ± 0.1131
28_haberman,chain01_datawig,24,0.2106 ± 0.0904
28_haberman,chain01_datawig,25,0.1873 ± 0.1090
28_haberman,chain01_datawig,26,0.2058 ± 0.0299
28_haberman,chain01_datawig,27,0.2195 ± 0.1245
28_haberman,chain01_datawig,28,0.2057 ± 0.0738
28_haberman,chain01_datawig,29,0.2407 ± 0.0690
28_haberman,chain01_datawig,30,0.1892 ± 0.0844
28_haberman,chain03_datawig,1,0.2041 ± 0.0818
28_haberman,chain03_datawig,2,0.1551 ± 0.0346
28_haberman,chain03_datawig,3,0.2160 ± 0.0543
28_haberman,chain03_datawig,4,0.1662 ± 0.1213
28_haberman,chain03_datawig,5,0.1644 ± 0.1079
28_haberman,chain03_datawig,6,0.2481 ± 0.1059
28_haberman,chain03_datawig,7,0.2034 ± 0.1578
28_haberman,chain03_datawig,8,0.2171 ± 0.0713
28_haberman,chain03_datawig,9,0.2894 ± 0.1021
28_haberman,chain03_datawig,10,0.2013 ± 0.0317
28_haberman,chain03_datawig,11,0.2014 ± 0.0563
28_haberman,chain03_datawig,12,0.1697 ± 0.1199
28_haberman,chain03_datawig,13,0.2698 ± 0.0917
28_haberman,chain03_datawig,14,0.2224 ± 0.1752
28_haberman,chain03_datawig,15,0.1734 ± 0.0617
28_haberman,chain03_datawig,16,0.2390 ± 0.0734
28_haberman,chain03_datawig,17,0.1805 ± 0.0634
28_haberman,chain03_datawig,18,0.2217 ± 0.0967
28_haberman,chain03_datawig,19,0.2267 ± 0.0123
28_haberman,chain03_datawig,20,0.2022 ± 0.0986
28_haberman,chain03_datawig,21,0.1968 ± 0.1032
28_haberman,chain03_datawig,22,0.2022 ± 0.1283
28_haberman,chain03_datawig,23,0.1804 ± 0.1180
28_haberman,chain03_datawig,24,0.2108 ± 0.0930
28_haberman,chain03_datawig,25,0.1873 ± 0.1113
28_haberman,chain03_datawig,26,0.2075 ± 0.0299
28_haberman,chain03_datawig,27,0.2217 ± 0.1266
28_haberman,chain03_datawig,28,0.2080 ± 0.0736
28_haberman,chain03_datawig,29,0.2394 ± 0.0692
28_haberman,chain03_datawig,30,0.1895 ± 0.0858
28_haberman,up_chain03_datawig,1,0.2066 ± 0.0774
28_haberman,up_chain03_datawig,2,0.1555 ± 0.0340
28_haberman,up_chain03_datawig,3,0.2192 ± 0.0532
28_haberman,up_chain03_datawig,4,0.1680 ± 0.1183
28_haberman,up_chain03_datawig,5,0.1687 ± 0.0934
28_haberman,up_chain03_datawig,6,0.2461 ± 0.1037
28_haberman,up_chain03_datawig,7,0.2011 ± 0.1426
28_haberman,up_chain03_datawig,8,0.2173 ± 0.0695
28_haberman,up_chain03_datawig,9,0.2987 ± 0.1065
28_haberman,up_chain03_datawig,10,0.2039 ± 0.0268
28_haberman,up_chain03_datawig,11,0.2081 ± 0.0576
28_haberman,up_chain03_datawig,12,0.1670 ± 0.1125
28_haberman,up_chain03_datawig,13,0.2688 ± 0.0897
28_haberman,up_chain03_datawig,14,0.2164 ± 0.1654
28_haberman,up_chain03_datawig,15,0.1792 ± 0.0599
28_haberman,up_chain03_datawig,16,0.2301 ± 0.0853
28_haberman,up_chain03_datawig,17,0.1816 ± 0.0627
28_haberman,up_chain03_datawig,18,0.2213 ± 0.0939
28_haberman,up_chain03_datawig,19,0.2108 ± 0.0098
28_haberman,up_chain03_datawig,20,0.2013 ± 0.0934
28_haberman,up_chain03_datawig,21,0.1950 ± 0.0951
28_haberman,up_chain03_datawig,22,0.2067 ± 0.1234
28_haberman,up_chain03_datawig,23,0.1773 ± 0.1099
28_haberman,up_chain03_datawig,24,0.2136 ± 0.0891
28_haberman,up_chain03_datawig,25,0.1880 ± 0.1059
28_haberman,up_chain03_datawig,26,0.2097 ± 0.0282
28_haberman,up_chain03_datawig,27,0.2155 ± 0.1195
28_haberman,up_chain03_datawig,28,0.2062 ± 0.0721
28_haberman,up_chain03_datawig,29,0.2386 ± 0.0679
28_haberman,up_chain03_datawig,30,0.1891 ± 0.0828
