Dataset,method,Experiment,RMSE
2_heart,chain01_datawig,1,0.3215 ± 0.1281
2_heart,chain01_datawig,2,0.3726 ± 0.1644
2_heart,chain01_datawig,3,0.3364 ± 0.1062
2_heart,chain01_datawig,4,0.2938 ± 0.1162
2_heart,chain01_datawig,5,0.3396 ± 0.1348
2_heart,chain01_datawig,6,0.3382 ± 0.1271
2_heart,chain01_datawig,7,0.3025 ± 0.1234
2_heart,chain01_datawig,8,0.3141 ± 0.1244
2_heart,chain01_datawig,9,0.3490 ± 0.1449
2_heart,chain01_datawig,10,0.2898 ± 0.1383
2_heart,chain01_datawig,11,0.3349 ± 0.1498
2_heart,chain01_datawig,12,0.3015 ± 0.1020
2_heart,chain01_datawig,13,0.2972 ± 0.1021
2_heart,chain01_datawig,14,0.3278 ± 0.1139
2_heart,chain01_datawig,15,0.3405 ± 0.1098
2_heart,chain01_datawig,16,0.2974 ± 0.1162
2_heart,chain01_datawig,17,0.3367 ± 0.1423
2_heart,chain01_datawig,18,0.3238 ± 0.0922
2_heart,chain01_datawig,19,0.3135 ± 0.1178
2_heart,chain01_datawig,20,0.3107 ± 0.1180
2_heart,chain01_datawig,21,0.3263 ± 0.1257
2_heart,chain01_datawig,22,0.2824 ± 0.1228
2_heart,chain01_datawig,23,0.3200 ± 0.1125
2_heart,chain01_datawig,24,0.3299 ± 0.1172
2_heart,chain01_datawig,25,0.3142 ± 0.1125
2_heart,chain01_datawig,26,0.3236 ± 0.1363
2_heart,chain01_datawig,27,0.3157 ± 0.1336
2_heart,chain01_datawig,28,0.3168 ± 0.0947
2_heart,chain01_datawig,29,0.2728 ± 0.0797
2_heart,chain01_datawig,30,0.3094 ± 0.1415
2_heart,chain03_datawig,1,0.3200 ± 0.1133
2_heart,chain03_datawig,2,0.3533 ± 0.1315
2_heart,chain03_datawig,3,0.3308 ± 0.1030
2_heart,chain03_datawig,4,0.2885 ± 0.1008
2_heart,chain03_datawig,5,0.3253 ± 0.1040
2_heart,chain03_datawig,6,0.3312 ± 0.1085
2_heart,chain03_datawig,7,0.2923 ± 0.1153
2_heart,chain03_datawig,8,0.2997 ± 0.1234
2_heart,chain03_datawig,9,0.3416 ± 0.1262
2_heart,chain03_datawig,10,0.2802 ± 0.1218
2_heart,chain03_datawig,11,0.3254 ± 0.1377
2_heart,chain03_datawig,12,0.2886 ± 0.0977
2_heart,chain03_datawig,13,0.2853 ± 0.0906
2_heart,chain03_datawig,14,0.3281 ± 0.0959
2_heart,chain03_datawig,15,0.3342 ± 0.0973
2_heart,chain03_datawig,16,0.2844 ± 0.1054
2_heart,chain03_datawig,17,0.3224 ± 0.1344
2_heart,chain03_datawig,18,0.3187 ± 0.0903
2_heart,chain03_datawig,19,0.3055 ± 0.1104
2_heart,chain03_datawig,20,0.3230 ± 0.1010
2_heart,chain03_datawig,21,0.3216 ± 0.1152
2_heart,chain03_datawig,22,0.2760 ± 0.0973
2_heart,chain03_datawig,23,0.3091 ± 0.0964
2_heart,chain03_datawig,24,0.3336 ± 0.1018
2_heart,chain03_datawig,25,0.2937 ± 0.1007
2_heart,chain03_datawig,26,0.3165 ± 0.1113
2_heart,chain03_datawig,27,0.3043 ± 0.1216
2_heart,chain03_datawig,28,0.3140 ± 0.0832
2_heart,chain03_datawig,29,0.2582 ± 0.0643
2_heart,chain03_datawig,30,0.3151 ± 0.1307
2_heart,up_chain03_datawig,1,0.3304 ± 0.1274
2_heart,up_chain03_datawig,2,0.3607 ± 0.1474
2_heart,up_chain03_datawig,3,0.3534 ± 0.1186
2_heart,up_chain03_datawig,4,0.3001 ± 0.1291
2_heart,up_chain03_datawig,5,0.3478 ± 0.1276
2_heart,up_chain03_datawig,6,0.3413 ± 0.1272
2_heart,up_chain03_datawig,7,0.3044 ± 0.1383
2_heart,up_chain03_datawig,8,0.3193 ± 0.1370
2_heart,up_chain03_datawig,9,0.3618 ± 0.1548
2_heart,up_chain03_datawig,10,0.3015 ± 0.1460
2_heart,up_chain03_datawig,11,0.3333 ± 0.1574
2_heart,up_chain03_datawig,12,0.2953 ± 0.1216
2_heart,up_chain03_datawig,13,0.3034 ± 0.1203
2_heart,up_chain03_datawig,14,0.3278 ± 0.1144
2_heart,up_chain03_datawig,15,0.3462 ± 0.1174
2_heart,up_chain03_datawig,16,0.3058 ± 0.1265
2_heart,up_chain03_datawig,17,0.3413 ± 0.1647
2_heart,up_chain03_datawig,18,0.3289 ± 0.0964
2_heart,up_chain03_datawig,19,0.3159 ± 0.1289
2_heart,up_chain03_datawig,20,0.3155 ± 0.1260
2_heart,up_chain03_datawig,21,0.3322 ± 0.1304
2_heart,up_chain03_datawig,22,0.2810 ± 0.1319
2_heart,up_chain03_datawig,23,0.3298 ± 0.1293
2_heart,up_chain03_datawig,24,0.3394 ± 0.1161
2_heart,up_chain03_datawig,25,0.3136 ± 0.1099
2_heart,up_chain03_datawig,26,0.3250 ± 0.1378
2_heart,up_chain03_datawig,27,0.3255 ± 0.1351
2_heart,up_chain03_datawig,28,0.3248 ± 0.1082
2_heart,up_chain03_datawig,29,0.2860 ± 0.0947
2_heart,up_chain03_datawig,30,0.3242 ± 0.1517
