Dataset,method,Experiment,RMSE
3_adult,chain01_datawig,1,0.1879 ± 0.0969
3_adult,chain01_datawig,2,0.1861 ± 0.1000
3_adult,chain01_datawig,3,0.1913 ± 0.0920
3_adult,chain01_datawig,4,0.1885 ± 0.0938
3_adult,chain01_datawig,5,0.1893 ± 0.0981
3_adult,chain01_datawig,6,0.1899 ± 0.0982
3_adult,chain01_datawig,7,0.1893 ± 0.0983
3_adult,chain01_datawig,8,0.1869 ± 0.0965
3_adult,chain01_datawig,9,0.1897 ± 0.0945
3_adult,chain01_datawig,10,0.1901 ± 0.0931
3_adult,chain01_datawig,11,0.1893 ± 0.0976
3_adult,chain01_datawig,12,0.1867 ± 0.0930
3_adult,chain01_datawig,13,0.1869 ± 0.0974
3_adult,chain01_datawig,14,0.1872 ± 0.0979
3_adult,chain01_datawig,15,0.1903 ± 0.0943
3_adult,chain01_datawig,16,0.1897 ± 0.0934
3_adult,chain01_datawig,17,0.1901 ± 0.0938
3_adult,chain01_datawig,18,0.1928 ± 0.0910
3_adult,chain01_datawig,19,0.1880 ± 0.0942
3_adult,chain01_datawig,20,0.1882 ± 0.0968
3_adult,chain01_datawig,21,0.1941 ± 0.0889
3_adult,chain01_datawig,22,0.1953 ± 0.0981
3_adult,chain01_datawig,23,0.1876 ± 0.0989
3_adult,chain01_datawig,24,0.1890 ± 0.0990
3_adult,chain01_datawig,25,0.1910 ± 0.0952
3_adult,chain01_datawig,26,0.1947 ± 0.0919
3_adult,chain01_datawig,27,0.1891 ± 0.0936
3_adult,chain01_datawig,28,0.1885 ± 0.0981
3_adult,chain01_datawig,29,0.1887 ± 0.0971
3_adult,chain01_datawig,30,0.1894 ± 0.0981
3_adult,chain03_datawig,1,0.1914 ± 0.1025
3_adult,chain03_datawig,2,0.2051 ± 0.1135
3_adult,chain03_datawig,3,0.1940 ± 0.0919
3_adult,chain03_datawig,4,0.1907 ± 0.0941
3_adult,chain03_datawig,5,0.1921 ± 0.1008
3_adult,chain03_datawig,6,0.1911 ± 0.1002
3_adult,chain03_datawig,7,0.1923 ± 0.1042
3_adult,chain03_datawig,8,0.2038 ± 0.1122
3_adult,chain03_datawig,9,0.1904 ± 0.0958
3_adult,chain03_datawig,10,0.1902 ± 0.0929
3_adult,chain03_datawig,11,0.1904 ± 0.0982
3_adult,chain03_datawig,12,0.1917 ± 0.0980
3_adult,chain03_datawig,13,0.1882 ± 0.0978
3_adult,chain03_datawig,14,0.1878 ± 0.0992
3_adult,chain03_datawig,15,0.1910 ± 0.0945
3_adult,chain03_datawig,16,0.2002 ± 0.1217
3_adult,chain03_datawig,17,0.1928 ± 0.0931
3_adult,chain03_datawig,18,0.2089 ± 0.1417
3_adult,chain03_datawig,19,0.2021 ± 0.1339
3_adult,chain03_datawig,20,0.1959 ± 0.1158
3_adult,chain03_datawig,21,0.1964 ± 0.0945
3_adult,chain03_datawig,22,0.1927 ± 0.0953
3_adult,chain03_datawig,23,0.1881 ± 0.1003
3_adult,chain03_datawig,24,0.1926 ± 0.1052
3_adult,chain03_datawig,25,0.1910 ± 0.0936
3_adult,chain03_datawig,26,0.1982 ± 0.0942
3_adult,chain03_datawig,27,0.1988 ± 0.1012
3_adult,chain03_datawig,28,0.1925 ± 0.0996
3_adult,chain03_datawig,29,0.2269 ± 0.1588
3_adult,chain03_datawig,30,0.1903 ± 0.0985
3_adult,up_chain03_datawig,1,0.1884 ± 0.0965
3_adult,up_chain03_datawig,2,0.1977 ± 0.1089
3_adult,up_chain03_datawig,3,0.1964 ± 0.0945
3_adult,up_chain03_datawig,4,0.1883 ± 0.0939
3_adult,up_chain03_datawig,5,0.1891 ± 0.0989
3_adult,up_chain03_datawig,6,0.1898 ± 0.0983
3_adult,up_chain03_datawig,7,0.1888 ± 0.0988
3_adult,up_chain03_datawig,8,0.1881 ± 0.0972
3_adult,up_chain03_datawig,9,0.1905 ± 0.0945
3_adult,up_chain03_datawig,10,0.1904 ± 0.0931
3_adult,up_chain03_datawig,11,0.1890 ± 0.0972
3_adult,up_chain03_datawig,12,0.1867 ± 0.0933
3_adult,up_chain03_datawig,13,0.1878 ± 0.0984
3_adult,up_chain03_datawig,14,0.1877 ± 0.0987
3_adult,up_chain03_datawig,15,0.1902 ± 0.0943
3_adult,up_chain03_datawig,16,0.1899 ± 0.0938
3_adult,up_chain03_datawig,17,0.1903 ± 0.0944
3_adult,up_chain03_datawig,18,0.1951 ± 0.0915
3_adult,up_chain03_datawig,19,0.1884 ± 0.0942
3_adult,up_chain03_datawig,20,0.1875 ± 0.0977
3_adult,up_chain03_datawig,21,0.1944 ± 0.0887
3_adult,up_chain03_datawig,22,0.1929 ± 0.0939
3_adult,up_chain03_datawig,23,0.1883 ± 0.0988
3_adult,up_chain03_datawig,24,0.1888 ± 0.0993
3_adult,up_chain03_datawig,25,0.1903 ± 0.0940
3_adult,up_chain03_datawig,26,0.1947 ± 0.0934
3_adult,up_chain03_datawig,27,0.1903 ± 0.0951
3_adult,up_chain03_datawig,28,0.1894 ± 0.0975
3_adult,up_chain03_datawig,29,0.1890 ± 0.0974
3_adult,up_chain03_datawig,30,0.1906 ± 0.0987
