Dataset,method,Experiment,RMSE
4_wine,chain01_datawig,1,0.2599 ± 0.0854
4_wine,chain01_datawig,2,0.2860 ± 0.1290
4_wine,chain01_datawig,3,0.2365 ± 0.0955
4_wine,chain01_datawig,4,0.2754 ± 0.0890
4_wine,chain01_datawig,5,0.2586 ± 0.0532
4_wine,chain01_datawig,6,0.2141 ± 0.0764
4_wine,chain01_datawig,7,0.2543 ± 0.0932
4_wine,chain01_datawig,8,0.2774 ± 0.0739
4_wine,chain01_datawig,9,0.2641 ± 0.0870
4_wine,chain01_datawig,10,0.2392 ± 0.0947
4_wine,chain01_datawig,11,0.2917 ± 0.0554
4_wine,chain01_datawig,12,0.2793 ± 0.0728
4_wine,chain01_datawig,13,0.2849 ± 0.0986
4_wine,chain01_datawig,14,0.2893 ± 0.1215
4_wine,chain01_datawig,15,0.2501 ± 0.0690
4_wine,chain01_datawig,16,0.2854 ± 0.1105
4_wine,chain01_datawig,17,0.2563 ± 0.0830
4_wine,chain01_datawig,18,0.2572 ± 0.0708
4_wine,chain01_datawig,19,0.2676 ± 0.0952
4_wine,chain01_datawig,20,0.2805 ± 0.1271
4_wine,chain01_datawig,21,0.3044 ± 0.0697
4_wine,chain01_datawig,22,0.2792 ± 0.0603
4_wine,chain01_datawig,23,0.2515 ± 0.0907
4_wine,chain01_datawig,24,0.2418 ± 0.1290
4_wine,chain01_datawig,25,0.2240 ± 0.0935
4_wine,chain01_datawig,26,0.2623 ± 0.0746
4_wine,chain01_datawig,27,0.2517 ± 0.1300
4_wine,chain01_datawig,28,0.3141 ± 0.0637
4_wine,chain01_datawig,29,0.2636 ± 0.0951
4_wine,chain01_datawig,30,0.2339 ± 0.0701
4_wine,chain03_datawig,1,0.2535 ± 0.0735
4_wine,chain03_datawig,2,0.2754 ± 0.1198
4_wine,chain03_datawig,3,0.2357 ± 0.0818
4_wine,chain03_datawig,4,0.2683 ± 0.1212
4_wine,chain03_datawig,5,0.2600 ± 0.0520
4_wine,chain03_datawig,6,0.2127 ± 0.0527
4_wine,chain03_datawig,7,0.2491 ± 0.0791
4_wine,chain03_datawig,8,0.2629 ± 0.0754
4_wine,chain03_datawig,9,0.2673 ± 0.0877
4_wine,chain03_datawig,10,0.2433 ± 0.0778
4_wine,chain03_datawig,11,0.2774 ± 0.0651
4_wine,chain03_datawig,12,0.2624 ± 0.0625
4_wine,chain03_datawig,13,0.2675 ± 0.0888
4_wine,chain03_datawig,14,0.2955 ± 0.1141
4_wine,chain03_datawig,15,0.2602 ± 0.0689
4_wine,chain03_datawig,16,0.2645 ± 0.0850
4_wine,chain03_datawig,17,0.2597 ± 0.0835
4_wine,chain03_datawig,18,0.2348 ± 0.0718
4_wine,chain03_datawig,19,0.2655 ± 0.0908
4_wine,chain03_datawig,20,0.2801 ± 0.1024
4_wine,chain03_datawig,21,0.2945 ± 0.0656
4_wine,chain03_datawig,22,0.2874 ± 0.0721
4_wine,chain03_datawig,23,0.2632 ± 0.1047
4_wine,chain03_datawig,24,0.2497 ± 0.0868
4_wine,chain03_datawig,25,0.2134 ± 0.1101
4_wine,chain03_datawig,26,0.2483 ± 0.0627
4_wine,chain03_datawig,27,0.2576 ± 0.1190
4_wine,chain03_datawig,28,0.2934 ± 0.0556
4_wine,chain03_datawig,29,0.2650 ± 0.0993
4_wine,chain03_datawig,30,0.2408 ± 0.0688
4_wine,up_chain03_datawig,1,0.2466 ± 0.0837
4_wine,up_chain03_datawig,2,0.2798 ± 0.1371
4_wine,up_chain03_datawig,3,0.2443 ± 0.0735
4_wine,up_chain03_datawig,4,0.2678 ± 0.0950
4_wine,up_chain03_datawig,5,0.2574 ± 0.0609
4_wine,up_chain03_datawig,6,0.2357 ± 0.0650
4_wine,up_chain03_datawig,7,0.2629 ± 0.1015
4_wine,up_chain03_datawig,8,0.2745 ± 0.0717
4_wine,up_chain03_datawig,9,0.2447 ± 0.0732
4_wine,up_chain03_datawig,10,0.2426 ± 0.0922
4_wine,up_chain03_datawig,11,0.2740 ± 0.0736
4_wine,up_chain03_datawig,12,0.2632 ± 0.0727
4_wine,up_chain03_datawig,13,0.2742 ± 0.0864
4_wine,up_chain03_datawig,14,0.2833 ± 0.1090
4_wine,up_chain03_datawig,15,0.2471 ± 0.0652
4_wine,up_chain03_datawig,16,0.2903 ± 0.0795
4_wine,up_chain03_datawig,17,0.2549 ± 0.0828
4_wine,up_chain03_datawig,18,0.2492 ± 0.0375
4_wine,up_chain03_datawig,19,0.2660 ± 0.0936
4_wine,up_chain03_datawig,20,0.2807 ± 0.1360
4_wine,up_chain03_datawig,21,0.2972 ± 0.0851
4_wine,up_chain03_datawig,22,0.2680 ± 0.0639
4_wine,up_chain03_datawig,23,0.2561 ± 0.0755
4_wine,up_chain03_datawig,24,0.2479 ± 0.0991
4_wine,up_chain03_datawig,25,0.2178 ± 0.0863
4_wine,up_chain03_datawig,26,0.2488 ± 0.0546
4_wine,up_chain03_datawig,27,0.2419 ± 0.0915
4_wine,up_chain03_datawig,28,0.2973 ± 0.0777
4_wine,up_chain03_datawig,29,0.2526 ± 0.1119
4_wine,up_chain03_datawig,30,0.2345 ± 0.0599
