Dataset,method,Experiment,RMSE
5_spambase,chain01_datawig,1,0.1337 ± 0.1157
5_spambase,chain01_datawig,2,0.1337 ± 0.0727
5_spambase,chain01_datawig,3,0.1539 ± 0.1165
5_spambase,chain01_datawig,4,0.1729 ± 0.1322
5_spambase,chain01_datawig,5,0.1672 ± 0.1268
5_spambase,chain01_datawig,6,0.1482 ± 0.1346
5_spambase,chain01_datawig,7,0.2504 ± 0.2327
5_spambase,chain01_datawig,8,0.2460 ± 0.2467
5_spambase,chain01_datawig,9,0.1414 ± 0.1335
5_spambase,chain01_datawig,10,0.1699 ± 0.1462
5_spambase,chain01_datawig,11,0.1451 ± 0.0788
5_spambase,chain01_datawig,12,0.1674 ± 0.1367
5_spambase,chain01_datawig,13,0.1529 ± 0.0762
5_spambase,chain01_datawig,14,0.1341 ± 0.0799
5_spambase,chain01_datawig,15,0.1984 ± 0.1683
5_spambase,chain01_datawig,16,0.1492 ± 0.1025
5_spambase,chain01_datawig,17,0.1838 ± 0.1306
5_spambase,chain01_datawig,18,0.1785 ± 0.1438
5_spambase,chain01_datawig,19,0.1423 ± 0.1000
5_spambase,chain01_datawig,20,0.1214 ± 0.0968
5_spambase,chain01_datawig,21,0.1596 ± 0.1131
5_spambase,chain01_datawig,22,0.1679 ± 0.1112
5_spambase,chain01_datawig,23,0.1338 ± 0.0845
5_spambase,chain01_datawig,24,0.1493 ± 0.1080
5_spambase,chain01_datawig,25,0.1370 ± 0.0923
5_spambase,chain01_datawig,26,0.2058 ± 0.1478
5_spambase,chain01_datawig,27,0.1362 ± 0.0861
5_spambase,chain01_datawig,28,0.1665 ± 0.1379
5_spambase,chain01_datawig,29,0.1880 ± 0.1610
5_spambase,chain01_datawig,30,0.1574 ± 0.1088
5_spambase,chain03_datawig,1,0.1864 ± 0.1369
5_spambase,chain03_datawig,2,0.1910 ± 0.1181
5_spambase,chain03_datawig,3,0.2831 ± 0.1972
5_spambase,chain03_datawig,4,0.3031 ± 0.2085
5_spambase,chain03_datawig,5,0.2657 ± 0.2083
5_spambase,chain03_datawig,6,0.1800 ± 0.1105
5_spambase,chain03_datawig,7,0.2603 ± 0.2131
5_spambase,chain03_datawig,8,0.3350 ± 0.2187
5_spambase,chain03_datawig,9,0.2121 ± 0.1658
5_spambase,chain03_datawig,10,0.1412 ± 0.0796
5_spambase,chain03_datawig,11,0.2163 ± 0.1765
5_spambase,chain03_datawig,12,0.2006 ± 0.1277
5_spambase,chain03_datawig,13,0.2014 ± 0.1663
5_spambase,chain03_datawig,14,0.2490 ± 0.1853
5_spambase,chain03_datawig,15,0.3036 ± 0.1648
5_spambase,chain03_datawig,16,0.2396 ± 0.2559
5_spambase,chain03_datawig,17,0.2882 ± 0.2651
5_spambase,chain03_datawig,18,0.1777 ± 0.1340
5_spambase,chain03_datawig,19,0.2304 ± 0.1979
5_spambase,chain03_datawig,20,0.1314 ± 0.0755
5_spambase,chain03_datawig,21,0.2331 ± 0.2194
5_spambase,chain03_datawig,22,0.1930 ± 0.1282
5_spambase,chain03_datawig,23,0.1686 ± 0.1095
5_spambase,chain03_datawig,24,0.1916 ± 0.1450
5_spambase,chain03_datawig,25,0.2136 ± 0.1474
5_spambase,chain03_datawig,26,0.2753 ± 0.2195
5_spambase,chain03_datawig,27,0.1404 ± 0.0837
5_spambase,chain03_datawig,28,0.1880 ± 0.1526
5_spambase,chain03_datawig,29,0.2474 ± 0.1464
5_spambase,chain03_datawig,30,0.4099 ± 0.3691
5_spambase,up_chain03_datawig,1,0.1280 ± 0.0746
5_spambase,up_chain03_datawig,2,0.1330 ± 0.0620
5_spambase,up_chain03_datawig,3,0.1425 ± 0.1229
5_spambase,up_chain03_datawig,4,0.1392 ± 0.1026
5_spambase,up_chain03_datawig,5,0.1374 ± 0.1296
5_spambase,up_chain03_datawig,6,0.1517 ± 0.1486
5_spambase,up_chain03_datawig,7,0.1442 ± 0.0821
5_spambase,up_chain03_datawig,8,0.1382 ± 0.1066
5_spambase,up_chain03_datawig,9,0.1542 ± 0.1262
5_spambase,up_chain03_datawig,10,0.1360 ± 0.1056
5_spambase,up_chain03_datawig,11,0.1705 ± 0.1742
5_spambase,up_chain03_datawig,12,0.1413 ± 0.0972
5_spambase,up_chain03_datawig,13,0.1426 ± 0.0636
5_spambase,up_chain03_datawig,14,0.1263 ± 0.0937
5_spambase,up_chain03_datawig,15,0.1342 ± 0.1046
5_spambase,up_chain03_datawig,16,0.1486 ± 0.1575
5_spambase,up_chain03_datawig,17,0.1246 ± 0.1011
5_spambase,up_chain03_datawig,18,0.1318 ± 0.0811
5_spambase,up_chain03_datawig,19,0.1155 ± 0.0945
5_spambase,up_chain03_datawig,20,0.1278 ± 0.0714
5_spambase,up_chain03_datawig,21,0.1387 ± 0.0860
5_spambase,up_chain03_datawig,22,0.1490 ± 0.1401
5_spambase,up_chain03_datawig,23,0.1155 ± 0.0865
5_spambase,up_chain03_datawig,24,0.1394 ± 0.0981
5_spambase,up_chain03_datawig,25,0.1381 ± 0.1412
5_spambase,up_chain03_datawig,26,0.1517 ± 0.1029
5_spambase,up_chain03_datawig,27,0.1153 ± 0.0682
5_spambase,up_chain03_datawig,28,0.1237 ± 0.1012
5_spambase,up_chain03_datawig,29,0.1228 ± 0.0747
5_spambase,up_chain03_datawig,30,0.1403 ± 0.1088
