Dataset,method,Experiment,RMSE
7_post_patient,chain01_datawig,1,0.3620 ± 0.1787
7_post_patient,chain01_datawig,2,0.3268 ± 0.1900
7_post_patient,chain01_datawig,3,0.3979 ± 0.1133
7_post_patient,chain01_datawig,4,0.4493 ± 0.1730
7_post_patient,chain01_datawig,5,0.3703 ± 0.1578
7_post_patient,chain01_datawig,6,0.4243 ± 0.2769
7_post_patient,chain01_datawig,7,0.4299 ± 0.2238
7_post_patient,chain01_datawig,8,0.3877 ± 0.1095
7_post_patient,chain01_datawig,9,0.4196 ± 0.2199
7_post_patient,chain01_datawig,10,0.4660 ± 0.3307
7_post_patient,chain01_datawig,11,0.3806 ± 0.1670
7_post_patient,chain01_datawig,12,0.3668 ± 0.1198
7_post_patient,chain01_datawig,13,0.5027 ± 0.3157
7_post_patient,chain01_datawig,14,0.4959 ± 0.3535
7_post_patient,chain01_datawig,15,0.3836 ± 0.1737
7_post_patient,chain01_datawig,16,0.3162 ± 0.1382
7_post_patient,chain01_datawig,17,0.5138 ± 0.2639
7_post_patient,chain01_datawig,18,0.4318 ± 0.1032
7_post_patient,chain01_datawig,19,0.4646 ± 0.2142
7_post_patient,chain01_datawig,20,0.3275 ± 0.0683
7_post_patient,chain01_datawig,21,0.4100 ± 0.2018
7_post_patient,chain01_datawig,22,0.3641 ± 0.1066
7_post_patient,chain01_datawig,23,0.3521 ± 0.1124
7_post_patient,chain01_datawig,24,0.5730 ± 0.3492
7_post_patient,chain01_datawig,25,0.3907 ± 0.1455
7_post_patient,chain01_datawig,26,0.4103 ± 0.1822
7_post_patient,chain01_datawig,27,0.5200 ± 0.2618
7_post_patient,chain01_datawig,28,0.4316 ± 0.2119
7_post_patient,chain01_datawig,29,0.3730 ± 0.1900
7_post_patient,chain01_datawig,30,0.5294 ± 0.3131
7_post,chain03_datawig,1,0.3919 ± 0.1689
7_post,chain03_datawig,2,0.3736 ± 0.1543
7_post,chain03_datawig,3,0.3707 ± 0.1426
7_post,chain03_datawig,4,0.4737 ± 0.2485
7_post,chain03_datawig,5,0.3350 ± 0.1940
7_post,chain03_datawig,6,0.4212 ± 0.1716
7_post,chain03_datawig,7,0.4177 ± 0.2092
7_post,chain03_datawig,8,0.4121 ± 0.1942
7_post,chain03_datawig,9,0.4123 ± 0.2378
7_post,chain03_datawig,10,0.4277 ± 0.1963
7_post,chain03_datawig,11,0.3474 ± 0.1387
7_post,chain03_datawig,12,0.4243 ± 0.1313
7_post,chain03_datawig,13,0.4613 ± 0.1725
7_post,chain03_datawig,14,0.4688 ± 0.2408
7_post,chain03_datawig,15,0.5118 ± 0.2569
7_post,chain03_datawig,16,0.3413 ± 0.1746
7_post,chain03_datawig,17,0.5001 ± 0.2806
7_post,chain03_datawig,18,0.3902 ± 0.1837
7_post,chain03_datawig,19,0.4197 ± 0.2107
7_post,chain03_datawig,20,0.3193 ± 0.1740
7_post,chain03_datawig,21,0.4132 ± 0.2542
7_post,chain03_datawig,22,0.4235 ± 0.2153
7_post,chain03_datawig,23,0.3695 ± 0.1740
7_post,chain03_datawig,24,0.5178 ± 0.1993
7_post,chain03_datawig,25,0.3650 ± 0.1673
7_post,chain03_datawig,26,0.3857 ± 0.1448
7_post,chain03_datawig,27,0.5027 ± 0.2894
7_post,chain03_datawig,28,0.4075 ± 0.2199
7_post,chain03_datawig,29,0.3770 ± 0.1861
7_post,chain03_datawig,30,0.5006 ± 0.2860
7_post,up_chain03_datawig,1,0.3621 ± 0.1748
7_post,up_chain03_datawig,2,0.3534 ± 0.1644
7_post,up_chain03_datawig,3,0.4286 ± 0.1162
7_post,up_chain03_datawig,4,0.4923 ± 0.2170
7_post,up_chain03_datawig,5,0.3600 ± 0.1570
7_post,up_chain03_datawig,6,0.4018 ± 0.2384
7_post,up_chain03_datawig,7,0.4250 ± 0.2778
7_post,up_chain03_datawig,8,0.4063 ± 0.1147
7_post,up_chain03_datawig,9,0.4707 ± 0.2339
7_post,up_chain03_datawig,10,0.4385 ± 0.3171
7_post,up_chain03_datawig,11,0.3611 ± 0.2288
7_post,up_chain03_datawig,12,0.3620 ± 0.1683
7_post,up_chain03_datawig,13,0.4934 ± 0.2867
7_post,up_chain03_datawig,14,0.4885 ± 0.2983
7_post,up_chain03_datawig,15,0.3816 ± 0.1820
7_post,up_chain03_datawig,16,0.3382 ± 0.1980
7_post,up_chain03_datawig,17,0.5507 ± 0.3081
7_post,up_chain03_datawig,18,0.4207 ± 0.1374
7_post,up_chain03_datawig,19,0.4001 ± 0.1909
7_post,up_chain03_datawig,20,0.3476 ± 0.1099
7_post,up_chain03_datawig,21,0.4308 ± 0.2755
7_post,up_chain03_datawig,22,0.3946 ± 0.1804
7_post,up_chain03_datawig,23,0.3657 ± 0.1544
7_post,up_chain03_datawig,24,0.5382 ± 0.2700
7_post,up_chain03_datawig,25,0.4221 ± 0.1370
7_post,up_chain03_datawig,26,0.4160 ± 0.2744
7_post,up_chain03_datawig,27,0.5320 ± 0.2774
7_post,up_chain03_datawig,28,0.5148 ± 0.2646
7_post,up_chain03_datawig,29,0.3959 ± 0.2044
7_post,up_chain03_datawig,30,0.5836 ± 0.3879
