Dataset,method,Experiment,RMSE
8_liver,chain01_datawig,1,0.2002 ± 0.1300
8_liver,chain01_datawig,2,0.2359 ± 0.1115
8_liver,chain01_datawig,3,0.2035 ± 0.1051
8_liver,chain01_datawig,4,0.2175 ± 0.1227
8_liver,chain01_datawig,5,0.2432 ± 0.1326
8_liver,chain01_datawig,6,0.2196 ± 0.1627
8_liver,chain01_datawig,7,0.2565 ± 0.1328
8_liver,chain01_datawig,8,0.2579 ± 0.0847
8_liver,chain01_datawig,9,0.2688 ± 0.1376
8_liver,chain01_datawig,10,0.1969 ± 0.1334
8_liver,chain01_datawig,11,0.2329 ± 0.1257
8_liver,chain01_datawig,12,0.1958 ± 0.1515
8_liver,chain01_datawig,13,0.2846 ± 0.1179
8_liver,chain01_datawig,14,0.2368 ± 0.1423
8_liver,chain01_datawig,15,0.2370 ± 0.1246
8_liver,chain01_datawig,16,0.2018 ± 0.1427
8_liver,chain01_datawig,17,0.1891 ± 0.1309
8_liver,chain01_datawig,18,0.2431 ± 0.1245
8_liver,chain01_datawig,19,0.2307 ± 0.1308
8_liver,chain01_datawig,20,0.2290 ± 0.1222
8_liver,chain01_datawig,21,0.1760 ± 0.1373
8_liver,chain01_datawig,22,0.2720 ± 0.1432
8_liver,chain01_datawig,23,0.1967 ± 0.1419
8_liver,chain01_datawig,24,0.2221 ± 0.1178
8_liver,chain01_datawig,25,0.1976 ± 0.1405
8_liver,chain01_datawig,26,0.2418 ± 0.1277
8_liver,chain01_datawig,27,0.2152 ± 0.1533
8_liver,chain01_datawig,28,0.2439 ± 0.1110
8_liver,chain01_datawig,29,0.2634 ± 0.1025
8_liver,chain01_datawig,30,0.1793 ± 0.1137
8_liver,chain03_datawig,1,0.1926 ± 0.1170
8_liver,chain03_datawig,2,0.2353 ± 0.1163
8_liver,chain03_datawig,3,0.1950 ± 0.0993
8_liver,chain03_datawig,4,0.2156 ± 0.1073
8_liver,chain03_datawig,5,0.2325 ± 0.1121
8_liver,chain03_datawig,6,0.2130 ± 0.1470
8_liver,chain03_datawig,7,0.2594 ± 0.1244
8_liver,chain03_datawig,8,0.2542 ± 0.0746
8_liver,chain03_datawig,9,0.2639 ± 0.1184
8_liver,chain03_datawig,10,0.1925 ± 0.1141
8_liver,chain03_datawig,11,0.2361 ± 0.1262
8_liver,chain03_datawig,12,0.1977 ± 0.1471
8_liver,chain03_datawig,13,0.2702 ± 0.1076
8_liver,chain03_datawig,14,0.2361 ± 0.1344
8_liver,chain03_datawig,15,0.2186 ± 0.1165
8_liver,chain03_datawig,16,0.2000 ± 0.1122
8_liver,chain03_datawig,17,0.1686 ± 0.1112
8_liver,chain03_datawig,18,0.2308 ± 0.1023
8_liver,chain03_datawig,19,0.2138 ± 0.0877
8_liver,chain03_datawig,20,0.2285 ± 0.1215
8_liver,chain03_datawig,21,0.1752 ± 0.1349
8_liver,chain03_datawig,22,0.2707 ± 0.1294
8_liver,chain03_datawig,23,0.1899 ± 0.1265
8_liver,chain03_datawig,24,0.2299 ± 0.0969
8_liver,chain03_datawig,25,0.1893 ± 0.1325
8_liver,chain03_datawig,26,0.2450 ± 0.1199
8_liver,chain03_datawig,27,0.2138 ± 0.1486
8_liver,chain03_datawig,28,0.2309 ± 0.1035
8_liver,chain03_datawig,29,0.2694 ± 0.1028
8_liver,chain03_datawig,30,0.1597 ± 0.0940
8_liver,up_chain03_datawig,1,0.2025 ± 0.1279
8_liver,up_chain03_datawig,2,0.2576 ± 0.1466
8_liver,up_chain03_datawig,3,0.2134 ± 0.0893
8_liver,up_chain03_datawig,4,0.2168 ± 0.1182
8_liver,up_chain03_datawig,5,0.2455 ± 0.1428
8_liver,up_chain03_datawig,6,0.2221 ± 0.1825
8_liver,up_chain03_datawig,7,0.2581 ± 0.1275
8_liver,up_chain03_datawig,8,0.2634 ± 0.0851
8_liver,up_chain03_datawig,9,0.2608 ± 0.1431
8_liver,up_chain03_datawig,10,0.2007 ± 0.1340
8_liver,up_chain03_datawig,11,0.2480 ± 0.1380
8_liver,up_chain03_datawig,12,0.1982 ± 0.1511
8_liver,up_chain03_datawig,13,0.2956 ± 0.1317
8_liver,up_chain03_datawig,14,0.2391 ± 0.1477
8_liver,up_chain03_datawig,15,0.2370 ± 0.1160
8_liver,up_chain03_datawig,16,0.2069 ± 0.1511
8_liver,up_chain03_datawig,17,0.1754 ± 0.1090
8_liver,up_chain03_datawig,18,0.2672 ± 0.1638
8_liver,up_chain03_datawig,19,0.2208 ± 0.1152
8_liver,up_chain03_datawig,20,0.2302 ± 0.1229
8_liver,up_chain03_datawig,21,0.1781 ± 0.1482
8_liver,up_chain03_datawig,22,0.2775 ± 0.1491
8_liver,up_chain03_datawig,23,0.1920 ± 0.1313
8_liver,up_chain03_datawig,24,0.2208 ± 0.1152
8_liver,up_chain03_datawig,25,0.1899 ± 0.1416
8_liver,up_chain03_datawig,26,0.2618 ± 0.1620
8_liver,up_chain03_datawig,27,0.2174 ± 0.1499
8_liver,up_chain03_datawig,28,0.2490 ± 0.1282
8_liver,up_chain03_datawig,29,0.2661 ± 0.0990
8_liver,up_chain03_datawig,30,0.1899 ± 0.1341
