Dataset,method,Experiment,RMSE
9_abalone,chain01_datawig,1,0.1749 ± 0.0664
9_abalone,chain01_datawig,2,0.1900 ± 0.0319
9_abalone,chain01_datawig,3,0.1587 ± 0.0162
9_abalone,chain01_datawig,4,0.1635 ± 0.0429
9_abalone,chain01_datawig,5,0.1661 ± 0.0246
9_abalone,chain01_datawig,6,0.1489 ± 0.0637
9_abalone,chain01_datawig,7,0.1527 ± 0.0525
9_abalone,chain01_datawig,8,0.1399 ± 0.0514
9_abalone,chain01_datawig,9,0.1606 ± 0.0158
9_abalone,chain01_datawig,10,0.1575 ± 0.0286
9_abalone,chain01_datawig,11,0.1667 ± 0.0327
9_abalone,chain01_datawig,12,0.1533 ± 0.0182
9_abalone,chain01_datawig,13,0.1732 ± 0.0359
9_abalone,chain01_datawig,14,0.1619 ± 0.0446
9_abalone,chain01_datawig,15,0.2092 ± 0.0317
9_abalone,chain01_datawig,16,0.1883 ± 0.0347
9_abalone,chain01_datawig,17,0.1600 ± 0.0442
9_abalone,chain01_datawig,18,0.1571 ± 0.0193
9_abalone,chain01_datawig,19,0.1617 ± 0.0476
9_abalone,chain01_datawig,20,0.1565 ± 0.0236
9_abalone,chain01_datawig,21,0.1454 ± 0.0493
9_abalone,chain01_datawig,22,0.2016 ± 0.0668
9_abalone,chain01_datawig,23,0.1926 ± 0.0549
9_abalone,chain01_datawig,24,0.1614 ± 0.0320
9_abalone,chain01_datawig,25,0.1702 ± 0.0266
9_abalone,chain01_datawig,26,0.1760 ± 0.0308
9_abalone,chain01_datawig,27,0.1530 ± 0.0256
9_abalone,chain01_datawig,28,0.1433 ± 0.0465
9_abalone,chain01_datawig,29,0.1616 ± 0.0215
9_abalone,chain01_datawig,30,0.2007 ± 0.0640
9_abalone,chain03_datawig,1,0.1748 ± 0.0624
9_abalone,chain03_datawig,2,0.1819 ± 0.0203
9_abalone,chain03_datawig,3,0.1577 ± 0.0162
9_abalone,chain03_datawig,4,0.2126 ± 0.1414
9_abalone,chain03_datawig,5,0.1624 ± 0.0295
9_abalone,chain03_datawig,6,0.1469 ± 0.0630
9_abalone,chain03_datawig,7,0.1531 ± 0.0529
9_abalone,chain03_datawig,8,0.1391 ± 0.0512
9_abalone,chain03_datawig,9,0.1647 ± 0.0185
9_abalone,chain03_datawig,10,0.1555 ± 0.0284
9_abalone,chain03_datawig,11,0.1627 ± 0.0215
9_abalone,chain03_datawig,12,0.1572 ± 0.0210
9_abalone,chain03_datawig,13,0.1669 ± 0.0328
9_abalone,chain03_datawig,14,0.1572 ± 0.0514
9_abalone,chain03_datawig,15,0.1774 ± 0.0559
9_abalone,chain03_datawig,16,0.2121 ± 0.1080
9_abalone,chain03_datawig,17,0.2013 ± 0.1105
9_abalone,chain03_datawig,18,0.1567 ± 0.0213
9_abalone,chain03_datawig,19,0.1709 ± 0.0608
9_abalone,chain03_datawig,20,0.1576 ± 0.0247
9_abalone,chain03_datawig,21,0.1450 ± 0.0490
9_abalone,chain03_datawig,22,0.1835 ± 0.0337
9_abalone,chain03_datawig,23,0.1738 ± 0.0390
9_abalone,chain03_datawig,24,0.1655 ± 0.0461
9_abalone,chain03_datawig,25,0.1588 ± 0.0426
9_abalone,chain03_datawig,26,0.1776 ± 0.0322
9_abalone,chain03_datawig,27,0.1537 ± 0.0313
9_abalone,chain03_datawig,28,0.1431 ± 0.0466
9_abalone,chain03_datawig,29,0.1706 ± 0.0390
9_abalone,chain03_datawig,30,0.1761 ± 0.0656
9_abalone,up_chain03_datawig,1,0.1721 ± 0.0567
9_abalone,up_chain03_datawig,2,0.1641 ± 0.0167
9_abalone,up_chain03_datawig,3,0.1582 ± 0.0155
9_abalone,up_chain03_datawig,4,0.1592 ± 0.0128
9_abalone,up_chain03_datawig,5,0.1619 ± 0.0260
9_abalone,up_chain03_datawig,6,0.1477 ± 0.0635
9_abalone,up_chain03_datawig,7,0.1529 ± 0.0523
9_abalone,up_chain03_datawig,8,0.1385 ± 0.0503
9_abalone,up_chain03_datawig,9,0.1622 ± 0.0159
9_abalone,up_chain03_datawig,10,0.1563 ± 0.0281
9_abalone,up_chain03_datawig,11,0.1622 ± 0.0285
9_abalone,up_chain03_datawig,12,0.1534 ± 0.0138
9_abalone,up_chain03_datawig,13,0.1699 ± 0.0314
9_abalone,up_chain03_datawig,14,0.1489 ± 0.0393
9_abalone,up_chain03_datawig,15,0.1742 ± 0.0357
9_abalone,up_chain03_datawig,16,0.1668 ± 0.0197
9_abalone,up_chain03_datawig,17,0.1612 ± 0.0227
9_abalone,up_chain03_datawig,18,0.1572 ± 0.0184
9_abalone,up_chain03_datawig,19,0.1693 ± 0.0295
9_abalone,up_chain03_datawig,20,0.1564 ± 0.0234
9_abalone,up_chain03_datawig,21,0.1455 ± 0.0491
9_abalone,up_chain03_datawig,22,0.1620 ± 0.0116
9_abalone,up_chain03_datawig,23,0.1640 ± 0.0236
9_abalone,up_chain03_datawig,24,0.1637 ± 0.0354
9_abalone,up_chain03_datawig,25,0.1486 ± 0.0270
9_abalone,up_chain03_datawig,26,0.1750 ± 0.0297
9_abalone,up_chain03_datawig,27,0.1501 ± 0.0249
9_abalone,up_chain03_datawig,28,0.1424 ± 0.0452
9_abalone,up_chain03_datawig,29,0.1593 ± 0.0269
9_abalone,up_chain03_datawig,30,0.1477 ± 0.0297
