Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
15_magic,chain01_datawig,1,fLength,0.12582596077529465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,1,fWidth,0.11102388120719758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,1,fSize,0.13770222660586465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,1,fConc,0.18536009925959004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,1,fConc1,0.15960792766916515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,1,fAsym,0.062300411916281634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,1,fM3Long,0.09488810001959802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,1,fM3Trans,0.06465930602617612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,1,fAlpha,0.2718146288667522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,1,fDist,0.16901570814983236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,2,fLength,,0.12356064076902609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,2,fWidth,,0.08573981162856147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,2,fSize,,0.13269167701277937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,2,fConc,,0.18269505446353074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,2,fConc1,,0.15686612921486748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,2,fAsym,,0.06359471245008953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,2,fM3Long,,0.09260012332929755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,2,fM3Trans,,0.06092588938014562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,2,fAlpha,,0.2680675325246983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,2,fDist,,0.1639640910007926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,3,fLength,,,0.12982427488388434,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,3,fWidth,,,0.1091452171770577,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,3,fSize,,,0.13831940997558317,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,3,fConc,,,0.18801279483569525,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,3,fConc1,,,0.15363623821450254,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,3,fAsym,,,0.06289838222487372,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain01_datawig,3,fM3Long,,,0.0905697655063936,,,,,,,,,,,,,,,,,,,,,,,,,,,
