Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
17_bank,chain01_datawig,1,age,0.13543046471397732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,job,0.2822977506571709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,marital,0.2790081516695342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,education,0.23729545381859118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,default,0.1165444532351456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,balance,0.13818952439113558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,housing,0.4962196560415052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,loan,0.3368501588708294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,contact,0.46895034861776436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,day,0.2613805703004943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,month,0.2496765336487795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,duration,0.1421333389893794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,campaign,0.06451657992495592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,pdays,0.1805287087504814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,previous,0.10581582647891632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,1,poutcome,0.26497314578088926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,age,,0.1612949539895853,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,job,,0.2657587402156642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,marital,,0.26573409185072455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,education,,0.20661789446930895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,default,,0.13246105956182866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,balance,,0.03059032552094674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,housing,,0.6721624607690888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,loan,,0.3471444006306099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,contact,,0.42092233833447584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,day,,0.23891427812441055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,month,,0.2671768507682477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,duration,,0.06979501724956305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,campaign,,0.0929828351629554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,pdays,,0.22189185901976732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,previous,,0.08946037246933146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,2,poutcome,,0.30847869810560513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,age,,,0.1419580785252471,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,job,,,0.27368344610564665,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,marital,,,0.2707119845055897,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,education,,,0.24123031446095855,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,default,,,0.09586330795187238,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,balance,,,0.12066006711001707,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,housing,,,0.47135370147275946,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,loan,,,0.3560806211142896,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,contact,,,0.4862946892532518,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,day,,,0.23240901526998167,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,month,,,0.26399785917320484,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,duration,,,0.1438035235568768,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,campaign,,,0.06974527740469039,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,pdays,,,0.1791937158245612,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,previous,,,0.06216185072169315,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,3,poutcome,,,0.3173987165319279,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,4,age,,,,0.15866580438813674,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,4,job,,,,0.27623864492304623,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,4,marital,,,,0.292763075785919,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,4,education,,,,0.21688815414315646,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,4,default,,,,0.14750055620976232,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,4,balance,,,,0.05555486057701385,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,4,housing,,,,0.438231171036346,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,4,loan,,,,0.38235354504892016,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,4,contact,,,,0.4112609217010862,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,4,day,,,,0.24400365548906242,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,chain01_datawig,4,month,,,,0.25306411599793205,,,,,,,,,,,,,,,,,,,,,,,,,,
