Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
20_obesity,chain01_datawig,1,Gender,0.48601741186095837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,Age,0.15098296326661523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,Height,0.18263292625324648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,Weight,0.20807708178639747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,family_history_with_overweight,0.4349278429887659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,FAVC,0.2657139648136558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,FCVC,0.23756748676256187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,NCP,0.2675619503843013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,CAEC,0.15709086297133576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,SMOKE,0.05180516306104983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,CH2O,0.30365396823706575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,SCC,0.2559977083344666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,FAF,0.27925028131403773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,TUE,0.33755966005510274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,CALC,0.236242995721742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,1,MTRANS,0.2878983630503923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,Gender,,0.4761694920103537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,Age,,0.1294306523408044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,Height,,0.18698327046518096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,Weight,,0.2076588181618973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,family_history_with_overweight,,0.3330071420169381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,FAVC,,0.2443496848260401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,FCVC,,0.23504265128291688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,NCP,,0.22123518699199918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,CAEC,,0.1387686290715413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,SMOKE,,0.051705770956711375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,CH2O,,0.24495744609950612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,SCC,,0.1409505373995032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,FAF,,0.2368250390029524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,TUE,,0.2806165074069986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,CALC,,0.22732392540121973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,2,MTRANS,,0.31998051461954985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,3,Gender,,,0.46460561181489124,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,3,Age,,,0.13069402858998408,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,3,Height,,,0.17950017797108156,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,3,Weight,,,0.18821350448635452,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,3,family_history_with_overweight,,,0.3643667723233549,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,3,FAVC,,,0.26581404700975175,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain01_datawig,3,FCVC,,,0.24547327879720215,,,,,,,,,,,,,,,,,,,,,,,,,,,
