Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
21_yeast,chain01_datawig,1,mcg,0.1547011089779944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,1,gvh,0.1412084465443068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,1,alm,0.08792377055834827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,1,mit,0.13072045265686616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,1,erl,0.02524891483149141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,1,pox,0.02494046809849511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,1,vac,0.07967504922885536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,1,nuc,0.08665166785237532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,2,mcg,,0.13114562840408067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,2,gvh,,0.12885236019258778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,2,alm,,0.14434469152369891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,2,mit,,0.21157307079885385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,2,erl,,0.788639327971258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,2,pox,,0.021717677114829678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,2,vac,,0.059110930572378415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,2,nuc,,0.11702635954400134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,3,mcg,,,0.16613784395830072,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,3,gvh,,,0.14990959931558442,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,3,alm,,,0.1787514568408777,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,3,mit,,,0.09580781620430225,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,3,erl,,,0.027347063446662545,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,3,pox,,,0.028704692351104486,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,3,vac,,,0.044176623111493965,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,3,nuc,,,0.09898161108045142,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,4,mcg,,,,0.12827983977193327,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,4,gvh,,,,0.1333048415840069,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,4,alm,,,,0.0956421673567125,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,4,mit,,,,0.12206997739206313,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,4,erl,,,,0.16375988391858412,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,4,pox,,,,0.13472343561243325,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,4,vac,,,,0.08696479096347962,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,4,nuc,,,,0.09319450729581957,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,5,mcg,,,,,0.1673066913658724,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,5,gvh,,,,,0.20122848468012536,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,5,alm,,,,,0.1406479014428156,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,5,mit,,,,,0.1094476942786356,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,5,erl,,,,,0.11703358178918966,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,5,pox,,,,,0.13430564286617097,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,5,vac,,,,,0.08324764049070955,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,5,nuc,,,,,0.09846698301699684,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,6,mcg,,,,,,0.16676068013841105,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,6,gvh,,,,,,0.16198012266628664,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,6,alm,,,,,,0.1429584113245525,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,6,mit,,,,,,0.14117898262497192,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,6,erl,,,,,,0.11593336903072576,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,6,pox,,,,,,0.02795965772551836,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,6,vac,,,,,,0.11549648927003983,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,6,nuc,,,,,,0.11968888813003611,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,7,mcg,,,,,,,0.17735445652750298,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,7,gvh,,,,,,,0.1546489688457981,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,7,alm,,,,,,,0.08879373942749891,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,7,mit,,,,,,,0.15818163418728554,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,7,erl,,,,,,,0.11596125230744284,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,7,pox,,,,,,,0.19371522168525193,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,7,vac,,,,,,,0.09862000920835534,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,7,nuc,,,,,,,0.08215388126072116,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,8,mcg,,,,,,,,0.16522277231149032,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,8,gvh,,,,,,,,0.20115469874283765,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,8,alm,,,,,,,,0.15954208246405394,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,8,mit,,,,,,,,0.09896116351591208,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,8,erl,,,,,,,,0.11665270613445292,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,8,pox,,,,,,,,1.6135895399266773,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,8,vac,,,,,,,,0.3306653565234598,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,8,nuc,,,,,,,,0.10090774056318726,,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,9,mcg,,,,,,,,,0.14099586051824067,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,9,gvh,,,,,,,,,0.14626772670647464,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,9,alm,,,,,,,,,0.09991340875787252,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,9,mit,,,,,,,,,0.16134989367319358,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,9,erl,,,,,,,,,0.021069151233764228,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,9,pox,,,,,,,,,0.020200885550307284,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,9,vac,,,,,,,,,0.09071703494307895,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,9,nuc,,,,,,,,,0.09523779428244503,,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,10,mcg,,,,,,,,,,0.1701559638332435,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,10,gvh,,,,,,,,,,0.14951394757043515,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,10,alm,,,,,,,,,,0.09214703381787419,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,10,mit,,,,,,,,,,0.1725022309108429,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,10,erl,,,,,,,,,,0.1184422353713708,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,10,pox,,,,,,,,,,0.11512563140991704,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,10,vac,,,,,,,,,,0.10267828010491635,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,10,nuc,,,,,,,,,,0.08519061202534398,,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,11,mcg,,,,,,,,,,,0.15929732126914312,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,11,gvh,,,,,,,,,,,0.15748490114031755,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,11,alm,,,,,,,,,,,0.09642712115252482,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,11,mit,,,,,,,,,,,0.10389049418854653,,,,,,,,,,,,,,,,,,,
21_yeast,chain01_datawig,11,erl,,,,,,,,,,,0.11698190387728707,,,,,,,,,,,,,,,,,,,
