Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
23_ai4i,chain01_datawig,1,Air temperature,0.18807705863243881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,1,Process temperature,0.16681443521886824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,1,Rotational speed,0.08282044186572372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,1,Torque,0.13076304297822663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,1,Tool wear,0.23845773386411354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,2,Air temperature,,0.20102083161613019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,2,Process temperature,,0.16486501060203007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,2,Rotational speed,,0.09046601801108005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,2,Torque,,0.12506234596613303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,2,Tool wear,,0.23519465257296854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,3,Air temperature,,,0.2033924916028268,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,3,Process temperature,,,0.15686381312199074,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,3,Rotational speed,,,0.10451931867952548,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,3,Torque,,,0.15864444521897145,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,3,Tool wear,,,0.22653034899901583,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,4,Air temperature,,,,0.1886341559318181,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,4,Process temperature,,,,0.17154361910207885,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,4,Rotational speed,,,,0.10073404423365553,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,4,Torque,,,,0.12204123244156825,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,4,Tool wear,,,,0.23162434615506886,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,5,Air temperature,,,,,0.1927580112505247,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,5,Process temperature,,,,,0.1727939283831471,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,5,Rotational speed,,,,,0.1091336521637752,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,5,Torque,,,,,0.1395617372559091,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,5,Tool wear,,,,,0.2320721229632237,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,6,Air temperature,,,,,,0.1987621503789829,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,6,Process temperature,,,,,,0.17175956343023435,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,6,Rotational speed,,,,,,0.10684740300416952,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,6,Torque,,,,,,0.14901402030073646,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,6,Tool wear,,,,,,0.22508525293791723,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,7,Air temperature,,,,,,,0.19133337371143577,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,7,Process temperature,,,,,,,0.16537776962192666,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,7,Rotational speed,,,,,,,0.11562152414415892,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,7,Torque,,,,,,,0.14083618538859485,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,7,Tool wear,,,,,,,0.23250874489977577,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,8,Air temperature,,,,,,,,0.20164068378485853,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,8,Process temperature,,,,,,,,0.17799353941462115,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,8,Rotational speed,,,,,,,,0.10332408265568227,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,8,Torque,,,,,,,,0.13706918003231497,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,8,Tool wear,,,,,,,,0.23238400092363057,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,9,Air temperature,,,,,,,,,0.19908534422079555,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,9,Process temperature,,,,,,,,,0.1734461196808396,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,9,Rotational speed,,,,,,,,,0.09194118385074627,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,9,Torque,,,,,,,,,0.1317711474948377,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,9,Tool wear,,,,,,,,,0.23311621617959816,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,10,Air temperature,,,,,,,,,,0.19639417541629334,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain01_datawig,10,Process temperature,,,,,,,,,,0.1770331408267014,,,,,,,,,,,,,,,,,,,,
