Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
24_credit,chain01_datawig,1,A1,0.23433221998966902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A2,0.15291698769698486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A3,0.17551863243407131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A4,0.514880463802443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A5,0.37454924404616435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A6,0.2307624992694609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A7,0.27216435800566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A8,0.2252606944130285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A9,0.5182027362571968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A10,0.4749099844066297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A11,0.32824438332949074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A12,0.46288254570929893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A13,0.3386931517323091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A14,0.15478163702464925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,1,A15,0.11519150006209644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,2,A1,,0.2607816066381838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,2,A2,,0.126224562615337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,2,A3,,0.13533681896820002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,chain01_datawig,2,A4,,0.1144746233355703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
