Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
25_hepatitis,chain01_datawig,1,age,0.10659858056965449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,sex,0.34035265091521993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,steroid,0.4988287857856897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,antivirals,0.35777239173977937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,fatigue,0.35530441930720263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,malaise,0.4684915616390309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,anorexia,0.2709473859328701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,liver_big,0.4038609339174255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,liver_firm,0.36474573021700707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,spleen,0.29218184430022553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,souders,0.25247600550501637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,ascites,0.17919105538543215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,varices,0.3864584379607474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,bilirubin,0.3799604868492299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,alk,0.3976136124619043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,sgot,0.4211175270224992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,albumin,0.2921678336370355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,protime,0.41152235916436397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,1,histology,0.6449982545309352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,age,,0.3771462852502914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,sex,,0.34144605501117753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,steroid,,0.5888974804724979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,antivirals,,0.1548748756321225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,fatigue,,0.36218614337486593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,malaise,,0.42635395124687997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,anorexia,,0.467421556932748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,liver_big,,0.47667475492345546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,liver_firm,,0.38132855622140105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,spleen,,0.16913006075563192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,souders,,0.25191457028382835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,ascites,,0.1428414392410946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,varices,,0.19757295496687954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_hepatitis,chain01_datawig,2,bilirubin,,0.155459812905174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
