Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
29_echocardiogram,chain01_datawig,1,survival,0.15835645277429627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,1,still,0.4521543700742003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,1,age,0.07235661231080574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,1,pericardial,0.5731828026343313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,1,fractional,0.17431581098909216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,1,epss,0.307602494678388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,1,lvdd,0.3322669411009085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,1,score,0.2517044609420041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,1,index,0.18473274641482107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,1,mult,0.1117969173709044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,1,group,0.3636304737840568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,2,survival,,0.13272433731657274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,2,still,,0.5250233101400007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,2,age,,0.3119999563479013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,2,pericardial,,0.40224015337303975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,2,fractional,,0.24637822186727543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,2,epss,,0.16170837942424507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,2,lvdd,,0.13157244191435294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,2,score,,0.17583750139208618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,2,index,,0.21762823813583462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,2,mult,,0.22994072776054036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,2,group,,0.3486813609799395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,3,survival,,,0.36864278107042936,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,3,still,,,0.38879090639215336,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,3,age,,,0.42800790802370425,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,3,pericardial,,,0.5740669655257034,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,3,fractional,,,0.23072138107910947,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,3,epss,,,0.3621446716585695,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,3,lvdd,,,0.46539861491168644,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,3,score,,,0.19450904466810762,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,3,index,,,0.32510652003025087,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,3,mult,,,0.273075321778131,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,3,group,,,0.2967151763373502,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,4,survival,,,,0.31874538609921327,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,4,still,,,,0.4126863986214867,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,4,age,,,,0.07843342264509086,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,4,pericardial,,,,0.13915459685210987,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,4,fractional,,,,0.1282960113876353,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,4,epss,,,,0.535340845885861,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,4,lvdd,,,,0.25180878719466687,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,4,score,,,,0.2782134809930992,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,4,index,,,,0.3139468744147682,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,4,mult,,,,0.1672975878616773,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,4,group,,,,0.4185619263086317,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,5,survival,,,,,0.22319844538936343,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,5,still,,,,,0.45527744204030063,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,5,age,,,,,0.438506502823401,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain01_datawig,5,pericardial,,,,,0.46510976143199567,,,,,,,,,,,,,,,,,,,,,,,,,
