Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
2_heart,chain01_datawig,1,age,0.22266661883400543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,sex,0.33242105045383585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,cp,0.3135781310806932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,trestbps,0.21426212030399644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,chol,0.23227381410861125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,fbs,0.21590319757216797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,restecg,0.5089538550625918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,thalach,0.21928064384979123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,exang,0.41594924186138166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,oldpeak,0.18396926352294599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,slope,0.3902856127718502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,ca,0.32845683073146403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,1,thal,0.6011645772001374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,age,,0.24108710611555717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,sex,,0.38560761379818703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,cp,,0.21878922704443415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,trestbps,,0.19291654089299695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,chol,,0.14054666004349428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,fbs,,0.37019259210334976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,restecg,,0.5088047221075799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,thalach,,0.24783295704842764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,exang,,0.5528540359388099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,oldpeak,,0.3694245946036773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,slope,,0.6999446166169935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,ca,,0.3925261142742158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,2,thal,,0.5238002752929867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,age,,,0.24033610105258008,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,sex,,,0.4145097497846971,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,cp,,,0.2731393456512681,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,trestbps,,,0.32899900859215286,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,chol,,,0.19683451035850275,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,fbs,,,0.4616588010734306,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,restecg,,,0.4677723133504468,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,thalach,,,0.24303427779442283,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,exang,,,0.36518761018538787,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,oldpeak,,,0.21944752605276568,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,slope,,,0.2695303878433247,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,ca,,,0.3702808587477211,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,3,thal,,,0.5224593295818509,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,4,age,,,,0.22777446432455029,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,4,sex,,,,0.4698955290346651,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,4,cp,,,,0.28855446224318204,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,4,trestbps,,,,0.17662756689923195,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,4,chol,,,,0.12075123549020052,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,4,fbs,,,,0.3142776727890831,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,4,restecg,,,,0.4305240593729765,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,chain01_datawig,4,thalach,,,,0.17112740131107343,,,,,,,,,,,,,,,,,,,,,,,,,,
