Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
30_monk,chain01_datawig,1,a1,0.311490634198796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,1,a2,0.3867608017282251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,1,a3,0.432824568680784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,1,a4,0.4004014032026821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,1,a5,0.3294800866805039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,1,a6,0.4598580731810805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,2,a1,,0.3564231146706515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,2,a2,,0.42632174902642767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,2,a3,,0.452474506817517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,2,a4,,0.3322377526220181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,2,a5,,0.2923657526128431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,2,a6,,0.525545580213054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,3,a1,,,0.3554473139176192,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,3,a2,,,0.3941913770704661,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,3,a3,,,0.4262278107813896,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,3,a4,,,0.39915916173246435,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,3,a5,,,0.30693619896100693,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,3,a6,,,0.3751315319867997,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,4,a1,,,,0.31549526729062355,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,4,a2,,,,0.3924273785270191,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,4,a3,,,,0.4730844883044121,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,4,a4,,,,0.2960722009236944,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,4,a5,,,,0.3536731141763623,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,4,a6,,,,0.47685128032855945,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,5,a1,,,,,0.4014677912411809,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,5,a2,,,,,0.2705678016294001,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain01_datawig,5,a3,,,,,0.48796625783409675,,,,,,,,,,,,,,,,,,,,,,,,,
