Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
31_blood,chain01_datawig,1,Recency,0.09140569185334248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,1,Frequency,0.07995538891484898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,1,Monetary,0.2826869499322574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,1,Time,0.22200806081629362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,2,Recency,,0.28814433844185305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,2,Frequency,,0.08277317068531492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,2,Monetary,,0.053399271000325446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,2,Time,,0.2641094169974939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,3,Recency,,,0.16606947132748628,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,3,Frequency,,,0.06109018468094731,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,3,Monetary,,,0.36208135241058265,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,3,Time,,,0.22771627567642932,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,4,Recency,,,,0.09485580379282951,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,4,Frequency,,,,0.07798013381104271,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,4,Monetary,,,,0.17980642411024145,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,4,Time,,,,0.22925533303790258,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,5,Recency,,,,,0.2866930712526209,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,5,Frequency,,,,,0.0816648277676593,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,5,Monetary,,,,,0.27545081230640445,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,5,Time,,,,,0.29100641301608765,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,6,Recency,,,,,,0.10953420077741743,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,6,Frequency,,,,,,0.11109970269176633,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,6,Monetary,,,,,,0.23495324565653802,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,6,Time,,,,,,0.28166683771960194,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,7,Recency,,,,,,,0.26702308367445066,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,7,Frequency,,,,,,,0.05945103988830712,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,7,Monetary,,,,,,,0.1526669678906604,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,7,Time,,,,,,,0.2683600406567858,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,8,Recency,,,,,,,,0.31267600027487774,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,8,Frequency,,,,,,,,0.07785023500133736,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,8,Monetary,,,,,,,,0.2599561003703846,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,8,Time,,,,,,,,0.2777538337535287,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,9,Recency,,,,,,,,,0.29237520077548357,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,9,Frequency,,,,,,,,,0.09681282359680107,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,9,Monetary,,,,,,,,,0.10581488684038173,,,,,,,,,,,,,,,,,,,,,
31_blood,chain01_datawig,9,Time,,,,,,,,,0.193894832124743,,,,,,,,,,,,,,,,,,,,,
