Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
32_audit,chain01_datawig,1,Sector_score,0.322343098148062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain01_datawig,1,LOCATION_ID,0.1601277755605887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain01_datawig,1,PARA_A,0.09528237425705613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain01_datawig,1,Score_A,0.31502977207312927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain01_datawig,1,Risk_A,0.1445163895708022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain01_datawig,1,PARA_B,0.3833008701287831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain01_datawig,1,Score_B,0.4308018655328889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain01_datawig,1,Risk_B,0.013234663473068163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain01_datawig,1,TOTAL,0.25952482091039025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain01_datawig,1,numbers,0.24529213135497901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain01_datawig,1,Score_B.1,0.1399210845682047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain01_datawig,1,Risk_C,0.12572183026725772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
