Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
3_adult,chain01_datawig,1,age,0.16913109890806685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,workclass,0.16451202532109102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,fnlwgt,0.08099151984081833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,education,0.24708289378468748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,education-num,0.15347189220950513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,marital-status,0.22495362984700554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,occupation,0.2763011076949501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,relationship,0.2772337054285935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,race,0.19729955219435255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,sex,0.4175787922676009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,capital-gain,0.06013904946727582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,capital-loss,0.07331113290131613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,hours-per-week,0.11415335277580632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,1,native-country,0.17450904801846168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,age,,0.16952429583510426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,workclass,,0.16230823200362576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,fnlwgt,,0.07801993277749122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,education,,0.2192865223432329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,education-num,,0.15112591312419194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,marital-status,,0.21873142297416917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,occupation,,0.27221350086296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,relationship,,0.29980909606976586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,race,,0.18559168097609433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,sex,,0.4315460091337023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,capital-gain,,0.054646911861338944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,capital-loss,,0.08352296374066515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,hours-per-week,,0.11434798857427876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,2,native-country,,0.16416027368019143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,age,,,0.1659599830219471,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,workclass,,,0.1617966023367141,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,fnlwgt,,,0.0889209326863909,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,education,,,0.2347100518408419,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,education-num,,,0.1527567761913642,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,marital-status,,,0.22227830204350665,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,occupation,,,0.26640681065781396,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,relationship,,,0.29211322740715095,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,race,,,0.19016080413509623,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,sex,,,0.4209872565811366,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,capital-gain,,,0.07688614657045274,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,capital-loss,,,0.11308593943774245,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,hours-per-week,,,0.11481887667747409,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,3,native-country,,,0.17728259224129622,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,age,,,,0.17129252929298497,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,workclass,,,,0.1731142178134112,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,fnlwgt,,,,0.07712177919029091,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,education,,,,0.2309386797045217,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,education-num,,,,0.15272298008697263,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,marital-status,,,,0.22094172102390586,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,occupation,,,,0.2651535525921049,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,relationship,,,,0.28801359651973535,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,race,,,,0.18902834132170332,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,sex,,,,0.41735154408762987,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,capital-gain,,,,0.06047430786216488,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,capital-loss,,,,0.10362779610112893,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,hours-per-week,,,,0.1161154135439071,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,4,native-country,,,,0.1727862753609742,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,5,age,,,,,0.1668886199059112,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,5,workclass,,,,,0.16799906699478553,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,5,fnlwgt,,,,,0.06393638788572545,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,5,education,,,,,0.22643656421197583,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain01_datawig,5,education-num,,,,,0.15037884957641912,,,,,,,,,,,,,,,,,,,,,,,,,
