Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
7_post,chain01_datawig,1,L-CORE,0.16847086745836257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,1,L-SURF,0.1798373970362584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,1,L-O2,0.23737583304441667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,1,L-BP,0.6930836079231599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,1,SURF-STBL,0.5109013860708845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,1,CORE-STBL,0.41364358922208194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,1,BP-STBL,0.3811678246439964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,1,COMFORT,0.31124499758349344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,2,L-CORE,,0.16812314801658118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,2,L-SURF,,0.1985587844800052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,2,L-O2,,0.5422621170205162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,2,L-BP,,0.6079242465229292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,2,SURF-STBL,,0.26301057068568107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,2,CORE-STBL,,0.0752411349433839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,2,BP-STBL,,0.45893520067853394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain01_datawig,2,COMFORT,,0.3000000075296321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
