Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
8_liver,chain01_datawig,1,mcv,0.19145096103863618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,1,alkphos,0.17790378704015097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,1,sgpt,0.05387948470918011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,1,sgot,0.12167500384335868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,1,gammagt,0.21932421682505107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,1,selector,0.43677068134703406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,2,mcv,,0.1442659602478677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,2,alkphos,,0.3224245675813362,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,2,sgpt,,0.12795396603784873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,2,sgot,,0.33186600907759395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,2,gammagt,,0.13197085069596215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,2,selector,,0.3569359275887686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,3,mcv,,,0.18916333007477887,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,3,alkphos,,,0.15057005790100075,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,3,sgpt,,,0.17421513814609874,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,3,sgot,,,0.20086145490094756,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,3,gammagt,,,0.10084359028083018,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,3,selector,,,0.4054678003413288,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,4,mcv,,,,0.11248902506560209,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,4,alkphos,,,,0.19056974168492238,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,4,sgpt,,,,0.29203118963255853,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,4,sgot,,,,0.16969575956118815,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,4,gammagt,,,,0.11203476581927727,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,4,selector,,,,0.4284785773169631,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,5,mcv,,,,,0.23347607725966332,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,5,alkphos,,,,,0.24984663244194633,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,5,sgpt,,,,,0.11808607736412598,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,5,sgot,,,,,0.18691784934845923,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,5,gammagt,,,,,0.17424683087012288,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain01_datawig,5,selector,,,,,0.4965042251593613,,,,,,,,,,,,,,,,,,,,,,,,,
