Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
9_abalone,chain01_datawig,1,Length,0.1635530178134532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,1,Diameter,0.16202267458125383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,1,Height,0.16555113683197228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,1,Whole weight,0.14532576606313896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,1,Shucked weight,0.14885448223664674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,1,Viscera weight,0.33434108204411483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,1,Shell weight,0.1624084815514202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,1,Rings,0.11713304790540241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,2,Length,,0.16878675088554265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,2,Diameter,,0.1681279241840432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,2,Height,,0.18453443277678863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,2,Whole weight,,0.20533591816542518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,2,Shucked weight,,0.23515642389622496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,2,Viscera weight,,0.19467824486547072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,2,Shell weight,,0.22470460090974917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,2,Rings,,0.13829958555208477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain01_datawig,3,Length,,,0.16604685923189674,,,,,,,,,,,,,,,,,,,,,,,,,,,
