Dataset,method,Experiment,RMSE
10_lympho,chain01_datawig,1,0.3973 ± 0.2296
10_lympho,chain01_datawig,2,0.3822 ± 0.1845
10_lympho,chain01_datawig,3,0.4070 ± 0.1824
10_lympho,chain01_datawig,4,0.4732 ± 0.2862
10_lympho,chain01_datawig,5,0.4500 ± 0.0984
10_lympho,chain01_datawig,6,0.3960 ± 0.1580
10_lympho,chain01_datawig,7,0.3927 ± 0.1736
10_lympho,chain01_datawig,8,0.3916 ± 0.1412
10_lympho,chain01_datawig,9,0.3774 ± 0.1429
10_lympho,chain01_datawig,10,0.4920 ± 0.3490
10_lympho,chain01_datawig,11,0.4745 ± 0.2991
10_lympho,chain01_datawig,12,0.4307 ± 0.2073
10_lympho,chain01_datawig,13,0.4336 ± 0.1747
10_lympho,chain01_datawig,14,0.5047 ± 0.2403
10_lympho,chain01_datawig,15,0.4568 ± 0.2298
10_lympho,chain01_datawig,16,0.4995 ± 0.2942
10_lympho,chain01_datawig,17,0.3944 ± 0.1199
10_lympho,chain01_datawig,18,0.5528 ± 0.3096
10_lympho,chain01_datawig,19,0.3815 ± 0.1525
10_lympho,chain01_datawig,20,0.3701 ± 0.1461
10_lympho,chain01_datawig,21,0.3950 ± 0.1344
10_lympho,chain01_datawig,22,0.4006 ± 0.2110
10_lympho,chain01_datawig,23,0.4047 ± 0.1804
10_lympho,chain01_datawig,24,0.5590 ± 0.3326
10_lympho,chain01_datawig,25,0.3868 ± 0.0858
10_lympho,chain01_datawig,26,0.4207 ± 0.2016
10_lympho,chain01_datawig,27,0.4272 ± 0.1995
10_lympho,chain01_datawig,28,0.4605 ± 0.1918
10_lympho,chain01_datawig,29,0.5183 ± 0.3072
10_lympho,chain01_datawig,30,0.4645 ± 0.2097
