Dataset,method,Experiment,RMSE
11_iris,chain01_datawig,1,0.3094 ± 0.1491
11_iris,chain01_datawig,2,0.2147 ± 0.1287
11_iris,chain01_datawig,3,0.2873 ± 0.1104
11_iris,chain01_datawig,4,0.3539 ± 0.1340
11_iris,chain01_datawig,5,0.4034 ± 0.1852
11_iris,chain01_datawig,6,0.2665 ± 0.0455
11_iris,chain01_datawig,7,0.2767 ± 0.0339
11_iris,chain01_datawig,8,0.2670 ± 0.1121
11_iris,chain01_datawig,9,0.2614 ± 0.1025
11_iris,chain01_datawig,10,0.2917 ± 0.0724
11_iris,chain01_datawig,11,0.3018 ± 0.0840
11_iris,chain01_datawig,12,0.2249 ± 0.1125
11_iris,chain01_datawig,13,0.3406 ± 0.0865
11_iris,chain01_datawig,14,0.2116 ± 0.1384
11_iris,chain01_datawig,15,0.3840 ± 0.1013
11_iris,chain01_datawig,16,0.2553 ± 0.0645
11_iris,chain01_datawig,17,0.2299 ± 0.0947
11_iris,chain01_datawig,18,0.2232 ± 0.0219
11_iris,chain01_datawig,19,0.3120 ± 0.0843
11_iris,chain01_datawig,20,0.2377 ± 0.0411
11_iris,chain01_datawig,21,0.2620 ± 0.0864
11_iris,chain01_datawig,22,0.2689 ± 0.1090
11_iris,chain01_datawig,23,0.3151 ± 0.0819
11_iris,chain01_datawig,24,0.3455 ± 0.0725
11_iris,chain01_datawig,25,0.3116 ± 0.1225
11_iris,chain01_datawig,26,0.2759 ± 0.0951
11_iris,chain01_datawig,27,0.3053 ± 0.0624
11_iris,chain01_datawig,28,0.2632 ± 0.1059
11_iris,chain01_datawig,29,0.2109 ± 0.0479
11_iris,chain01_datawig,30,0.3267 ± 0.0714
