Dataset,method,Experiment,RMSE
17_bank,chain01_datawig,1,0.2350 ± 0.1238
17_bank,chain01_datawig,2,0.2370 ± 0.1579
17_bank,chain01_datawig,3,0.2329 ± 0.1301
17_bank,chain01_datawig,4,0.2266 ± 0.1214
17_bank,chain01_datawig,5,0.2227 ± 0.1347
17_bank,chain01_datawig,6,0.2283 ± 0.1373
17_bank,chain01_datawig,7,0.2340 ± 0.1230
17_bank,chain01_datawig,8,0.2262 ± 0.1392
17_bank,chain01_datawig,9,0.2280 ± 0.1369
17_bank,chain01_datawig,10,0.2267 ± 0.1280
17_bank,chain01_datawig,11,0.2248 ± 0.1304
17_bank,chain01_datawig,12,0.2440 ± 0.1275
17_bank,chain01_datawig,13,0.2245 ± 0.1282
17_bank,chain01_datawig,14,0.2271 ± 0.1439
17_bank,chain01_datawig,15,0.2372 ± 0.1286
17_bank,chain01_datawig,16,0.2296 ± 0.1186
17_bank,chain01_datawig,17,0.2322 ± 0.1256
17_bank,chain01_datawig,18,0.2141 ± 0.1257
17_bank,chain01_datawig,19,0.2239 ± 0.1207
17_bank,chain01_datawig,20,0.2340 ± 0.1253
17_bank,chain01_datawig,21,0.2442 ± 0.1690
17_bank,chain01_datawig,22,0.2213 ± 0.1355
17_bank,chain01_datawig,23,0.2201 ± 0.1274
17_bank,chain01_datawig,24,0.2213 ± 0.1211
17_bank,chain01_datawig,25,0.2241 ± 0.1228
17_bank,chain01_datawig,26,0.2274 ± 0.1295
17_bank,chain01_datawig,27,0.2294 ± 0.1274
17_bank,chain01_datawig,28,0.2303 ± 0.1185
17_bank,chain01_datawig,29,0.2287 ± 0.1178
17_bank,chain01_datawig,30,0.2209 ± 0.1384
