Dataset,method,Experiment,RMSE
18_maternal,chain01_datawig,1,0.2623 ± 0.0358
18_maternal,chain01_datawig,2,0.2381 ± 0.0609
18_maternal,chain01_datawig,3,0.3314 ± 0.1847
18_maternal,chain01_datawig,4,0.2478 ± 0.0331
18_maternal,chain01_datawig,5,0.2099 ± 0.0154
18_maternal,chain01_datawig,6,0.2345 ± 0.0331
18_maternal,chain01_datawig,7,0.2397 ± 0.0159
18_maternal,chain01_datawig,8,0.2192 ± 0.0669
18_maternal,chain01_datawig,9,0.2620 ± 0.0464
18_maternal,chain01_datawig,10,0.2342 ± 0.0369
18_maternal,chain01_datawig,11,0.2154 ± 0.0752
18_maternal,chain01_datawig,12,0.2246 ± 0.0684
18_maternal,chain01_datawig,13,0.2277 ± 0.0329
18_maternal,chain01_datawig,14,0.2276 ± 0.0249
18_maternal,chain01_datawig,15,0.2329 ± 0.0527
18_maternal,chain01_datawig,16,0.2190 ± 0.0432
18_maternal,chain01_datawig,17,0.2280 ± 0.0415
18_maternal,chain01_datawig,18,0.2232 ± 0.0781
18_maternal,chain01_datawig,19,0.2539 ± 0.0400
18_maternal,chain01_datawig,20,0.2279 ± 0.0857
18_maternal,chain01_datawig,21,0.2222 ± 0.0546
18_maternal,chain01_datawig,22,0.2318 ± 0.0299
18_maternal,chain01_datawig,23,0.2151 ± 0.0700
18_maternal,chain01_datawig,24,0.2062 ± 0.0486
18_maternal,chain01_datawig,25,0.2396 ± 0.0351
18_maternal,chain01_datawig,26,0.3091 ± 0.1946
18_maternal,chain01_datawig,27,0.3130 ± 0.1935
18_maternal,chain01_datawig,28,0.2067 ± 0.0459
18_maternal,chain01_datawig,29,0.3097 ± 0.1845
18_maternal,chain01_datawig,30,0.3013 ± 0.2068
