Dataset,method,Experiment,RMSE
19_contraceptive,chain01_datawig,1,0.2756 ± 0.0545
19_contraceptive,chain01_datawig,2,0.2687 ± 0.0767
19_contraceptive,chain01_datawig,3,0.2627 ± 0.0706
19_contraceptive,chain01_datawig,4,0.2697 ± 0.0790
19_contraceptive,chain01_datawig,5,0.2728 ± 0.0758
19_contraceptive,chain01_datawig,6,0.2875 ± 0.0627
19_contraceptive,chain01_datawig,7,0.2695 ± 0.0802
19_contraceptive,chain01_datawig,8,0.2816 ± 0.0775
19_contraceptive,chain01_datawig,9,0.2708 ± 0.0765
19_contraceptive,chain01_datawig,10,0.2783 ± 0.0758
19_contraceptive,chain01_datawig,11,0.2679 ± 0.0762
19_contraceptive,chain01_datawig,12,0.2858 ± 0.0934
19_contraceptive,chain01_datawig,13,0.2792 ± 0.0912
19_contraceptive,chain01_datawig,14,0.2743 ± 0.0720
19_contraceptive,chain01_datawig,15,0.2508 ± 0.0865
19_contraceptive,chain01_datawig,16,0.2833 ± 0.0678
19_contraceptive,chain01_datawig,17,0.2845 ± 0.0728
19_contraceptive,chain01_datawig,18,0.2868 ± 0.0701
19_contraceptive,chain01_datawig,19,0.2848 ± 0.0765
19_contraceptive,chain01_datawig,20,0.2590 ± 0.0631
19_contraceptive,chain01_datawig,21,0.2855 ± 0.0659
19_contraceptive,chain01_datawig,22,0.2811 ± 0.0769
19_contraceptive,chain01_datawig,23,0.2778 ± 0.0744
19_contraceptive,chain01_datawig,24,0.2648 ± 0.0846
19_contraceptive,chain01_datawig,25,0.2746 ± 0.0511
19_contraceptive,chain01_datawig,26,0.2757 ± 0.0725
19_contraceptive,chain01_datawig,27,0.2846 ± 0.0781
19_contraceptive,chain01_datawig,28,0.2772 ± 0.0685
19_contraceptive,chain01_datawig,29,0.2800 ± 0.0569
19_contraceptive,chain01_datawig,30,0.2815 ± 0.0781
