Dataset,method,Experiment,RMSE
24_credit,chain01_datawig,1,0.3049 ± 0.1379
24_credit,chain01_datawig,2,0.2482 ± 0.1465
24_credit,chain01_datawig,3,0.3104 ± 0.1170
24_credit,chain01_datawig,4,0.2963 ± 0.1083
24_credit,chain01_datawig,5,0.2832 ± 0.1387
24_credit,chain01_datawig,6,0.2801 ± 0.1416
24_credit,chain01_datawig,7,0.2833 ± 0.1433
24_credit,chain01_datawig,8,0.2544 ± 0.1302
24_credit,chain01_datawig,9,0.2678 ± 0.1328
24_credit,chain01_datawig,10,0.2427 ± 0.1474
24_credit,chain01_datawig,11,0.2722 ± 0.1220
24_credit,chain01_datawig,12,0.2450 ± 0.1621
24_credit,chain01_datawig,13,0.2595 ± 0.1325
24_credit,chain01_datawig,14,0.2513 ± 0.1251
24_credit,chain01_datawig,15,0.2548 ± 0.1343
24_credit,chain01_datawig,16,0.2931 ± 0.1566
24_credit,chain01_datawig,17,0.2490 ± 0.1206
24_credit,chain01_datawig,18,0.2915 ± 0.1295
24_credit,chain01_datawig,19,0.2820 ± 0.1646
24_credit,chain01_datawig,20,0.2497 ± 0.1343
24_credit,chain01_datawig,21,0.2690 ± 0.1469
24_credit,chain01_datawig,22,0.2590 ± 0.1376
24_credit,chain01_datawig,23,0.2636 ± 0.1469
24_credit,chain01_datawig,24,0.2583 ± 0.1250
24_credit,chain01_datawig,25,0.2760 ± 0.1205
24_credit,chain01_datawig,26,0.3003 ± 0.1615
24_credit,chain01_datawig,27,0.2894 ± 0.1351
24_credit,chain01_datawig,28,0.2670 ± 0.1883
24_credit,chain01_datawig,29,0.2551 ± 0.1397
24_credit,chain01_datawig,30,0.2836 ± 0.1391
