Dataset,method,Experiment,RMSE
33_forty,chain01_datawig,1,0.2281 ± 0.0837
33_forty,chain01_datawig,2,0.2287 ± 0.1007
33_forty,chain01_datawig,3,0.2346 ± 0.1363
33_forty,chain01_datawig,4,0.2371 ± 0.0647
33_forty,chain01_datawig,5,0.2294 ± 0.1153
33_forty,chain01_datawig,6,0.2219 ± 0.0688
33_forty,chain01_datawig,7,0.2224 ± 0.0467
33_forty,chain01_datawig,8,0.1914 ± 0.0539
33_forty,chain01_datawig,9,0.2699 ± 0.1180
33_forty,chain01_datawig,10,0.2451 ± 0.1166
33_forty,chain01_datawig,11,0.2513 ± 0.1060
33_forty,chain01_datawig,12,0.2476 ± 0.1133
33_forty,chain01_datawig,13,0.2713 ± 0.1606
33_forty,chain01_datawig,14,0.2295 ± 0.0795
33_forty,chain01_datawig,15,0.2469 ± 0.0535
33_forty,chain01_datawig,16,0.2275 ± 0.0684
33_forty,chain01_datawig,17,0.2528 ± 0.2056
33_forty,chain01_datawig,18,0.2517 ± 0.1677
33_forty,chain01_datawig,19,0.2449 ± 0.0755
33_forty,chain01_datawig,20,0.2176 ± 0.1133
33_forty,chain01_datawig,21,0.2544 ± 0.1705
33_forty,chain01_datawig,22,0.2285 ± 0.0622
33_forty,chain01_datawig,23,0.2178 ± 0.0726
33_forty,chain01_datawig,24,0.2458 ± 0.0553
33_forty,chain01_datawig,25,0.2114 ± 0.0665
33_forty,chain01_datawig,26,0.2153 ± 0.0516
33_forty,chain01_datawig,27,0.1991 ± 0.0656
33_forty,chain01_datawig,28,0.2458 ± 0.0553
33_forty,chain01_datawig,29,0.2608 ± 0.1562
33_forty,chain01_datawig,30,0.2238 ± 0.0728
