Dataset,method,Experiment,RMSE
7_post_patient,chain01_datawig,1,0.3620 ± 0.1787
7_post_patient,chain01_datawig,2,0.3268 ± 0.1900
7_post_patient,chain01_datawig,3,0.3979 ± 0.1133
7_post_patient,chain01_datawig,4,0.4493 ± 0.1730
7_post_patient,chain01_datawig,5,0.3703 ± 0.1578
7_post_patient,chain01_datawig,6,0.4243 ± 0.2769
7_post_patient,chain01_datawig,7,0.4299 ± 0.2238
7_post_patient,chain01_datawig,8,0.3877 ± 0.1095
7_post_patient,chain01_datawig,9,0.4196 ± 0.2199
7_post_patient,chain01_datawig,10,0.4660 ± 0.3307
7_post_patient,chain01_datawig,11,0.3806 ± 0.1670
7_post_patient,chain01_datawig,12,0.3668 ± 0.1198
7_post_patient,chain01_datawig,13,0.5027 ± 0.3157
7_post_patient,chain01_datawig,14,0.4959 ± 0.3535
7_post_patient,chain01_datawig,15,0.3836 ± 0.1737
7_post_patient,chain01_datawig,16,0.3162 ± 0.1382
7_post_patient,chain01_datawig,17,0.5138 ± 0.2639
7_post_patient,chain01_datawig,18,0.4318 ± 0.1032
7_post_patient,chain01_datawig,19,0.4646 ± 0.2142
7_post_patient,chain01_datawig,20,0.3275 ± 0.0683
7_post_patient,chain01_datawig,21,0.4100 ± 0.2018
7_post_patient,chain01_datawig,22,0.3641 ± 0.1066
7_post_patient,chain01_datawig,23,0.3521 ± 0.1124
7_post_patient,chain01_datawig,24,0.5730 ± 0.3492
7_post_patient,chain01_datawig,25,0.3907 ± 0.1455
7_post_patient,chain01_datawig,26,0.4103 ± 0.1822
7_post_patient,chain01_datawig,27,0.5200 ± 0.2618
7_post_patient,chain01_datawig,28,0.4316 ± 0.2119
7_post_patient,chain01_datawig,29,0.3730 ± 0.1900
7_post_patient,chain01_datawig,30,0.5294 ± 0.3131
