Dataset,method,Experiment,RMSE
8_liver,chain01_datawig,1,0.2002 ± 0.1300
8_liver,chain01_datawig,2,0.2359 ± 0.1115
8_liver,chain01_datawig,3,0.2035 ± 0.1051
8_liver,chain01_datawig,4,0.2175 ± 0.1227
8_liver,chain01_datawig,5,0.2432 ± 0.1326
8_liver,chain01_datawig,6,0.2196 ± 0.1627
8_liver,chain01_datawig,7,0.2565 ± 0.1328
8_liver,chain01_datawig,8,0.2579 ± 0.0847
8_liver,chain01_datawig,9,0.2688 ± 0.1376
8_liver,chain01_datawig,10,0.1969 ± 0.1334
8_liver,chain01_datawig,11,0.2329 ± 0.1257
8_liver,chain01_datawig,12,0.1958 ± 0.1515
8_liver,chain01_datawig,13,0.2846 ± 0.1179
8_liver,chain01_datawig,14,0.2368 ± 0.1423
8_liver,chain01_datawig,15,0.2370 ± 0.1246
8_liver,chain01_datawig,16,0.2018 ± 0.1427
8_liver,chain01_datawig,17,0.1891 ± 0.1309
8_liver,chain01_datawig,18,0.2431 ± 0.1245
8_liver,chain01_datawig,19,0.2307 ± 0.1308
8_liver,chain01_datawig,20,0.2290 ± 0.1222
8_liver,chain01_datawig,21,0.1760 ± 0.1373
8_liver,chain01_datawig,22,0.2720 ± 0.1432
8_liver,chain01_datawig,23,0.1967 ± 0.1419
8_liver,chain01_datawig,24,0.2221 ± 0.1178
8_liver,chain01_datawig,25,0.1976 ± 0.1405
8_liver,chain01_datawig,26,0.2418 ± 0.1277
8_liver,chain01_datawig,27,0.2152 ± 0.1533
8_liver,chain01_datawig,28,0.2439 ± 0.1110
8_liver,chain01_datawig,29,0.2634 ± 0.1025
8_liver,chain01_datawig,30,0.1793 ± 0.1137
