Dataset,method,Experiment,RMSE
9_abalone,chain01_datawig,1,0.1749 ± 0.0664
9_abalone,chain01_datawig,2,0.1900 ± 0.0319
9_abalone,chain01_datawig,3,0.1587 ± 0.0162
9_abalone,chain01_datawig,4,0.1635 ± 0.0429
9_abalone,chain01_datawig,5,0.1661 ± 0.0246
9_abalone,chain01_datawig,6,0.1489 ± 0.0637
9_abalone,chain01_datawig,7,0.1527 ± 0.0525
9_abalone,chain01_datawig,8,0.1399 ± 0.0514
9_abalone,chain01_datawig,9,0.1606 ± 0.0158
9_abalone,chain01_datawig,10,0.1575 ± 0.0286
9_abalone,chain01_datawig,11,0.1667 ± 0.0327
9_abalone,chain01_datawig,12,0.1533 ± 0.0182
9_abalone,chain01_datawig,13,0.1732 ± 0.0359
9_abalone,chain01_datawig,14,0.1619 ± 0.0446
9_abalone,chain01_datawig,15,0.2092 ± 0.0317
9_abalone,chain01_datawig,16,0.1883 ± 0.0347
9_abalone,chain01_datawig,17,0.1600 ± 0.0442
9_abalone,chain01_datawig,18,0.1571 ± 0.0193
9_abalone,chain01_datawig,19,0.1617 ± 0.0476
9_abalone,chain01_datawig,20,0.1565 ± 0.0236
9_abalone,chain01_datawig,21,0.1454 ± 0.0493
9_abalone,chain01_datawig,22,0.2016 ± 0.0668
9_abalone,chain01_datawig,23,0.1926 ± 0.0549
9_abalone,chain01_datawig,24,0.1614 ± 0.0320
9_abalone,chain01_datawig,25,0.1702 ± 0.0266
9_abalone,chain01_datawig,26,0.1760 ± 0.0308
9_abalone,chain01_datawig,27,0.1530 ± 0.0256
9_abalone,chain01_datawig,28,0.1433 ± 0.0465
9_abalone,chain01_datawig,29,0.1616 ± 0.0215
9_abalone,chain01_datawig,30,0.2007 ± 0.0640
