Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
10_lympho,chain02_datawig,1,"['defect in node', 'lym.nodes enlar', 'lymphatics', 'exclusion of no', 'bl. of lymph.c', 'dislocation of', 'changes in lym', 'bl. of lymph.s', 'extravasates', 'no. of nodes in', 'special forms', 'regeneration of', 'early uptake in', 'lym.nodes dimin', 'by pass', 'block of affere', 'changes in stru', 'changes in node']",defect in node,0.32369725580544384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain02_datawig,1,"['defect in node', 'lym.nodes enlar', 'lymphatics', 'exclusion of no', 'bl. of lymph.c', 'dislocation of', 'changes in lym', 'bl. of lymph.s', 'extravasates', 'no. of nodes in', 'special forms', 'regeneration of', 'early uptake in', 'lym.nodes dimin', 'by pass', 'block of affere', 'changes in stru', 'changes in node']",lym.nodes enlar,0.23200893985932727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain02_datawig,1,"['defect in node', 'lym.nodes enlar', 'lymphatics', 'exclusion of no', 'bl. of lymph.c', 'dislocation of', 'changes in lym', 'bl. of lymph.s', 'extravasates', 'no. of nodes in', 'special forms', 'regeneration of', 'early uptake in', 'lym.nodes dimin', 'by pass', 'block of affere', 'changes in stru', 'changes in node']",lymphatics,0.13479930892925504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain02_datawig,1,"['defect in node', 'lym.nodes enlar', 'lymphatics', 'exclusion of no', 'bl. of lymph.c', 'dislocation of', 'changes in lym', 'bl. of lymph.s', 'extravasates', 'no. of nodes in', 'special forms', 'regeneration of', 'early uptake in', 'lym.nodes dimin', 'by pass', 'block of affere', 'changes in stru', 'changes in node']",exclusion of no,0.2688720302207346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain02_datawig,1,"['defect in node', 'lym.nodes enlar', 'lymphatics', 'exclusion of no', 'bl. of lymph.c', 'dislocation of', 'changes in lym', 'bl. of lymph.s', 'extravasates', 'no. of nodes in', 'special forms', 'regeneration of', 'early uptake in', 'lym.nodes dimin', 'by pass', 'block of affere', 'changes in stru', 'changes in node']",bl. of lymph.c,0.34100804340817265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain02_datawig,1,"['defect in node', 'lym.nodes enlar', 'lymphatics', 'exclusion of no', 'bl. of lymph.c', 'dislocation of', 'changes in lym', 'bl. of lymph.s', 'extravasates', 'no. of nodes in', 'special forms', 'regeneration of', 'early uptake in', 'lym.nodes dimin', 'by pass', 'block of affere', 'changes in stru', 'changes in node']",dislocation of,0.5448143830740516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain02_datawig,1,"['defect in node', 'lym.nodes enlar', 'lymphatics', 'exclusion of no', 'bl. of lymph.c', 'dislocation of', 'changes in lym', 'bl. of lymph.s', 'extravasates', 'no. of nodes in', 'special forms', 'regeneration of', 'early uptake in', 'lym.nodes dimin', 'by pass', 'block of affere', 'changes in stru', 'changes in node']",changes in lym,0.2560934283938091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain02_datawig,1,"['defect in node', 'lym.nodes enlar', 'lymphatics', 'exclusion of no', 'bl. of lymph.c', 'dislocation of', 'changes in lym', 'bl. of lymph.s', 'extravasates', 'no. of nodes in', 'special forms', 'regeneration of', 'early uptake in', 'lym.nodes dimin', 'by pass', 'block of affere', 'changes in stru', 'changes in node']",bl. of lymph.s,1.1021393664551258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain02_datawig,1,"['defect in node', 'lym.nodes enlar', 'lymphatics', 'exclusion of no', 'bl. of lymph.c', 'dislocation of', 'changes in lym', 'bl. of lymph.s', 'extravasates', 'no. of nodes in', 'special forms', 'regeneration of', 'early uptake in', 'lym.nodes dimin', 'by pass', 'block of affere', 'changes in stru', 'changes in node']",extravasates,0.5050609916161498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain02_datawig,1,"['defect in node', 'lym.nodes enlar', 'lymphatics', 'exclusion of no', 'bl. of lymph.c', 'dislocation of', 'changes in lym', 'bl. of lymph.s', 'extravasates', 'no. of nodes in', 'special forms', 'regeneration of', 'early uptake in', 'lym.nodes dimin', 'by pass', 'block of affere', 'changes in stru', 'changes in node']",no. of nodes in,0.2939798541278197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
