Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
11_iris,chain02_datawig,1,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",petal_length,0.40231449173737693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,1,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",sepal_length,0.32346646552659236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,1,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",sepal_width,0.1003887951566317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,1,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",petal_width,0.33830520245381296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,2,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",petal_length,,0.38295239025996003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,2,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",sepal_length,,0.21087121009169774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,2,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",sepal_width,,0.17270519021605585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,2,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",petal_width,,0.09417408789202553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,3,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",petal_length,,,0.4478029875527876,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,3,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",sepal_length,,,0.2965170772901082,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,3,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",sepal_width,,,0.21546953125993143,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,3,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",petal_width,,,0.1829809853891727,,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,4,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",petal_length,,,,0.4309484480780805,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,4,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",sepal_length,,,,0.4301766326359146,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,4,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",sepal_width,,,,0.17428230282102497,,,,,,,,,,,,,,,,,,,,,,,,,,
11_iris,chain02_datawig,4,"['petal_length', 'sepal_length', 'sepal_width', 'petal_width']",petal_width,,,,0.3174426103164896,,,,,,,,,,,,,,,,,,,,,,,,,,
