Dataset,method,Experiment,RMSE
12_darwin,chain02_datawig,1,0.7764 ± 0.0000
12_darwin,chain02_datawig,2,0.7710 ± 0.0054
12_darwin,chain02_datawig,3,0.7760 ± 0.0084
12_darwin,chain02_datawig,4,0.7738 ± 0.0082
12_darwin,chain02_datawig,5,0.7751 ± 0.0078
12_darwin,chain02_datawig,6,0.7865 ± 0.0264
12_darwin,chain02_datawig,7,0.7834 ± 0.0257
12_darwin,chain02_datawig,8,0.7803 ± 0.0254
12_darwin,chain02_datawig,9,0.7852 ± 0.0277
12_darwin,chain02_datawig,10,0.7919 ± 0.0330
12_darwin,chain02_datawig,11,0.7891 ± 0.0327
12_darwin,chain02_datawig,12,0.7923 ± 0.0331
12_darwin,chain02_datawig,13,0.7904 ± 0.0325
12_darwin,chain02_datawig,14,0.7921 ± 0.0319
12_darwin,chain02_datawig,15,0.7901 ± 0.0316
12_darwin,chain02_datawig,16,0.7888 ± 0.0311
12_darwin,chain02_datawig,17,0.7876 ± 0.0305
12_darwin,chain02_datawig,18,0.7876 ± 0.0297
12_darwin,chain02_datawig,19,0.7896 ± 0.0300
12_darwin,chain02_datawig,20,0.7885 ± 0.0296
12_darwin,chain02_datawig,21,0.7878 ± 0.0291
12_darwin,chain02_datawig,22,0.7887 ± 0.0287
12_darwin,chain02_datawig,23,0.7880 ± 0.0283
12_darwin,chain02_datawig,24,0.7885 ± 0.0278
12_darwin,chain02_datawig,25,0.7871 ± 0.0281
12_darwin,chain02_datawig,26,0.7864 ± 0.0278
12_darwin,chain02_datawig,27,0.7862 ± 0.0273
12_darwin,chain02_datawig,28,0.7860 ± 0.0268
12_darwin,chain02_datawig,29,0.7860 ± 0.0263
12_darwin,chain02_datawig,30,0.7862 ± 0.0259
