Dataset,method,Experiment,RMSE
13_segmentation,chain02_datawig,1,0.9416 ± 0.0000
13_segmentation,chain02_datawig,2,0.9309 ± 0.0107
13_segmentation,chain02_datawig,3,0.9001 ± 0.0445
13_segmentation,chain02_datawig,4,0.9015 ± 0.0386
13_segmentation,chain02_datawig,5,0.9027 ± 0.0346
13_segmentation,chain02_datawig,6,0.8962 ± 0.0348
13_segmentation,chain02_datawig,7,0.8913 ± 0.0344
13_segmentation,chain02_datawig,8,0.8872 ± 0.0339
13_segmentation,chain02_datawig,9,0.8862 ± 0.0321
13_segmentation,chain02_datawig,10,0.8863 ± 0.0305
13_segmentation,chain02_datawig,11,0.8907 ± 0.0322
13_segmentation,chain02_datawig,12,0.8841 ± 0.0379
13_segmentation,chain02_datawig,13,0.8779 ± 0.0422
13_segmentation,chain02_datawig,14,0.8731 ± 0.0442
13_segmentation,chain02_datawig,15,0.8847 ± 0.0608
13_segmentation,chain02_datawig,16,0.8882 ± 0.0604
13_segmentation,chain02_datawig,17,0.8894 ± 0.0588
13_segmentation,chain02_datawig,18,0.8888 ± 0.0572
13_segmentation,chain02_datawig,19,0.8892 ± 0.0557
13_segmentation,chain02_datawig,20,0.8885 ± 0.0544
13_segmentation,chain02_datawig,21,0.8848 ± 0.0556
13_segmentation,chain02_datawig,22,0.8826 ± 0.0552
13_segmentation,chain02_datawig,23,0.8836 ± 0.0542
13_segmentation,chain02_datawig,24,0.8842 ± 0.0532
13_segmentation,chain02_datawig,25,0.8819 ± 0.0533
13_segmentation,chain02_datawig,26,0.8839 ± 0.0532
13_segmentation,chain02_datawig,27,0.8864 ± 0.0538
13_segmentation,chain02_datawig,28,0.8850 ± 0.0532
13_segmentation,chain02_datawig,29,0.8839 ± 0.0527
13_segmentation,chain02_datawig,30,0.8814 ± 0.0535
