Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
14_national,chain02_datawig,1,"['LBXGLU', 'RIAGENDR', 'DIQ010', 'PAQ605', 'RIDAGEYR', 'BMXBMI', 'LBXIN', 'LBXGLT']",LBXGLU,0.03866574188515282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain02_datawig,1,"['LBXGLU', 'RIAGENDR', 'DIQ010', 'PAQ605', 'RIDAGEYR', 'BMXBMI', 'LBXIN', 'LBXGLT']",RIAGENDR,0.5250853277931966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain02_datawig,1,"['LBXGLU', 'RIAGENDR', 'DIQ010', 'PAQ605', 'RIDAGEYR', 'BMXBMI', 'LBXIN', 'LBXGLT']",DIQ010,0.0941023529379103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain02_datawig,1,"['LBXGLU', 'RIAGENDR', 'DIQ010', 'PAQ605', 'RIDAGEYR', 'BMXBMI', 'LBXIN', 'LBXGLT']",PAQ605,0.7929271486317276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain02_datawig,1,"['LBXGLU', 'RIAGENDR', 'DIQ010', 'PAQ605', 'RIDAGEYR', 'BMXBMI', 'LBXIN', 'LBXGLT']",RIDAGEYR,0.28271467623474195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain02_datawig,1,"['LBXGLU', 'RIAGENDR', 'DIQ010', 'PAQ605', 'RIDAGEYR', 'BMXBMI', 'LBXIN', 'LBXGLT']",BMXBMI,0.13378595202537258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain02_datawig,1,"['LBXGLU', 'RIAGENDR', 'DIQ010', 'PAQ605', 'RIDAGEYR', 'BMXBMI', 'LBXIN', 'LBXGLT']",LBXIN,0.132436418685261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain02_datawig,1,"['LBXGLU', 'RIAGENDR', 'DIQ010', 'PAQ605', 'RIDAGEYR', 'BMXBMI', 'LBXIN', 'LBXGLT']",LBXGLT,0.10172721076694893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain02_datawig,2,"['LBXGLU', 'RIAGENDR', 'DIQ010', 'PAQ605', 'RIDAGEYR', 'BMXBMI', 'LBXIN', 'LBXGLT']",LBXGLU,,0.0860476559326905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain02_datawig,2,"['LBXGLU', 'RIAGENDR', 'DIQ010', 'PAQ605', 'RIDAGEYR', 'BMXBMI', 'LBXIN', 'LBXGLT']",RIAGENDR,,0.44189422674393064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain02_datawig,2,"['LBXGLU', 'RIAGENDR', 'DIQ010', 'PAQ605', 'RIDAGEYR', 'BMXBMI', 'LBXIN', 'LBXGLT']",DIQ010,,0.06910607682167627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
