Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
15_magic,chain02_datawig,1,"['fM3Trans', 'fAlpha', 'fWidth', 'fAsym', 'fConc', 'fConc1', 'fSize', 'fLength', 'fDist', 'fM3Long']",fM3Trans,0.06395228518062743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain02_datawig,1,"['fM3Trans', 'fAlpha', 'fWidth', 'fAsym', 'fConc', 'fConc1', 'fSize', 'fLength', 'fDist', 'fM3Long']",fAlpha,0.27136003628674704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain02_datawig,1,"['fM3Trans', 'fAlpha', 'fWidth', 'fAsym', 'fConc', 'fConc1', 'fSize', 'fLength', 'fDist', 'fM3Long']",fWidth,0.11501421617132782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain02_datawig,1,"['fM3Trans', 'fAlpha', 'fWidth', 'fAsym', 'fConc', 'fConc1', 'fSize', 'fLength', 'fDist', 'fM3Long']",fAsym,0.0626086018854868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain02_datawig,1,"['fM3Trans', 'fAlpha', 'fWidth', 'fAsym', 'fConc', 'fConc1', 'fSize', 'fLength', 'fDist', 'fM3Long']",fConc,0.18598769131831167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain02_datawig,1,"['fM3Trans', 'fAlpha', 'fWidth', 'fAsym', 'fConc', 'fConc1', 'fSize', 'fLength', 'fDist', 'fM3Long']",fConc1,0.15999425606063464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain02_datawig,1,"['fM3Trans', 'fAlpha', 'fWidth', 'fAsym', 'fConc', 'fConc1', 'fSize', 'fLength', 'fDist', 'fM3Long']",fSize,0.13812039148560967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain02_datawig,1,"['fM3Trans', 'fAlpha', 'fWidth', 'fAsym', 'fConc', 'fConc1', 'fSize', 'fLength', 'fDist', 'fM3Long']",fLength,0.12516040245197244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain02_datawig,1,"['fM3Trans', 'fAlpha', 'fWidth', 'fAsym', 'fConc', 'fConc1', 'fSize', 'fLength', 'fDist', 'fM3Long']",fDist,0.16934965771478305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_magic,chain02_datawig,1,"['fM3Trans', 'fAlpha', 'fWidth', 'fAsym', 'fConc', 'fConc1', 'fSize', 'fLength', 'fDist', 'fM3Long']",fM3Long,0.09486313158490199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
