Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
16_rice,chain02_datawig,1,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Eccentricity,0.12888991693259053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,1,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Major_Axis_Length,0.18004726469558696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,1,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Perimeter,0.15953548923894048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,1,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Area,0.15605467093504183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,1,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Convex_Area,0.20153371960575497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,1,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Minor_Axis_Length,0.2229496253349812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,1,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Extent,0.2026610520093828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,2,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Eccentricity,,0.13953759629645093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,2,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Major_Axis_Length,,0.18511026444988138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,2,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Perimeter,,0.19449069783026518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,2,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Area,,0.1676503103259605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,2,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Convex_Area,,0.19568196002490376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,2,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Minor_Axis_Length,,0.11927935137760537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,2,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Extent,,0.22166148483364312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,3,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Eccentricity,,,0.1374370408290925,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,3,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Major_Axis_Length,,,0.20358548357649178,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,3,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Perimeter,,,0.19500545314971932,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,3,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Area,,,0.1618740727368134,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,3,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Convex_Area,,,0.19419004131262202,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,3,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Minor_Axis_Length,,,0.1489524832917247,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,3,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Extent,,,0.19026835099089984,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,4,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Eccentricity,,,,0.12519985849442347,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,4,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Major_Axis_Length,,,,0.15772899952284342,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,4,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Perimeter,,,,0.17583390197700954,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,4,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Area,,,,0.1618257036136473,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain02_datawig,4,"['Eccentricity', 'Major_Axis_Length', 'Perimeter', 'Area', 'Convex_Area', 'Minor_Axis_Length', 'Extent']",Convex_Area,,,,0.16275167462514809,,,,,,,,,,,,,,,,,,,,,,,,,,
