Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
18_maternal,chain02_datawig,1,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,0.2833311915606384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,1,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,0.2642094576890819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,1,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,0.3161696737526936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,1,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,0.2529774826863983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,1,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,0.22840800727357716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,1,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,0.228206934230224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,2,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,0.13687133975930624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,2,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,0.28403550674915296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,2,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,0.3279393207745104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,2,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,0.24229208292504642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,2,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,0.2208668093794694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,2,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,0.20644259175814636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,3,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,0.31706356826772086,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,3,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,0.24889860432580618,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,3,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,0.2870116912507578,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,3,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,0.21787313433876487,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,3,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,0.7034773331114775,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,3,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,0.22595842304894898,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,4,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,0.23785056899339263,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,4,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,0.2670723752776452,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,4,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,0.21304010130897547,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,4,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,0.24611607873620173,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,4,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,0.22028711229768488,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,4,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,0.29850448267029006,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,5,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,0.18506408881890155,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,5,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,0.22873825350042215,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,5,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,0.21167862938698342,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,5,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,0.22429428584793287,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,5,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,0.2138159568526749,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,5,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,0.19023004363572601,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,6,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,0.2754282447777335,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,6,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,0.22194853050882504,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,6,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,0.18614079677136677,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,6,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,0.23610898063167576,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,6,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,0.24816604890770494,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,6,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,,0.22098745212904541,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,7,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,,0.2520546939120933,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,7,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,,0.2480391340183308,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,7,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,,0.22571629542008975,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,7,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,,0.21568996710397761,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,7,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,,0.2529663973413377,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,7,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,,,0.2473514205523092,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,8,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,,,0.27682555941521186,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,8,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,,,0.26683098553587975,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,8,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,,,0.14767117424189252,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,8,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,,,0.2598427078268674,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,8,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,,,0.13251849587921394,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,8,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,,,,0.20888171683202697,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,9,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,,,,0.29221441126522196,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,9,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,,,,0.23497272216102752,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,9,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,,,,0.33347997444841343,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,9,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,,,,0.23560741634980267,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,9,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,,,,0.21866441642086787,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,9,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,,,,,0.24078023417946093,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,10,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,,,,,0.22551351911987372,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,10,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,,,,,0.2771880732199214,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,10,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,,,,,0.1784258916760233,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,10,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,,,,,0.25555914702292376,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,10,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,,,,,0.2039243092766367,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,10,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,,,,,,0.24195379026895883,,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,11,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,,,,,,0.2601131650931171,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,11,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,,,,,,0.2390384413202826,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,11,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,,,,,,0.2893078627341534,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,11,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,,,,,,0.21122505394460858,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,11,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,,,,,,0.0784038735259387,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,11,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,,,,,,,0.2073846053153332,,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,12,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,,,,,,,0.30857821664894525,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,12,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,,,,,,,0.292170261515592,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,12,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,,,,,,,0.15540469418840194,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,12,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,,,,,,,0.23763778857356754,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,12,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,,,,,,,0.2069532832535211,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,12,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,,,,,,,,0.1444413562552161,,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,13,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,,,,,,,,0.2085375441360948,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,13,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,,,,,,,,0.2670168994196245,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,13,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,,,,,,,,0.17489237961062798,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,13,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,,,,,,,,0.2193013889344951,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,13,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,,,,,,,,0.26446243658666196,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,13,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,,,,,,,,,0.2292489683918727,,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,14,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,,,,,,,,,0.24422122703101057,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,14,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,,,,,,,,,0.21061254785121625,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,14,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,,,,,,,,,0.18816307131322732,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,14,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,,,,,,,,,0.24915545746144946,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,14,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,,,,,,,,,0.21520495318300772,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,14,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,,,,,,,,,,0.2594268129382928,,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,15,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,,,,,,,,,,0.2519383063082108,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,15,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,,,,,,,,,,0.2605792055219609,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,15,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,,,,,,,,,,0.19224565860823017,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,15,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,,,,,,,,,,0.24694123161662201,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,15,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,,,,,,,,,,0.1466922720895572,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,15,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,,,,,,,,,,,0.28606134638063085,,,,,,,,,,,,,,,
18_maternal,chain02_datawig,16,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,,,,,,,,,,,0.15446048230850368,,,,,,,,,,,,,,
18_maternal,chain02_datawig,16,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,,,,,,,,,,,0.22357070726996567,,,,,,,,,,,,,,
18_maternal,chain02_datawig,16,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,,,,,,,,,,,0.18526079545135624,,,,,,,,,,,,,,
18_maternal,chain02_datawig,16,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,,,,,,,,,,,0.25792984534547236,,,,,,,,,,,,,,
18_maternal,chain02_datawig,16,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,,,,,,,,,,,0.21060659296808962,,,,,,,,,,,,,,
18_maternal,chain02_datawig,16,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BS,,,,,,,,,,,,,,,,0.2747382109743807,,,,,,,,,,,,,,
18_maternal,chain02_datawig,17,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",BodyTemp,,,,,,,,,,,,,,,,,0.23761061821082197,,,,,,,,,,,,,
18_maternal,chain02_datawig,17,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",DiastolicBP,,,,,,,,,,,,,,,,,0.29380500219079747,,,,,,,,,,,,,
18_maternal,chain02_datawig,17,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",SystolicBP,,,,,,,,,,,,,,,,,0.18545357649798697,,,,,,,,,,,,,
18_maternal,chain02_datawig,17,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",Age,,,,,,,,,,,,,,,,,0.19420782013448168,,,,,,,,,,,,,
18_maternal,chain02_datawig,17,"['BodyTemp', 'DiastolicBP', 'SystolicBP', 'Age', 'HeartRate', 'BS']",HeartRate,,,,,,,,,,,,,,,,,0.21932906397701948,,,,,,,,,,,,,
