Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
1_breast,chain02_datawig,1,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",breast-quad,0.16900884490579773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,1,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",deg-malig,0.4402413796599584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,1,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",menopause,0.384160113068724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,1,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",inv-nodes,0.22944579454134073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,1,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",node-caps,0.29633954237764754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,1,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",tumor-size,0.28351687273572856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,1,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",age,0.2131116178628798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,1,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",irradiat,0.4530571988492778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,1,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",breast,0.43183096237739815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,2,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",breast-quad,,0.11078475439256308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,2,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",deg-malig,,0.3537394790947945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,2,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",menopause,,0.4042463796263745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,2,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",inv-nodes,,0.3194919999685447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,2,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",node-caps,,0.2527324393831575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,2,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",tumor-size,,0.21999415007883721,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,2,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",age,,0.18316923377906721,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,2,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",irradiat,,0.3418319963737519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain02_datawig,2,"['breast-quad', 'deg-malig', 'menopause', 'inv-nodes', 'node-caps', 'tumor-size', 'age', 'irradiat', 'breast']",breast,,0.4450022523920864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
