Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",CH2O,0.29378492823976593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",CALC,0.23024126416731458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",FAVC,0.2605814044229468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",Age,0.1512450526181396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",SMOKE,0.03436021042374277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",Height,0.18518738879894422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",Weight,0.20959320546390373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",SCC,0.2507150502256833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",TUE,0.30713808223929767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",NCP,0.2685938104792022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",CAEC,0.1463500231378868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",family_history_with_overweight,0.4387549506019759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",Gender,0.5011203550095237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",FCVC,0.2607531395036024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",MTRANS,0.28967193897558025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,1,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",FAF,0.2738916710142782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,2,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",CH2O,,0.2397286675833652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,2,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",CALC,,0.221950691337917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,2,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",FAVC,,0.2321979152070801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_obesity,chain02_datawig,2,"['CH2O', 'CALC', 'FAVC', 'Age', 'SMOKE', 'Height', 'Weight', 'SCC', 'TUE', 'NCP', 'CAEC', 'family_history_with_overweight', 'Gender', 'FCVC', 'MTRANS', 'FAF']",Age,,0.12982157420705837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
