Dataset,method,Experiment,RMSE
22_seeds,chain02_datawig,1,0.5978 ± 0.0000
22_seeds,chain02_datawig,2,0.5803 ± 0.0175
22_seeds,chain02_datawig,3,0.5849 ± 0.0157
22_seeds,chain02_datawig,4,0.5755 ± 0.0213
22_seeds,chain02_datawig,5,0.5693 ± 0.0226
22_seeds,chain02_datawig,6,0.5709 ± 0.0210
22_seeds,chain02_datawig,7,0.5663 ± 0.0226
22_seeds,chain02_datawig,8,0.5680 ± 0.0216
22_seeds,chain02_datawig,9,0.5667 ± 0.0207
22_seeds,chain02_datawig,10,0.5651 ± 0.0202
22_seeds,chain02_datawig,11,0.5644 ± 0.0194
22_seeds,chain02_datawig,12,0.5596 ± 0.0246
22_seeds,chain02_datawig,13,0.5590 ± 0.0237
22_seeds,chain02_datawig,14,0.5616 ± 0.0248
22_seeds,chain02_datawig,15,0.5619 ± 0.0239
22_seeds,chain02_datawig,16,0.5625 ± 0.0233
22_seeds,chain02_datawig,17,0.5631 ± 0.0227
22_seeds,chain02_datawig,18,0.5631 ± 0.0221
22_seeds,chain02_datawig,19,0.5633 ± 0.0215
22_seeds,chain02_datawig,20,0.5642 ± 0.0213
22_seeds,chain02_datawig,21,0.5640 ± 0.0208
22_seeds,chain02_datawig,22,0.5650 ± 0.0209
22_seeds,chain02_datawig,23,0.5665 ± 0.0215
22_seeds,chain02_datawig,24,0.5669 ± 0.0212
22_seeds,chain02_datawig,25,0.5661 ± 0.0211
22_seeds,chain02_datawig,26,0.5653 ± 0.0210
22_seeds,chain02_datawig,27,0.5641 ± 0.0215
22_seeds,chain02_datawig,28,0.5639 ± 0.0212
22_seeds,chain02_datawig,29,0.5623 ± 0.0225
22_seeds,chain02_datawig,30,0.5616 ± 0.0224
