Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
23_ai4i,chain02_datawig,1,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Rotational speed,0.08279874761905578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,1,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Process temperature,0.16660709794749826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,1,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Air temperature,0.18872923373907305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,1,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Tool wear,0.238404457013896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,1,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Torque,0.12844474459513605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,2,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Rotational speed,,0.09034808362764186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,2,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Process temperature,,0.16420245405758907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,2,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Air temperature,,0.2009171226004041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,2,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Tool wear,,0.24053083863106017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,2,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Torque,,0.1276379370010774,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,3,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Rotational speed,,,0.10404137298513223,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,3,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Process temperature,,,0.15765143303291598,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,3,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Air temperature,,,0.2103476479360336,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,3,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Tool wear,,,0.22658799660339868,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,3,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Torque,,,0.15850918859119603,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,4,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Rotational speed,,,,0.10076506680643676,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,4,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Process temperature,,,,0.17128564078970418,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,4,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Air temperature,,,,0.18821687624656913,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,4,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Tool wear,,,,0.2314110390046859,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,4,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Torque,,,,0.12267752152498515,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,5,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Rotational speed,,,,,0.10892760075313529,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,5,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Process temperature,,,,,0.1726246506846744,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,5,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Air temperature,,,,,0.19215314093980387,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,5,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Tool wear,,,,,0.2408130936407702,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,5,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Torque,,,,,0.1328768253521621,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,6,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Rotational speed,,,,,,0.10678200322703273,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,6,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Process temperature,,,,,,0.1734303952471383,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,6,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Air temperature,,,,,,0.19952497075507025,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,6,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Tool wear,,,,,,0.22435549373622388,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,6,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Torque,,,,,,0.14530740634621206,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,7,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Rotational speed,,,,,,,0.11654668390344103,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,7,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Process temperature,,,,,,,0.16536139860094798,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,7,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Air temperature,,,,,,,0.19124562342671111,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,7,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Tool wear,,,,,,,0.23229013156696202,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,7,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Torque,,,,,,,0.14040438627509702,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,chain02_datawig,8,"['Rotational speed', 'Process temperature', 'Air temperature', 'Tool wear', 'Torque']",Rotational speed,,,,,,,,0.10323718905936251,,,,,,,,,,,,,,,,,,,,,,
