Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
28_haberman,chain02_datawig,1,"['age', 'positive', 'oper']",age,0.18457441465396593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,1,"['age', 'positive', 'oper']",positive,0.14387293922477726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,1,"['age', 'positive', 'oper']",oper,0.29248444470256196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,2,"['age', 'positive', 'oper']",age,,0.1203524703848481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,2,"['age', 'positive', 'oper']",positive,,0.15915212010954582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,2,"['age', 'positive', 'oper']",oper,,0.19370368931090848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,3,"['age', 'positive', 'oper']",age,,,0.16059285588473413,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,3,"['age', 'positive', 'oper']",positive,,,0.21372653146994094,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,3,"['age', 'positive', 'oper']",oper,,,0.27204902484001775,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,4,"['age', 'positive', 'oper']",age,,,,0.1576773752848333,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,4,"['age', 'positive', 'oper']",positive,,,,0.050979205197344404,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,4,"['age', 'positive', 'oper']",oper,,,,0.30398218392681065,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain02_datawig,5,"['age', 'positive', 'oper']",age,,,,,0.17501444393512103,,,,,,,,,,,,,,,,,,,,,,,,,
