Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
29_echocardiogram,chain02_datawig,1,"['index', 'mult', 'still', 'age', 'epss', 'pericardial', 'score', 'fractional', 'survival', 'group', 'lvdd']",index,0.08958243793222216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain02_datawig,1,"['index', 'mult', 'still', 'age', 'epss', 'pericardial', 'score', 'fractional', 'survival', 'group', 'lvdd']",mult,0.10999783368834518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain02_datawig,1,"['index', 'mult', 'still', 'age', 'epss', 'pericardial', 'score', 'fractional', 'survival', 'group', 'lvdd']",still,0.46157177995862697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain02_datawig,1,"['index', 'mult', 'still', 'age', 'epss', 'pericardial', 'score', 'fractional', 'survival', 'group', 'lvdd']",age,0.039061270442448226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain02_datawig,1,"['index', 'mult', 'still', 'age', 'epss', 'pericardial', 'score', 'fractional', 'survival', 'group', 'lvdd']",epss,0.27006580946557035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain02_datawig,1,"['index', 'mult', 'still', 'age', 'epss', 'pericardial', 'score', 'fractional', 'survival', 'group', 'lvdd']",pericardial,0.568139482456421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain02_datawig,1,"['index', 'mult', 'still', 'age', 'epss', 'pericardial', 'score', 'fractional', 'survival', 'group', 'lvdd']",score,0.2254932767522647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain02_datawig,1,"['index', 'mult', 'still', 'age', 'epss', 'pericardial', 'score', 'fractional', 'survival', 'group', 'lvdd']",fractional,0.20308945953440433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain02_datawig,1,"['index', 'mult', 'still', 'age', 'epss', 'pericardial', 'score', 'fractional', 'survival', 'group', 'lvdd']",survival,0.1671918416078667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,chain02_datawig,1,"['index', 'mult', 'still', 'age', 'epss', 'pericardial', 'score', 'fractional', 'survival', 'group', 'lvdd']",group,0.2833162919094753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
