Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
30_monk,chain02_datawig,1,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a5,0.32517365918707075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,1,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a3,0.4230693816172657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,1,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a2,0.3882401773660055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,1,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a1,0.31522081412343256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,1,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a6,0.4646967298831235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,1,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a4,0.40472557314982494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,2,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a5,,0.2891619851532129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,2,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a3,,0.4592619105369513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,2,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a2,,0.4259459717968371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,2,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a1,,0.3632192760565113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,2,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a6,,0.5271518962368995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,2,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a4,,0.34864108940718636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,3,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a5,,,0.2967895483986598,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,3,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a3,,,0.42190029960299424,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,3,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a2,,,0.3959924773878829,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,3,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a1,,,0.3499232174159192,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,3,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a6,,,0.3679626082514285,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,3,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a4,,,0.4005642926107885,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,4,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a5,,,,0.3510667187855655,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,4,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a3,,,,0.4590253341076237,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,4,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a2,,,,0.39687124339195307,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,4,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a1,,,,0.33376574586372504,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,4,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a6,,,,0.48099670034739045,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,4,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a4,,,,0.3074753151817793,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,5,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a5,,,,,0.3407860418305178,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,5,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a3,,,,,0.4827197981062445,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,5,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a2,,,,,0.27369032440622043,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,5,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a1,,,,,0.4075332391150497,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,5,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a6,,,,,0.41100167978949803,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,5,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a4,,,,,0.3280711560993029,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,6,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a5,,,,,,0.33035687369812367,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,6,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a3,,,,,,0.5102866838501579,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,chain02_datawig,6,"['a5', 'a3', 'a2', 'a1', 'a6', 'a4']",a2,,,,,,0.3657576923683238,,,,,,,,,,,,,,,,,,,,,,,,
