Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
31_blood,chain02_datawig,1,"['Monetary', 'Recency', 'Frequency', 'Time']",Monetary,0.2831913860870884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,1,"['Monetary', 'Recency', 'Frequency', 'Time']",Recency,0.09154915113402735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,1,"['Monetary', 'Recency', 'Frequency', 'Time']",Frequency,0.08023752032479743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,1,"['Monetary', 'Recency', 'Frequency', 'Time']",Time,0.22696066607633303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,2,"['Monetary', 'Recency', 'Frequency', 'Time']",Monetary,,0.049193674290267164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,2,"['Monetary', 'Recency', 'Frequency', 'Time']",Recency,,0.287508220869715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,2,"['Monetary', 'Recency', 'Frequency', 'Time']",Frequency,,0.08343697465916336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,2,"['Monetary', 'Recency', 'Frequency', 'Time']",Time,,0.2598486967519619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,3,"['Monetary', 'Recency', 'Frequency', 'Time']",Monetary,,,0.3541049556719488,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,3,"['Monetary', 'Recency', 'Frequency', 'Time']",Recency,,,0.16715753616592918,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,3,"['Monetary', 'Recency', 'Frequency', 'Time']",Frequency,,,0.0642231515364919,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,3,"['Monetary', 'Recency', 'Frequency', 'Time']",Time,,,0.22857990654434931,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,4,"['Monetary', 'Recency', 'Frequency', 'Time']",Monetary,,,,0.1794895943994327,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,4,"['Monetary', 'Recency', 'Frequency', 'Time']",Recency,,,,0.09478146259006029,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,4,"['Monetary', 'Recency', 'Frequency', 'Time']",Frequency,,,,0.08396646903235999,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,4,"['Monetary', 'Recency', 'Frequency', 'Time']",Time,,,,0.2264053777181336,,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,5,"['Monetary', 'Recency', 'Frequency', 'Time']",Monetary,,,,,0.28110123016584493,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,5,"['Monetary', 'Recency', 'Frequency', 'Time']",Recency,,,,,0.28859587545957494,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,5,"['Monetary', 'Recency', 'Frequency', 'Time']",Frequency,,,,,0.08533628664085009,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,5,"['Monetary', 'Recency', 'Frequency', 'Time']",Time,,,,,0.2827687730148978,,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,6,"['Monetary', 'Recency', 'Frequency', 'Time']",Monetary,,,,,,0.22902287352250983,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,6,"['Monetary', 'Recency', 'Frequency', 'Time']",Recency,,,,,,0.10966971009124564,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,6,"['Monetary', 'Recency', 'Frequency', 'Time']",Frequency,,,,,,0.11350645623363033,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,6,"['Monetary', 'Recency', 'Frequency', 'Time']",Time,,,,,,0.27613657050609963,,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,7,"['Monetary', 'Recency', 'Frequency', 'Time']",Monetary,,,,,,,0.15829337384989411,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,7,"['Monetary', 'Recency', 'Frequency', 'Time']",Recency,,,,,,,0.2675341832535406,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,7,"['Monetary', 'Recency', 'Frequency', 'Time']",Frequency,,,,,,,0.059940521203779205,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,7,"['Monetary', 'Recency', 'Frequency', 'Time']",Time,,,,,,,0.263532787967191,,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,8,"['Monetary', 'Recency', 'Frequency', 'Time']",Monetary,,,,,,,,0.2623632973858001,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,8,"['Monetary', 'Recency', 'Frequency', 'Time']",Recency,,,,,,,,0.3293926332328135,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,8,"['Monetary', 'Recency', 'Frequency', 'Time']",Frequency,,,,,,,,0.07913874347313808,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,8,"['Monetary', 'Recency', 'Frequency', 'Time']",Time,,,,,,,,0.2766427209533063,,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,9,"['Monetary', 'Recency', 'Frequency', 'Time']",Monetary,,,,,,,,,0.10557063791895129,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,9,"['Monetary', 'Recency', 'Frequency', 'Time']",Recency,,,,,,,,,0.2928212298901354,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,9,"['Monetary', 'Recency', 'Frequency', 'Time']",Frequency,,,,,,,,,0.0945084557593219,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,9,"['Monetary', 'Recency', 'Frequency', 'Time']",Time,,,,,,,,,0.1969489575090147,,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,10,"['Monetary', 'Recency', 'Frequency', 'Time']",Monetary,,,,,,,,,,0.1563445073120874,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,10,"['Monetary', 'Recency', 'Frequency', 'Time']",Recency,,,,,,,,,,0.6708250002701367,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,10,"['Monetary', 'Recency', 'Frequency', 'Time']",Frequency,,,,,,,,,,0.15167660818094528,,,,,,,,,,,,,,,,,,,,
31_blood,chain02_datawig,10,"['Monetary', 'Recency', 'Frequency', 'Time']",Time,,,,,,,,,,0.24364622015559914,,,,,,,,,,,,,,,,,,,,
