Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",Risk_D,0.026151854767441706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",Sector_score,0.7293838556992914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",CONTROL_RISK,0.14588318268075076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",History,0.811432465747766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",Score_B,0.6012839331344978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",PARA_B,0.43100321349581866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",Risk_B,0.03288494077014686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",Score_B.1,0.17365501798109226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",Inherent_Risk,0.130760365333175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",Risk_F,0.25046705417212056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",Risk_A,0.24259268791862415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32_audit,chain02_datawig,1,"['Risk_D', 'Sector_score', 'CONTROL_RISK', 'History', 'Score_B', 'PARA_B', 'Risk_B', 'Score_B.1', 'Inherent_Risk', 'Risk_F', 'Risk_A', 'PARA_A', 'Score', 'Score_A', 'RiSk_E', 'Risk_C', 'Prob', 'numbers', 'Audit_Risk', 'District_Loss', 'PROB', 'TOTAL', 'LOCATION_ID', 'Score_MV', 'Detection_Risk', 'Money_Value']",PARA_A,0.2141453746547479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
