Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
33_forty,chain02_datawig,1,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",MHG,0.2828201677564102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,1,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGL,0.09181384872072883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,1,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",PH,0.17382095684492402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,1,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NLP,0.2648139834124046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,1,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGP,0.1947115164335901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,1,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",IFP,0.2200406676845028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,1,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",Repetition,0.39093356860427064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,1,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",GY,0.27916819410400395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,1,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NS,0.18381737876472054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,2,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",MHG,,0.2687583482112683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,2,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGL,,0.05104812819757107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,2,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",PH,,0.2850775934229434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,2,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NLP,,0.15025346619881047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,2,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGP,,0.2812020068528994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,2,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",IFP,,0.2430613915167119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,2,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",Repetition,,0.40040899093964905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,2,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",GY,,0.30517601667732686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,2,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NS,,0.23488810486450076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,3,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",MHG,,,0.10659136089795503,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,3,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGL,,,0.026182294451845018,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,3,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",PH,,,0.17470706134386085,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,3,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NLP,,,0.28148674073864965,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,3,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGP,,,0.4669236351221659,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,3,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",IFP,,,0.196906959235599,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,3,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",Repetition,,,0.3726332029589618,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,3,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",GY,,,0.22691697303738242,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,3,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NS,,,0.4202780820986278,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,4,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",MHG,,,,0.33972475198796165,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,4,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGL,,,,0.25117189242843047,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,4,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",PH,,,,0.224853312930588,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,4,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NLP,,,,0.21221813102349432,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,4,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGP,,,,0.1610537265740167,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,4,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",IFP,,,,0.2040365620295443,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,4,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",Repetition,,,,0.32869890097184296,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,4,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",GY,,,,0.20041847852213257,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,4,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NS,,,,0.21031442299580033,,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,5,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",MHG,,,,,0.19947569460369077,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,5,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGL,,,,,0.06408610687809575,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,5,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",PH,,,,,0.1665848628129863,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,5,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NLP,,,,,0.24232903850334475,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,5,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGP,,,,,0.18221936191431037,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,5,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",IFP,,,,,0.41717448489993786,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,5,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",Repetition,,,,,0.41881863241376677,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,5,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",GY,,,,,0.18540778089464824,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,5,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NS,,,,,0.22201635526183758,,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,6,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",MHG,,,,,,0.2029868707774821,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,6,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGL,,,,,,0.1606291993081174,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,6,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",PH,,,,,,0.16581647128662746,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,6,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NLP,,,,,,0.20314047106959182,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,6,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",NGP,,,,,,0.1539820594801871,,,,,,,,,,,,,,,,,,,,,,,,
33_forty,chain02_datawig,6,"['MHG', 'NGL', 'PH', 'NLP', 'NGP', 'IFP', 'Repetition', 'GY', 'NS']",IFP,,,,,,0.3612336055090247,,,,,,,,,,,,,,,,,,,,,,,,
