Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
3_adult,chain02_datawig,1,"['workclass', 'capital-gain', 'sex', 'marital-status', 'capital-loss', 'fnlwgt', 'education', 'relationship', 'race', 'education-num', 'age', 'hours-per-week', 'occupation', 'native-country']",workclass,0.16448319098320716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain02_datawig,1,"['workclass', 'capital-gain', 'sex', 'marital-status', 'capital-loss', 'fnlwgt', 'education', 'relationship', 'race', 'education-num', 'age', 'hours-per-week', 'occupation', 'native-country']",capital-gain,0.06170622869146062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain02_datawig,1,"['workclass', 'capital-gain', 'sex', 'marital-status', 'capital-loss', 'fnlwgt', 'education', 'relationship', 'race', 'education-num', 'age', 'hours-per-week', 'occupation', 'native-country']",sex,0.44934230238413353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain02_datawig,1,"['workclass', 'capital-gain', 'sex', 'marital-status', 'capital-loss', 'fnlwgt', 'education', 'relationship', 'race', 'education-num', 'age', 'hours-per-week', 'occupation', 'native-country']",marital-status,0.2529648583570215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain02_datawig,1,"['workclass', 'capital-gain', 'sex', 'marital-status', 'capital-loss', 'fnlwgt', 'education', 'relationship', 'race', 'education-num', 'age', 'hours-per-week', 'occupation', 'native-country']",capital-loss,0.07315736189037725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain02_datawig,1,"['workclass', 'capital-gain', 'sex', 'marital-status', 'capital-loss', 'fnlwgt', 'education', 'relationship', 'race', 'education-num', 'age', 'hours-per-week', 'occupation', 'native-country']",fnlwgt,0.08611950364043093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain02_datawig,1,"['workclass', 'capital-gain', 'sex', 'marital-status', 'capital-loss', 'fnlwgt', 'education', 'relationship', 'race', 'education-num', 'age', 'hours-per-week', 'occupation', 'native-country']",education,0.24771969111460704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain02_datawig,1,"['workclass', 'capital-gain', 'sex', 'marital-status', 'capital-loss', 'fnlwgt', 'education', 'relationship', 'race', 'education-num', 'age', 'hours-per-week', 'occupation', 'native-country']",relationship,0.27786227858091017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain02_datawig,1,"['workclass', 'capital-gain', 'sex', 'marital-status', 'capital-loss', 'fnlwgt', 'education', 'relationship', 'race', 'education-num', 'age', 'hours-per-week', 'occupation', 'native-country']",race,0.19683926972852928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,chain02_datawig,1,"['workclass', 'capital-gain', 'sex', 'marital-status', 'capital-loss', 'fnlwgt', 'education', 'relationship', 'race', 'education-num', 'age', 'hours-per-week', 'occupation', 'native-country']",education-num,0.15653761940801963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
