Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
4_wine,chain02_datawig,1,"['Malic_acid', 'Hue', 'Color_intensity', 'Total_phenols', 'OD280%2FOD315_of_diluted_wines', 'Ash', 'Alcalinity_of_ash', 'Nonflavanoid_phenols', 'Proanthocyanins', 'Magnesium', 'Alcohol', 'Proline', 'Flavanoids']",Malic_acid,0.2499145758894417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,chain02_datawig,1,"['Malic_acid', 'Hue', 'Color_intensity', 'Total_phenols', 'OD280%2FOD315_of_diluted_wines', 'Ash', 'Alcalinity_of_ash', 'Nonflavanoid_phenols', 'Proanthocyanins', 'Magnesium', 'Alcohol', 'Proline', 'Flavanoids']",Hue,0.10627589198656921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,chain02_datawig,1,"['Malic_acid', 'Hue', 'Color_intensity', 'Total_phenols', 'OD280%2FOD315_of_diluted_wines', 'Ash', 'Alcalinity_of_ash', 'Nonflavanoid_phenols', 'Proanthocyanins', 'Magnesium', 'Alcohol', 'Proline', 'Flavanoids']",Color_intensity,0.3347292769981029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,chain02_datawig,1,"['Malic_acid', 'Hue', 'Color_intensity', 'Total_phenols', 'OD280%2FOD315_of_diluted_wines', 'Ash', 'Alcalinity_of_ash', 'Nonflavanoid_phenols', 'Proanthocyanins', 'Magnesium', 'Alcohol', 'Proline', 'Flavanoids']",Total_phenols,0.3742910678706677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,chain02_datawig,1,"['Malic_acid', 'Hue', 'Color_intensity', 'Total_phenols', 'OD280%2FOD315_of_diluted_wines', 'Ash', 'Alcalinity_of_ash', 'Nonflavanoid_phenols', 'Proanthocyanins', 'Magnesium', 'Alcohol', 'Proline', 'Flavanoids']",OD280%2FOD315_of_diluted_wines,0.17043214693417336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,chain02_datawig,1,"['Malic_acid', 'Hue', 'Color_intensity', 'Total_phenols', 'OD280%2FOD315_of_diluted_wines', 'Ash', 'Alcalinity_of_ash', 'Nonflavanoid_phenols', 'Proanthocyanins', 'Magnesium', 'Alcohol', 'Proline', 'Flavanoids']",Ash,0.183094795903939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,chain02_datawig,1,"['Malic_acid', 'Hue', 'Color_intensity', 'Total_phenols', 'OD280%2FOD315_of_diluted_wines', 'Ash', 'Alcalinity_of_ash', 'Nonflavanoid_phenols', 'Proanthocyanins', 'Magnesium', 'Alcohol', 'Proline', 'Flavanoids']",Alcalinity_of_ash,0.2897375366239824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,chain02_datawig,1,"['Malic_acid', 'Hue', 'Color_intensity', 'Total_phenols', 'OD280%2FOD315_of_diluted_wines', 'Ash', 'Alcalinity_of_ash', 'Nonflavanoid_phenols', 'Proanthocyanins', 'Magnesium', 'Alcohol', 'Proline', 'Flavanoids']",Nonflavanoid_phenols,0.22276388767843425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,chain02_datawig,1,"['Malic_acid', 'Hue', 'Color_intensity', 'Total_phenols', 'OD280%2FOD315_of_diluted_wines', 'Ash', 'Alcalinity_of_ash', 'Nonflavanoid_phenols', 'Proanthocyanins', 'Magnesium', 'Alcohol', 'Proline', 'Flavanoids']",Proanthocyanins,0.28255462853508256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_wine,chain02_datawig,1,"['Malic_acid', 'Hue', 'Color_intensity', 'Total_phenols', 'OD280%2FOD315_of_diluted_wines', 'Ash', 'Alcalinity_of_ash', 'Nonflavanoid_phenols', 'Proanthocyanins', 'Magnesium', 'Alcohol', 'Proline', 'Flavanoids']",Magnesium,0.39617384753105045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
